Idaho;IDBO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
399;-0.01;-0.05;2.12;-0.33;1.73;-0.04;0.16;0.72;-3.06;0.23;1.01;0.60;5.28;0.78;0.38;0.66;0.32;0.70;0.61;0.46;0.28;0.24;0.01;0.00;8.31;0.01;8.81;-0.51;17.93;9.59;2.61;5.43;0.29;1.11;1.18;27.42;2.80;39.83;29.67
701;-0.05;0.05;-0.47;3.42;2.88;-0.05;0.30;0.69;0.20;0.70;0.84;0.90;1.38;-0.39;0.77;1.10;0.73;0.85;-0.44;0.72;0.19;0.31;0.08;0.09;7.42;0.35;6.77;0.29;28.27;9.34;16.16;2.29;0.47;0.49;1.96;37.65;2.55;53.00;42.35
1566;-0.07;-0.11;0.45;-0.34;-0.05;-0.04;0.06;0.60;-0.79;0.47;0.71;0.82;1.50;0.54;0.37;0.56;0.41;0.69;0.36;0.36;-0.09;-0.10;-0.02;0.00;0.58;-0.23;2.22;-1.42;12.67;10.97;-0.82;1.96;0.56;0.43;-0.50;12.75;2.42;18.63;13.06
1569;0.03;-0.02;2.08;0.41;2.51;0.19;0.46;0.71;1.59;1.32;0.61;0.76;-4.13;1.30;0.67;0.65;0.98;0.62;1.41;0.68;0.01;0.02;-0.01;-0.02;10.52;-0.39;10.93;-0.02;32.77;16.52;6.22;3.77;6.26;1.17;-0.03;43.26;4.40;62.10;57.38
1622;-0.04;-0.01;-0.09;0.31;0.20;-0.01;0.00;0.68;1.33;0.73;0.64;0.51;1.50;0.01;0.32;0.59;0.58;0.53;-0.04;0.44;0.51;0.07;-0.02;-0.03;5.27;0.85;4.67;-0.24;8.66;8.63;1.39;0.05;-1.40;-0.08;0.18;14.11;2.19;20.23;13.73
1891;0.03;-0.02;0.77;0.29;1.08;-0.13;0.28;0.67;0.39;1.00;0.43;0.81;2.88;0.12;0.67;0.66;0.76;0.61;0.13;0.64;0.02;0.56;-0.01;0.08;9.74;0.67;9.12;-0.05;16.20;9.52;2.99;4.04;-0.35;0.78;3.19;29.12;2.82;39.54;31.50
2085;-0.02;-0.01;1.63;-0.18;1.37;0.14;0.16;0.59;0.73;0.05;0.38;0.75;1.31;0.58;0.52;0.57;-0.02;0.63;0.71;0.55;0.06;0.36;0.05;-0.01;8.69;0.69;8.16;-0.16;15.85;8.27;2.34;3.78;1.46;0.85;1.73;26.27;2.47;36.71;33.06
2122;0.39;-0.16;4.73;0.35;5.32;0.39;0.51;0.72;0.18;1.20;0.76;0.80;-2.66;-0.10;0.71;0.51;0.94;0.86;-0.15;0.76;0.07;0.29;0.00;-0.01;10.22;-0.12;9.99;0.35;31.76;10.62;11.22;2.46;7.45;0.99;1.39;43.37;3.12;67.81;63.28
2594;0.05;-0.01;3.59;-0.41;3.13;0.10;0.37;0.71;0.39;0.64;0.58;0.70;0.56;0.38;0.62;0.77;0.63;0.73;0.37;0.67;0.15;0.23;0.09;-0.01;8.84;0.25;8.46;0.13;22.16;11.28;5.11;5.02;0.74;1.05;1.08;32.08;3.10;49.62;41.97
3145;-0.03;0.02;-0.08;0.06;-0.02;-0.07;0.47;0.70;5.00;0.17;0.98;0.97;-5.13;0.55;0.84;0.73;0.43;0.83;0.35;0.80;0.30;0.01;-0.01;0.00;3.08;1.08;1.95;0.05;18.43;14.58;0.15;3.90;-0.20;0.77;0.04;21.55;3.11;29.27;29.12
3230;-0.06;-0.03;1.50;1.58;3.01;0.36;0.50;0.69;0.37;1.07;0.88;0.72;-2.75;0.05;0.70;0.69;0.87;0.77;0.03;0.71;0.56;0.34;-0.02;0.08;8.53;-0.22;9.33;-0.59;29.58;10.70;10.89;4.76;3.23;1.17;2.12;40.23;3.07;57.31;59.27
3243;0.14;-0.01;0.81;0.38;1.33;0.09;0.13;0.53;-2.93;0.40;0.59;0.52;-0.01;0.00;0.30;0.69;0.39;0.59;0.05;0.46;-0.16;-0.26;-0.02;-0.02;4.92;0.36;4.02;0.55;13.67;8.05;3.52;2.95;-0.85;0.53;-1.36;17.23;2.01;26.42;22.19
3245;-0.03;0.01;2.91;-0.25;2.56;0.17;0.36;0.71;0.80;0.93;0.45;0.70;-1.55;1.08;0.62;0.66;0.80;0.62;0.89;0.60;0.32;0.24;0.07;-0.04;8.12;0.64;7.58;-0.10;25.34;14.35;4.57;4.71;1.70;1.05;1.01;34.46;3.63;51.54;45.78
3250;0.15;0.97;-0.77;3.04;3.39;0.22;0.11;0.69;-1.73;0.03;0.90;0.65;1.13;0.63;0.63;0.73;-0.12;0.78;0.44;0.62;0.33;0.81;0.00;-0.01;18.65;-0.26;8.48;10.43;34.06;7.75;13.68;-1.39;14.03;0.66;4.03;56.74;2.40;73.32;64.45
3251;-0.01;0.01;-0.23;0.03;-0.19;-0.06;0.25;0.66;-0.51;0.24;0.27;0.54;-2.39;0.78;0.64;0.81;0.52;0.50;0.27;0.73;0.36;0.22;0.00;0.08;2.89;0.55;2.27;0.06;12.68;12.23;-0.28;1.19;-0.46;0.21;1.48;17.05;2.67;23.14;20.47
3513;-0.05;0.03;1.03;0.22;1.24;0.04;0.30;0.57;-1.37;0.50;0.57;0.35;-0.19;0.44;0.82;0.90;0.24;0.44;0.37;0.74;0.10;0.21;-0.02;0.08;5.90;0.91;4.94;0.06;15.37;9.39;3.15;4.83;-2.00;0.83;1.45;22.73;2.37;32.54;29.76
3562;0.05;0.07;1.14;-0.03;1.25;0.08;0.17;0.68;0.03;0.59;-0.10;0.53;-4.50;0.36;0.39;0.79;0.59;0.28;0.41;0.51;-0.23;-0.15;-0.01;-0.02;6.61;1.57;4.03;1.01;15.38;10.34;2.11;4.53;-1.59;0.80;-0.84;21.15;2.47;31.23;26.57
4009;0.03;0.02;0.68;2.42;3.17;0.06;0.39;0.65;-0.12;0.50;0.70;0.58;4.28;0.14;0.74;0.71;0.77;0.67;-0.04;0.71;-0.06;0.58;-0.02;0.00;11.63;-0.24;11.49;0.39;23.63;8.05;13.45;3.79;-1.66;0.65;2.90;38.16;2.76;54.97;47.49
4125;0.07;-0.02;-0.16;0.60;0.40;-0.05;0.39;0.70;1.19;0.66;1.11;0.62;-7.25;0.72;0.80;0.64;0.63;0.76;0.77;0.78;0.05;0.06;0.08;-0.01;9.60;0.46;9.03;0.11;22.58;13.64;2.67;4.07;2.20;0.96;0.23;32.41;3.63;42.75;38.78
4175;0.03;0.01;1.25;-0.43;0.78;-0.14;0.20;0.64;1.00;-0.05;0.16;0.54;7.63;0.13;0.85;0.17;0.34;0.53;0.15;0.68;0.41;0.06;0.08;0.00;4.95;0.35;4.38;0.23;11.44;9.51;0.34;3.83;-2.24;0.62;0.27;16.66;2.34;24.95;17.30
