CHSNorthernMaryland;MDBLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
53;0.00;-0.05;-0.44;0.00;-0.48;-0.02;0.07;0.50;0.02;0.19;0.26;-0.09;0.18;0.57;0.12;;0.13;0.09;0.31;0.34;-0.03;-0.03;0.00;-0.10;2.08;-0.67;3.26;-0.51;5.11;5.20;-0.85;1.14;-0.38;0.20;-0.62;6.58;1.37;8.49;7.35
888;0.00;0.11;1.36;-0.08;1.31;-0.01;0.36;0.74;1.67;0.66;0.71;0.79;-0.15;0.08;1.01;;0.99;0.76;0.01;0.85;-0.21;0.16;0.08;0.02;5.18;1.81;2.29;1.08;21.43;15.63;2.32;3.39;0.09;0.68;0.93;27.54;3.36;40.02;34.36
1111;0.00;0.05;1.20;0.82;2.02;0.07;0.50;0.75;1.10;0.92;0.70;0.48;-0.33;-0.06;0.79;;1.03;0.66;-0.03;0.76;-0.08;0.53;0.04;0.09;7.56;0.83;6.27;0.46;23.50;12.72;6.51;4.55;-0.28;0.89;3.11;34.17;3.17;48.42;45.97
1446;0.00;0.05;0.06;-0.37;-0.28;-0.01;0.33;0.65;-3.55;0.31;0.99;0.46;-0.10;0.46;0.69;;0.25;0.62;0.01;0.70;-0.01;0.03;0.01;0.07;3.27;-0.09;2.91;0.45;8.79;9.67;-1.73;1.31;-0.45;0.23;0.49;12.55;2.22;17.25;19.08
1719;0.00;-0.04;0.88;0.35;1.06;-0.04;0.59;0.74;0.45;1.28;0.51;0.73;0.56;1.15;0.84;;1.11;0.66;0.62;0.84;0.35;0.14;0.13;0.03;6.94;0.55;6.81;-0.42;24.78;16.40;3.51;5.33;-0.46;1.04;0.84;32.55;3.96;45.76;43.30
1895;0.00;0.09;0.11;0.25;0.48;-0.01;-0.02;0.72;1.52;0.08;0.59;0.86;-0.05;-0.19;0.73;;0.18;0.67;-0.16;0.75;1.26;-0.05;-0.02;0.18;4.26;-0.14;3.54;0.87;13.45;9.04;1.49;2.59;0.32;0.54;0.68;18.39;2.16;25.29;17.79
2068;0.00;0.04;4.65;-0.24;4.44;0.16;0.35;0.75;-0.83;0.40;0.69;0.97;0.47;0.74;0.64;;0.59;0.73;0.48;0.69;0.05;0.49;0.00;-0.08;9.77;0.00;9.41;0.36;22.60;11.49;8.10;3.08;-0.08;0.61;2.04;34.41;3.24;56.39;45.29
2377;0.00;0.05;0.36;0.25;0.58;-0.02;0.09;0.54;-1.19;0.45;0.92;-0.03;0.37;0.60;0.76;;0.44;0.23;0.37;0.83;0.13;0.22;0.07;0.09;-0.44;0.87;-1.77;0.45;17.28;12.86;1.98;1.59;0.85;0.37;1.54;18.38;2.39;26.19;19.74
2537;0.00;0.06;1.28;0.28;1.69;0.07;0.41;0.74;0.95;0.99;1.03;0.66;0.51;-0.06;0.78;;0.92;0.66;0.35;0.70;-0.28;0.75;-0.07;-0.07;9.41;0.32;8.54;0.55;22.20;12.54;3.95;4.80;0.92;1.02;3.42;35.03;3.36;48.70;45.04
2819;0.00;0.03;-0.26;0.23;-0.12;-0.03;0.00;0.24;-4.05;0.19;0.22;0.23;0.26;0.51;0.30;;0.03;0.36;0.23;0.45;0.25;0.12;0.11;-0.07;3.62;0.82;2.55;0.26;6.27;5.33;0.63;0.44;-0.13;0.08;0.25;10.14;1.32;13.07;9.34
2849;0.00;0.12;0.17;1.81;1.93;0.07;0.20;0.73;-2.83;0.03;0.47;0.56;0.08;0.32;1.04;;-0.16;0.54;0.31;0.86;-0.21;0.22;0.18;0.09;9.08;0.00;7.88;1.21;21.35;7.42;9.41;4.91;-0.40;0.96;1.54;31.97;2.27;43.66;37.61
2988;0.00;-0.06;3.80;0.07;3.49;0.06;0.29;0.66;-0.26;0.52;0.48;0.64;-0.20;1.01;0.54;;0.20;0.66;0.49;0.57;0.18;1.11;0.33;0.06;7.08;0.56;7.10;-0.58;21.11;9.37;7.97;2.89;0.88;0.64;5.86;34.05;2.58;51.42;41.20
3283;0.00;0.05;0.03;0.01;0.09;0.00;0.14;0.72;3.10;-0.46;0.53;0.63;1.08;0.70;0.24;;-0.10;0.67;0.84;0.26;0.01;0.43;0.01;-0.04;6.26;-0.16;5.93;0.50;15.10;8.95;0.13;5.25;0.76;1.10;1.94;23.30;2.38;29.55;26.12
3373;0.00;-0.03;0.75;0.08;0.79;-0.02;0.39;0.75;4.95;0.61;0.96;0.54;-0.14;-0.90;0.72;;0.74;0.73;-0.46;0.66;0.15;-0.12;0.01;0.22;3.31;1.62;1.94;-0.26;17.05;11.12;1.90;4.42;-0.40;0.86;0.47;20.83;2.42;29.34;28.11
3650;0.00;-0.05;1.61;-0.10;1.53;0.00;0.44;0.75;-2.69;1.32;0.57;0.82;0.33;0.14;0.63;;1.16;0.80;0.26;0.58;0.12;0.35;-0.07;0.15;9.13;0.47;9.15;-0.49;20.06;13.15;2.72;4.53;-0.34;0.88;2.50;31.69;3.55;45.35;40.57
3748;0.00;-0.06;-0.36;-0.03;-0.49;0.00;0.24;0.64;-4.62;0.40;0.75;0.75;0.24;0.27;0.81;;0.41;0.76;0.17;0.76;0.68;-0.29;0.05;0.03;7.70;-0.08;8.40;-0.62;11.23;9.47;-0.84;2.61;0.00;0.52;-1.29;17.64;2.73;22.94;22.28
3941;0.00;0.04;-0.44;0.07;-0.26;-0.05;0.18;0.41;-0.26;0.42;0.75;0.70;1.06;0.71;0.61;;0.35;0.68;0.69;0.63;0.12;-0.45;-0.07;0.09;1.20;0.35;0.45;0.41;15.14;13.51;-0.53;2.67;-0.51;0.50;-1.80;14.54;2.75;20.60;16.86
4067;0.00;-0.02;-0.45;-0.26;-0.74;-0.03;0.08;0.65;1.17;0.16;1.02;0.46;0.00;0.25;0.16;;0.06;0.52;0.22;0.43;0.73;0.12;0.01;0.22;0.92;0.00;1.12;-0.20;8.57;8.82;-2.20;2.18;-0.23;0.42;1.67;11.16;1.88;13.54;11.99
4099;0.00;-0.06;0.14;0.07;0.27;0.07;0.13;0.62;1.67;0.10;0.23;0.25;0.12;0.02;0.31;;0.13;0.27;0.21;0.26;-0.03;-0.09;-0.11;0.04;2.21;0.61;2.16;-0.56;7.89;6.44;0.66;0.77;0.02;0.15;-0.25;9.85;1.50;14.47;14.21
4137;0.00;-0.05;0.53;0.12;0.48;-0.03;0.00;0.61;8.95;-0.11;-0.10;0.33;0.27;0.08;0.43;;-0.09;0.28;0.30;0.41;0.68;-0.16;0.13;0.01;3.96;0.21;4.22;-0.47;8.85;5.39;1.67;1.76;0.04;0.35;-0.72;12.09;1.50;17.34;11.39
4456;0.00;-0.05;0.17;0.04;0.12;-0.04;0.17;0.67;-0.12;0.56;0.90;0.50;-0.15;0.36;0.74;;0.56;0.57;0.23;0.68;0.05;0.53;0.05;-0.07;8.82;-0.05;9.35;-0.48;11.92;8.90;0.57;1.76;0.69;0.40;2.26;23.00;2.71;30.15;25.36
4464;0.00;0.02;-0.26;0.07;-0.18;-0.03;0.06;0.67;-2.26;-0.28;0.75;0.65;-0.14;0.65;0.85;;0.14;0.63;0.48;0.78;-0.16;0.36;0.02;-0.01;11.33;-0.43;11.59;0.18;11.04;7.67;-0.15;4.10;-0.57;0.78;1.78;24.15;2.69;30.30;24.58
4472;0.00;-0.01;0.38;0.21;0.69;0.08;0.13;0.75;3.10;0.34;1.12;0.64;0.40;0.44;0.44;;0.22;0.74;0.41;0.48;0.19;-0.06;-0.10;0.05;1.82;1.12;0.77;-0.07;19.46;12.57;1.83;0.05;5.01;0.34;-0.02;21.27;2.59;29.91;25.82
4541;0.00;-0.01;0.56;0.55;0.96;-0.03;0.08;0.71;-2.12;0.62;0.42;0.63;0.07;0.07;0.37;;0.70;0.57;0.03;0.47;0.25;0.12;0.15;-0.08;6.37;0.59;5.85;-0.06;13.63;9.42;3.88;0.72;-0.39;0.12;0.16;20.16;2.47;29.33;20.98
4638;0.00;0.51;0.13;0.36;1.00;0.07;0.40;0.78;1.17;-0.20;0.76;0.65;0.63;0.30;0.56;;0.14;0.68;0.55;0.59;-0.09;-0.18;-0.01;0.21;12.68;0.57;7.06;5.05;17.38;10.16;2.05;5.12;0.06;1.03;0.12;30.18;2.74;40.16;39.99
4945;0.00;0.01;-0.52;1.43;0.91;0.07;0.43;0.71;-0.90;0.92;-0.52;0.86;-0.41;0.54;0.83;;0.76;0.65;0.10;0.84;-0.06;0.52;0.01;-0.04;10.81;0.14;10.59;0.08;20.19;9.98;6.12;3.13;0.96;0.69;2.38;33.38;3.06;43.86;43.66
5106;0.00;-0.06;1.07;0.21;1.18;-0.03;0.01;0.35;3.02;0.09;0.70;0.67;0.11;-0.32;0.80;;-0.02;0.63;0.10;0.76;0.36;0.02;0.04;-0.03;8.40;-0.40;9.40;-0.60;11.16;4.40;3.19;4.04;-0.47;0.78;-0.03;19.54;1.82;27.79;19.14
5115;0.00;0.00;0.73;0.00;0.82;0.08;0.38;0.70;3.17;1.04;0.66;0.93;1.09;1.05;0.68;;0.99;0.74;0.98;0.62;-0.20;-0.27;-0.09;-0.08;7.48;0.78;6.75;-0.04;24.42;16.80;1.46;6.73;-0.57;1.31;-1.79;30.12;4.03;42.76;39.76
