MARMontgomery;NJSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
41;-0.01;0.02;-0.10;1.60;1.39;-0.03;0.13;0.70;0.59;0.36;0.47;0.13;;0.26;0.50;;0.22;0.45;0.38;0.53;-0.19;0.40;0.13;0.02;6.24;-0.03;6.09;0.19;19.72;8.38;7.82;3.51;0.01;0.70;2.08;28.05;2.29;38.11;29.86
56;-0.02;0.04;2.17;1.34;3.17;0.22;0.43;0.70;-0.74;1.12;0.73;0.75;;0.49;0.67;;0.83;0.73;0.29;0.65;-0.04;0.31;0.36;-0.12;9.01;0.20;8.52;0.29;28.41;11.78;11.06;4.88;0.69;1.02;0.94;38.36;3.21;56.30;52.31
102;0.00;0.01;1.30;0.69;1.90;0.14;0.34;0.70;0.62;0.16;0.70;1.14;;1.04;0.73;;0.39;0.75;1.07;0.75;-0.08;0.04;0.11;-0.04;4.82;0.80;3.87;0.15;28.07;16.35;6.07;4.61;1.05;0.99;-0.01;32.89;3.66;47.95;43.17
103;0.01;-0.09;3.35;-0.05;3.33;0.17;0.13;0.58;0.46;0.31;0.66;0.63;;0.00;0.49;;0.33;0.63;-0.17;0.47;0.44;0.07;-0.11;0.16;5.66;-0.02;6.55;-0.87;15.54;5.96;6.45;3.56;-0.42;0.68;1.15;22.35;1.85;37.36;29.15
136;0.01;0.23;0.05;0.02;0.34;-0.05;0.06;0.70;-0.07;0.15;0.79;0.48;;0.16;0.66;;0.21;0.64;0.03;0.69;0.09;-0.04;-0.02;0.27;10.11;0.57;7.19;2.35;9.73;7.75;0.23;1.11;0.64;0.26;1.12;20.96;2.27;27.68;20.82
190;-0.02;0.00;2.67;0.98;3.55;0.32;0.29;0.74;0.11;0.78;0.67;0.48;;0.25;0.77;;0.86;0.67;0.10;0.76;0.30;0.35;0.09;0.07;9.71;-0.07;9.87;-0.09;25.37;10.69;10.26;5.24;-0.83;0.99;2.07;37.15;3.13;56.05;50.80
204;0.07;-0.10;1.55;0.29;1.89;0.32;0.28;0.28;0.08;0.54;0.67;0.70;;1.26;0.83;;0.55;0.73;0.91;0.77;0.19;-0.30;-0.08;-0.14;4.80;0.42;5.01;-0.64;22.62;13.69;4.56;4.62;-0.26;0.91;-2.19;25.22;3.24;39.22;38.83
222;-0.02;-0.07;1.07;2.27;3.16;0.15;0.36;0.78;1.14;0.52;0.72;0.20;;0.25;0.59;;0.36;0.56;0.42;0.68;-0.07;0.23;0.09;0.09;10.56;-0.09;11.41;-0.77;26.20;8.33;13.48;3.82;0.57;0.80;1.59;38.35;2.81;55.26;49.47
272;-0.01;0.02;-0.07;0.20;0.16;-0.06;0.19;0.49;-1.02;-0.13;0.60;0.92;;0.82;0.67;;0.01;0.72;0.83;0.65;0.07;0.58;-0.02;0.15;9.89;0.07;9.64;0.17;12.70;8.68;0.86;3.54;-0.38;0.68;3.67;26.26;2.70;33.52;28.67
303;0.16;0.01;3.74;0.11;3.88;0.28;0.39;0.74;0.42;1.32;0.75;0.76;;0.19;0.76;;1.10;0.76;-0.13;0.77;-0.04;-0.02;0.14;0.09;11.58;-0.43;11.06;0.95;22.75;10.65;8.02;4.71;-0.63;0.90;0.34;34.67;3.24;54.89;49.58
423;-0.01;-0.12;1.52;-0.20;1.30;0.15;0.12;0.60;1.52;-0.17;0.70;0.73;;0.45;0.58;;0.14;0.64;0.47;0.63;0.29;0.00;-0.11;0.01;9.03;-0.16;10.41;-1.22;13.92;7.24;2.02;5.11;-0.46;0.99;0.02;22.97;2.49;33.26;29.24
433;-0.02;0.00;1.55;-0.52;0.71;-0.07;0.14;0.57;0.47;0.28;0.75;0.87;;-0.08;0.78;;0.14;0.77;0.13;0.78;-0.07;-0.22;0.30;0.05;7.23;0.17;7.13;-0.08;13.47;8.41;0.50;0.82;3.75;0.41;-0.89;19.81;2.40;28.02;20.81
555;-0.02;-0.04;0.20;0.96;0.92;-0.16;0.26;0.55;0.07;0.06;0.93;0.66;;0.46;0.69;;0.30;0.70;0.40;0.72;-0.07;0.05;0.20;-0.02;5.62;0.66;5.40;-0.43;18.71;10.67;5.22;2.83;-0.01;0.57;0.19;24.53;2.67;34.07;25.88
714;-0.01;-0.12;-0.09;0.50;0.39;-0.03;0.01;0.74;1.44;0.36;0.71;0.35;;-0.16;0.41;;0.47;0.47;-0.19;0.47;0.45;0.14;-0.09;-0.02;2.55;1.62;2.11;-1.19;13.36;8.73;2.34;1.50;0.79;0.35;0.62;16.53;1.96;22.62;16.01
752;0.08;-0.04;-0.33;0.32;0.00;-0.05;0.29;0.70;-0.03;0.51;0.65;0.37;;1.25;0.55;;0.41;0.49;0.83;0.53;0.27;-0.12;0.03;0.04;1.87;0.63;1.20;0.03;18.85;14.15;0.92;3.13;0.65;0.67;-0.38;20.34;2.95;27.71;24.87
869;-0.02;0.14;-0.68;3.49;2.81;0.22;0.31;0.52;-0.42;0.40;0.80;0.63;;0.02;0.75;;0.21;0.73;0.21;0.75;0.27;0.61;0.11;0.06;8.38;0.47;6.67;1.25;39.09;8.74;16.07;1.01;13.27;1.09;3.38;50.86;2.41;65.68;62.41
1089;0.01;0.20;1.70;1.93;3.87;0.11;0.31;0.50;1.72;1.44;0.67;0.68;;-0.04;0.71;;1.30;0.66;-0.13;0.67;0.04;-0.31;-0.03;0.07;11.06;0.25;8.71;2.10;27.44;10.64;13.03;4.26;-0.48;0.82;-1.22;37.28;3.00;56.86;46.11
1228;-0.01;0.07;0.14;0.06;0.18;-0.11;0.35;0.43;1.89;1.21;0.45;0.27;;0.72;0.37;;1.29;0.33;0.75;0.43;0.35;-0.06;0.08;0.11;0.66;-0.32;0.33;0.65;19.94;15.98;0.57;2.42;0.97;0.55;0.26;20.86;3.23;29.51;25.27
1403;-0.01;-0.04;3.45;0.66;3.87;0.02;0.24;0.53;0.46;-0.01;0.44;0.69;;-0.50;0.54;;0.23;0.69;0.07;0.56;0.19;-0.11;0.19;-0.07;5.56;0.47;5.51;-0.42;21.86;7.66;10.20;4.19;-0.18;0.83;-0.87;26.55;2.08;43.85;31.85
1672;0.00;0.06;-0.66;0.09;-0.52;-0.11;-0.17;0.54;0.76;0.10;0.27;0.96;;-0.11;0.18;;0.15;0.41;-0.17;0.33;-0.07;-0.08;0.01;0.04;-1.06;0.90;-2.55;0.58;6.83;7.54;-0.87;0.17;-0.01;0.03;-0.19;5.58;1.25;7.10;-0.71
1807;0.09;0.02;1.48;-0.69;0.82;-0.05;0.22;0.68;2.71;-0.35;0.58;0.57;;0.85;0.48;;0.19;0.67;0.84;0.47;-0.16;0.26;0.07;0.01;8.42;0.02;7.82;0.58;15.66;10.27;-0.50;6.45;-0.56;1.25;1.37;25.45;2.84;35.09;28.60
1923;0.08;0.00;2.54;-0.10;2.63;0.14;0.23;0.76;0.83;0.02;0.69;0.93;;0.39;0.66;;0.10;0.75;0.41;0.64;-0.14;-0.03;-0.11;0.08;7.49;1.08;6.03;0.39;19.92;10.29;4.56;4.32;0.75;0.91;0.27;27.68;2.66;42.56;35.79
1989;-0.01;-0.04;0.11;2.89;2.71;0.23;0.31;0.72;1.26;0.91;0.76;0.85;;0.06;0.66;;0.83;0.72;0.15;0.66;0.18;-0.01;0.25;-0.03;9.63;0.18;9.93;-0.48;29.30;10.42;14.69;3.78;0.40;0.78;-0.21;38.72;3.08;54.87;50.84
2070;0.00;-0.04;0.39;0.30;0.77;0.09;0.35;0.68;0.12;0.28;0.56;0.86;;0.85;0.60;;0.18;0.70;0.75;0.60;0.03;0.11;-0.13;-0.05;0.97;-0.08;1.49;-0.44;21.93;13.79;2.26;4.74;1.14;1.02;0.31;23.22;2.91;32.89;32.52
2180;-0.02;0.07;0.85;0.15;1.17;-0.01;0.17;0.38;0.21;0.92;0.72;0.40;;0.23;0.78;;0.65;0.52;0.26;0.74;0.34;0.54;-0.13;0.02;7.15;1.02;5.55;0.58;17.78;9.97;2.44;5.71;-0.34;1.12;2.81;27.73;2.55;37.77;30.88
2458;-0.01;-0.01;0.05;0.30;0.45;-0.06;0.24;0.77;-1.25;0.11;0.59;0.66;;0.12;0.69;;-0.12;0.66;0.27;0.66;0.52;0.37;-0.12;-0.05;2.28;2.09;0.37;-0.17;15.05;11.04;1.61;3.17;-0.77;0.58;1.59;18.92;2.25;25.93;22.14
2554;0.00;0.03;0.82;-0.25;0.47;-0.03;0.18;0.70;-0.61;0.13;0.59;0.53;;0.56;0.73;;0.18;0.67;0.32;0.71;0.32;-0.12;0.13;0.04;6.58;0.57;5.68;0.33;14.37;9.99;0.39;4.63;-0.64;0.88;-0.39;20.55;2.57;28.44;23.44
3314;-0.02;0.64;-0.56;3.68;3.61;0.03;0.11;0.35;-1.49;-0.01;0.57;0.59;;0.26;0.55;;-0.19;0.60;0.41;0.57;-0.20;0.69;0.13;-0.04;5.40;0.47;-1.34;6.27;32.51;9.36;17.27;2.20;3.69;0.69;3.24;41.16;1.74;56.78;43.91
3637;0.01;-0.02;3.00;0.26;3.25;0.03;0.52;0.79;1.54;1.27;0.75;0.70;;-0.32;0.68;;1.16;0.72;-0.37;0.70;-0.26;-0.10;-0.01;0.31;10.35;-0.42;10.95;-0.17;21.65;9.57;7.29;3.73;1.06;0.82;1.09;33.10;3.01;50.79;44.33
4361;-0.01;-0.02;1.13;-0.37;0.73;-0.13;0.41;0.79;1.51;0.50;0.77;0.29;;0.60;0.77;;0.43;0.61;0.44;0.75;0.46;0.47;0.00;-0.09;7.70;0.56;7.37;-0.23;16.78;11.36;0.42;4.36;0.65;0.91;1.93;26.41;3.01;36.23;31.24
4575;-0.02;0.10;0.20;1.43;1.81;0.16;0.14;0.68;-0.11;0.22;0.65;0.72;;-0.14;0.71;;0.29;0.59;-0.12;0.71;0.00;-0.15;-0.10;-0.10;6.43;1.09;4.40;0.93;18.11;8.57;7.55;2.76;-0.76;0.50;-1.23;23.31;2.15;34.35;30.25
4750;-0.01;0.13;0.97;0.59;1.59;0.16;0.46;0.72;-1.24;0.01;0.63;0.84;;0.70;0.37;;0.21;0.67;0.77;0.37;0.09;0.58;0.07;0.19;12.69;-0.33;11.83;1.19;17.61;7.78;4.87;5.43;-0.47;1.06;3.82;34.13;2.74;45.95;47.15
5438;-0.02;-0.05;0.39;-0.27;0.14;-0.15;0.53;0.74;0.06;0.31;0.74;0.71;;1.48;0.74;;0.14;0.75;1.28;0.71;-0.11;-0.12;-0.08;0.04;8.06;0.53;8.09;-0.56;19.01;14.07;-0.56;5.50;0.01;1.10;-0.41;26.67;3.62;36.15;33.42
5666;-0.01;-0.09;1.28;0.06;1.07;0.06;0.42;0.77;0.13;0.13;0.07;0.75;;0.76;0.78;;-0.01;0.58;0.61;0.80;0.12;0.38;0.16;0.10;6.52;1.03;6.49;-0.99;17.94;10.47;2.85;4.85;-0.24;0.95;2.39;26.85;2.74;37.06;36.72
5684;-0.02;-0.03;3.71;0.10;3.72;0.33;0.44;0.78;1.29;1.07;0.59;0.80;;0.09;0.61;;1.02;0.67;0.07;0.59;0.47;0.05;0.04;0.20;8.84;0.36;8.87;-0.40;26.21;11.24;7.94;6.57;0.46;1.35;1.21;36.26;3.14;55.74;53.46
5895;0.00;0.48;-0.19;2.86;3.12;0.13;0.42;0.47;0.12;0.37;0.79;0.77;;1.09;0.72;;0.33;0.71;0.59;0.72;0.35;0.41;0.03;0.06;14.06;0.41;8.86;4.79;27.33;9.68;13.93;4.01;-0.28;0.78;2.32;43.71;2.82;60.51;55.30
5992;-0.01;0.00;0.43;-0.05;0.30;-0.02;0.22;0.61;-0.46;0.53;0.35;0.72;;0.51;0.78;;0.64;0.65;0.29;0.76;0.29;0.09;0.08;0.02;4.96;0.22;4.77;-0.03;14.45;12.38;0.62;2.11;-0.67;0.38;0.55;19.95;2.95;28.27;23.84
6203;-0.03;0.06;-0.05;-0.63;-0.74;-0.17;0.18;0.73;0.38;0.19;0.43;0.21;;0.32;0.22;;0.21;0.32;0.41;0.24;0.80;0.47;0.08;0.23;7.51;0.90;6.18;0.42;8.36;6.45;-3.26;4.77;0.40;0.98;3.49;19.36;1.91;21.82;18.69
