CentralValley;CAMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
8;0.00;0.19;-0.46;-0.05;-0.33;0.03;0.15;0.47;;0.21;1.17;0.50;0.89;-0.53;0.47;;0.21;0.66;0.08;0.56;-0.09;0.21;0.01;0.04;5.31;0.05;3.38;1.88;9.14;8.23;-1.18;2.68;-0.59;0.50;1.27;15.72;1.98;19.63;19.46
254;0.00;0.64;0.12;4.30;4.74;0.26;0.51;0.77;;1.26;1.06;0.75;1.39;-0.44;0.55;;1.10;0.79;-0.07;0.62;0.50;1.04;0.32;0.06;13.27;1.15;5.77;6.35;39.88;13.21;21.77;3.05;1.85;0.73;5.54;58.68;3.22;81.54;75.28
585;0.00;-0.04;-0.54;-0.76;-1.43;-0.02;-0.12;0.76;;-0.35;-0.38;0.34;0.66;-0.13;0.44;;-0.25;0.07;0.45;0.45;0.10;0.40;0.09;0.12;2.89;-0.29;3.61;-0.42;-1.29;5.61;-4.86;-0.54;-1.50;-0.21;2.64;4.24;1.48;3.48;1.44
649;0.00;-0.08;0.72;0.93;1.48;-0.04;0.26;0.70;;1.92;0.63;0.87;0.08;0.42;0.66;;1.47;0.88;-0.33;0.67;-0.01;0.18;0.09;0.23;2.66;-0.21;3.66;-0.79;24.30;15.12;6.08;2.30;0.79;0.51;2.03;28.98;3.39;42.08;33.33
670;0.00;-0.07;0.07;1.03;1.14;-0.12;0.23;0.83;;0.51;0.91;0.65;0.72;-0.27;0.89;;0.33;0.70;-0.02;0.80;-0.04;-0.12;-0.11;0.01;5.76;0.93;5.55;-0.72;17.58;10.39;5.28;3.18;-1.27;0.55;-0.55;22.79;2.63;32.94;24.50
701;0.00;0.10;1.25;0.59;1.96;0.16;0.07;0.71;;0.32;0.21;0.50;0.68;-0.08;0.77;;0.60;0.36;-0.22;0.80;-0.14;-0.14;-0.03;-0.07;8.19;0.15;7.08;0.95;17.77;7.68;5.46;3.37;1.25;0.76;-1.09;24.87;2.25;36.63;30.22
751;0.00;-0.09;0.13;-0.31;-0.12;-0.06;0.01;0.70;;-0.83;0.33;0.52;0.15;-0.11;0.62;;0.35;0.55;-0.31;0.62;-0.06;-0.18;-0.14;-0.02;5.21;0.79;5.29;-0.87;8.12;6.92;-1.28;3.18;-0.71;0.59;-0.98;12.35;1.91;16.75;10.97
812;0.00;-0.02;-0.15;3.57;3.40;0.11;0.14;-0.12;;0.49;1.32;0.80;0.44;0.51;0.63;;0.61;0.92;0.39;0.67;0.60;0.08;0.01;0.01;5.14;0.74;4.57;-0.17;30.02;10.05;17.56;2.45;-0.05;0.49;0.45;35.61;2.47;52.40;41.00
972;0.00;0.05;0.46;0.44;0.67;-0.01;0.21;0.74;;-0.03;0.05;0.62;-0.14;-0.38;0.86;;0.48;0.66;-0.34;0.86;0.79;0.47;0.28;-0.01;6.87;1.13;5.26;0.49;10.90;9.36;3.14;-1.15;-0.44;-0.26;2.29;20.06;2.40;28.15;23.85
973;0.00;0.09;0.22;3.12;3.28;0.06;0.31;0.61;;0.28;1.08;1.05;-0.43;0.18;0.73;;1.04;0.85;-0.08;0.77;0.01;0.19;0.15;0.10;10.58;0.75;8.90;0.93;33.76;11.47;16.01;3.99;2.28;0.95;1.46;45.79;3.18;64.00;53.38
1323;0.00;0.12;0.39;2.01;2.47;0.13;0.41;0.73;;1.18;1.30;0.65;-1.13;-0.06;0.66;;1.18;0.77;-0.14;0.65;0.26;-0.20;0.06;0.22;9.53;-0.35;8.63;1.25;25.60;11.62;10.83;3.07;0.07;0.62;0.11;35.24;3.19;50.92;46.50
1422;0.00;0.02;1.90;-0.64;1.39;0.04;0.20;0.78;;0.02;0.99;0.71;-0.36;0.25;0.50;;0.17;0.63;0.50;0.46;0.25;-0.03;-0.11;-0.02;1.10;-0.28;1.17;0.21;15.05;12.10;0.60;1.93;0.41;0.41;-0.22;15.93;2.54;26.62;20.98
