Iowa;IACF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
167;-0.09;-0.01;-0.26;0.54;0.11;-0.16;0.46;0.71;;0.45;0.82;0.85;;0.43;0.76;0.43;0.61;0.76;0.47;0.73;-0.15;-0.03;0.07;-0.07;8.43;0.69;8.32;-0.58;18.19;12.24;2.20;3.40;0.35;0.70;-0.51;26.11;3.28;34.66;31.41
171;0.03;-0.10;2.16;0.15;2.36;0.28;0.15;0.67;;0.09;0.48;0.60;;0.19;0.56;0.25;0.18;0.57;0.16;0.61;-0.11;0.41;-0.13;-0.08;5.43;-0.10;6.41;-0.88;20.19;7.72;5.06;5.14;2.27;1.18;1.66;27.28;2.19;40.13;37.10
525;0.00;0.49;-0.80;3.86;3.62;0.23;0.46;0.70;;0.97;0.72;0.88;;0.02;0.81;0.37;0.87;0.78;-0.03;0.66;0.16;0.22;-0.06;0.07;14.71;-0.18;9.97;4.92;37.70;9.96;17.71;4.26;5.77;1.24;1.44;53.85;2.99;72.63;68.71
648;-0.01;0.00;0.77;-0.39;0.36;0.06;0.37;0.65;;0.59;1.04;0.50;;0.19;0.66;0.23;0.59;0.67;0.14;0.68;-0.04;0.50;0.02;-0.02;11.42;0.15;11.28;-0.02;14.86;8.04;-0.38;5.18;2.02;1.17;2.42;28.69;2.74;36.66;37.54
967;0.00;-0.10;1.84;-0.51;1.28;0.06;0.30;0.48;;0.88;0.69;0.60;;-0.21;0.54;0.87;0.81;0.76;-0.13;0.52;0.57;0.21;-0.05;-0.07;5.66;0.33;6.35;-1.02;10.76;9.07;1.12;3.60;-3.03;0.52;0.72;17.14;2.45;27.26;24.72
1156;0.00;0.03;-0.72;3.54;2.92;0.23;0.18;0.34;;0.67;0.67;1.00;;-0.49;0.58;0.58;0.74;0.85;-0.35;0.61;-0.11;0.06;-0.06;-0.03;8.70;-0.33;8.67;0.36;24.97;6.58;16.25;1.50;0.64;0.34;0.14;33.81;2.18;48.40;43.20
1208;-0.02;-0.02;2.07;0.93;3.02;0.17;0.33;0.73;;0.69;0.54;0.41;;0.11;0.35;0.70;0.75;0.48;0.08;0.48;-0.30;0.05;-0.07;0.12;8.75;0.41;8.63;-0.29;21.34;8.37;8.76;4.79;-0.57;0.92;0.86;30.94;2.54;46.72;41.71
1723;0.05;-0.01;2.74;-0.32;2.22;0.07;0.24;0.65;;0.45;0.83;0.71;;0.04;0.72;0.70;0.46;0.72;0.09;0.66;0.03;-0.12;0.24;0.18;5.63;0.72;4.81;0.10;19.70;10.47;3.90;2.75;2.58;0.72;0.32;25.66;2.58;39.03;32.13
1730;0.11;0.34;0.67;3.73;4.59;0.26;0.44;0.70;;0.87;0.70;0.93;;-0.25;0.87;0.92;0.90;0.77;-0.25;0.75;0.00;0.02;0.25;-0.02;13.41;0.30;9.22;3.89;42.87;9.75;19.99;2.33;10.80;1.19;-0.01;56.27;2.87;77.79;71.61
1764;0.08;0.11;1.71;-0.16;1.81;0.01;0.24;0.69;;0.34;0.60;0.70;;0.04;0.85;1.03;0.55;0.74;0.05;0.71;0.45;0.12;-0.08;0.02;11.11;-0.31;9.94;1.47;16.16;8.73;2.61;3.45;1.37;0.78;0.73;27.99;2.74;40.50;33.09
