Buckeye;OHCL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2;;;;;;;;;;;;
27;-0.01;0.10;0.19;-0.15;0.14;-0.11;0.13;0.33;;0.89;0.26;0.42;0.12;0.61;0.55;0.51;0.59;0.56;0.43;0.62;0.03;0.64;-0.02;-0.07;7.96;0.30;6.67;0.99;12.72;9.32;-0.40;3.00;0.80;0.65;2.86;23.54;2.53;30.31;23.39;;;;;;;;;;;;
63;0.00;0.03;0.52;-0.43;0.27;-0.19;0.27;0.82;;0.49;0.66;0.37;0.23;-0.14;0.38;0.29;0.56;0.43;0.14;0.30;0.51;-0.11;-0.15;-0.07;6.81;0.40;6.14;0.27;8.03;8.21;-1.11;1.19;-0.26;0.22;-0.89;13.96;2.26;20.43;14.75;;;;;;;;;;;;
120;-0.01;0.16;0.04;3.05;3.10;0.16;0.18;0.54;;0.92;0.49;0.48;0.08;-0.03;0.52;0.84;0.73;0.57;0.30;0.59;0.02;0.06;0.14;-0.06;10.57;1.06;7.97;1.54;27.71;9.70;15.33;2.82;-0.15;0.55;0.01;38.28;2.74;54.81;45.87;;;;;;;;;;;;
156;-0.01;0.00;0.47;0.51;0.68;0.02;0.35;0.78;;0.72;0.88;0.37;0.70;0.52;0.41;0.37;0.81;0.75;0.55;0.65;0.37;-0.24;0.28;0.07;10.16;-0.17;10.41;-0.07;19.46;12.47;3.49;5.09;-1.59;0.91;-0.88;28.74;3.54;39.70;36.05;;;;;;;;;;;;
217;0.00;0.03;1.15;2.80;3.86;0.26;0.35;0.56;;0.59;1.23;0.80;-0.02;0.38;0.66;-0.36;0.60;0.84;0.19;0.62;0.33;0.28;0.12;0.15;6.37;0.23;5.86;0.28;38.88;11.10;16.29;0.85;10.64;0.88;2.16;47.41;2.81;66.48;60.99;;;;;;;;;;;;
263;0.00;0.05;1.28;0.52;1.89;0.01;0.54;0.74;;0.03;0.80;0.13;1.78;0.57;0.83;0.84;0.22;0.69;0.60;0.72;-0.02;0.41;-0.04;-0.14;10.15;-0.48;10.15;0.48;17.41;9.78;5.18;4.75;-2.30;0.80;1.37;28.93;2.97;42.27;40.00;;;;;;;;;;;;
303;-0.03;0.20;1.47;2.37;3.80;0.52;0.28;0.57;;1.03;0.29;0.86;-0.94;0.27;0.62;0.83;0.85;0.60;-0.03;0.71;-0.56;0.34;0.22;0.25;6.82;0.71;4.23;1.88;34.43;11.41;14.82;3.83;4.38;1.06;2.92;44.16;2.70;62.79;62.82;;;;;;;;;;;;
337;0.00;0.07;1.53;-1.15;0.44;-0.01;0.20;0.62;;0.05;0.70;1.20;0.28;0.37;1.09;0.34;0.29;0.74;0.14;0.87;-0.21;-0.20;0.02;-0.13;11.26;-0.24;10.78;0.72;18.94;7.91;-2.67;-0.43;14.12;0.86;-1.66;28.55;2.66;36.56;32.35;;;;;;;;;;;;
379;-0.02;0.18;-0.77;2.68;1.57;0.25;0.30;0.56;;0.22;0.80;-0.02;-0.52;0.33;0.72;1.36;0.31;0.92;0.48;0.79;0.06;1.10;0.51;0.11;4.72;1.14;1.84;1.74;37.69;14.47;11.88;2.68;8.66;1.11;6.07;48.48;3.08;61.08;60.63;;;;;;;;;;;;
451;0.01;-0.03;0.76;1.53;2.14;0.17;0.30;0.64;;0.88;0.27;0.60;0.01;0.79;0.83;0.24;0.78;0.26;0.35;0.92;0.23;0.03;0.13;-0.03;10.13;-0.17;10.53;-0.23;21.88;9.45;9.19;1.94;1.31;0.48;0.01;32.03;2.94;46.08;42.16;;;;;;;;;;;;
