Buckeye;OHCL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2;;;;;;;;;;;;
533;-0.01;-0.04;0.32;-0.19;0.14;-0.12;-0.08;0.48;;-0.15;0.65;0.54;1.21;0.60;0.26;0.46;-0.01;0.63;0.82;0.33;0.09;0.15;-0.05;0.53;-0.39;1.03;-1.01;-0.42;12.10;11.75;-0.29;0.88;-0.24;0.16;3.37;15.07;2.25;21.13;10.43;;;;;;;;;;;;
639;0.01;-0.07;2.60;0.12;2.58;0.22;0.35;0.82;;1.34;0.74;-0.01;-0.39;-0.15;0.41;-0.13;1.08;0.45;-0.13;0.59;0.18;0.21;0.09;0.27;9.06;-0.73;10.41;-0.61;19.22;8.88;5.82;5.98;-1.46;1.10;2.39;30.68;2.82;45.77;43.21;;;;;;;;;;;;
695;0.00;0.26;0.02;0.45;0.52;-0.03;0.08;0.60;;0.68;0.52;1.02;-1.17;0.47;0.37;1.33;0.54;0.75;0.04;0.49;0.03;0.12;0.21;0.14;12.39;-0.13;9.93;2.58;9.49;7.17;2.28;2.63;-2.60;0.35;1.29;23.17;2.43;30.86;23.94;;;;;;;;;;;;
706;-0.01;0.16;-0.08;0.61;0.57;-0.04;0.47;0.63;;0.59;0.57;0.84;0.32;-0.43;0.69;0.96;0.70;0.72;-0.02;0.72;-0.32;-0.08;0.11;-0.07;7.47;0.02;5.92;1.53;20.50;10.74;2.88;3.06;3.83;0.87;-0.78;27.19;2.74;35.81;35.64;;;;;;;;;;;;
781;0.10;-0.08;3.44;0.65;3.96;0.03;0.44;0.86;;0.82;0.77;0.62;-0.90;0.40;0.66;0.88;0.90;0.69;-0.22;0.62;0.52;-0.13;0.16;-0.05;4.60;0.08;4.77;-0.25;26.61;11.82;10.15;3.19;1.45;0.73;-0.90;30.30;2.84;49.78;39.75;;;;;;;;;;;;
870;0.01;0.07;1.08;1.80;2.96;0.07;0.18;0.14;;0.78;0.79;0.95;1.17;1.13;0.78;0.92;0.62;0.82;1.10;0.70;-0.22;-0.04;0.00;0.30;9.37;0.84;7.81;0.71;31.87;12.99;11.15;0.43;7.30;0.57;1.32;42.56;3.38;60.24;47.87;;;;;;;;;;;;
1014;0.02;-0.06;1.62;0.47;2.23;0.00;0.48;0.71;;0.91;1.19;0.83;0.33;0.13;0.94;0.57;0.76;0.89;0.11;0.78;0.49;0.60;-0.18;-0.04;7.03;-0.10;7.60;-0.47;20.08;12.41;5.61;2.67;-0.62;0.49;2.79;29.90;3.24;44.98;39.39;;;;;;;;;;;;
1248;-0.01;-0.05;-0.21;-1.22;-1.51;-0.12;-0.10;0.77;;-0.19;0.32;0.58;1.60;-0.07;0.58;1.13;0.09;0.50;0.08;0.77;0.26;-0.19;0.03;-0.05;5.34;0.06;5.82;-0.54;1.46;8.13;-6.51;2.64;-2.80;0.34;-1.17;5.63;2.21;6.42;0.72;;;;;;;;;;;;
1259;0.02;-0.12;-0.12;0.61;0.45;0.01;0.43;0.79;;0.46;0.43;0.38;0.12;0.56;0.85;0.34;0.51;0.75;0.62;0.66;0.57;0.06;-0.06;0.00;3.86;-0.36;5.35;-1.13;20.13;13.93;2.84;2.71;0.66;0.59;0.28;24.28;3.32;33.98;33.32;;;;;;;;;;;;
1317;-0.01;0.06;-0.45;-0.12;-0.42;-0.06;0.19;0.27;;0.20;-0.22;0.35;0.94;0.40;0.28;1.69;0.48;0.29;0.65;0.43;0.25;0.16;-0.09;-0.04;1.88;2.14;-0.84;0.57;14.09;11.03;-1.50;3.98;0.58;0.84;0.59;16.56;2.12;20.54;18.99;;;;;;;;;;;;
1590;0.00;-0.07;-0.22;0.58;0.38;0.00;0.29;0.78;;0.58;0.57;0.23;-0.53;0.55;0.50;0.77;0.67;0.52;0.01;0.53;0.16;0.16;-0.10;0.02;3.92;0.15;4.52;-0.74;13.77;10.36;2.45;2.46;-1.49;0.39;0.90;18.60;2.52;26.09;24.46;;;;;;;;;;;;
1676;0.00;-0.19;1.19;-0.14;0.92;-0.17;0.42;0.76;;0.65;0.88;0.63;-0.79;-0.44;0.70;0.75;0.83;0.87;-0.16;0.67;0.45;0.55;-0.06;-0.03;7.31;-0.18;9.44;-1.94;18.27;10.15;1.70;5.44;0.98;1.15;2.61;28.20;2.97;38.51;32.24;;;;;;;;;;;;
1787;0.01;-0.10;1.94;-0.14;1.83;0.03;0.61;0.95;;0.81;1.04;0.26;0.88;-0.07;0.62;0.15;1.13;0.88;0.24;0.65;0.80;-0.07;-0.11;0.20;3.81;0.90;3.87;-0.97;23.75;17.34;3.18;5.43;-2.21;0.94;0.63;28.19;3.86;43.53;41.05;;;;;;;;;;;;
2010;-0.01;-0.01;0.19;1.76;2.03;0.05;-0.11;0.72;;0.32;0.75;0.20;0.83;0.29;0.35;1.05;-0.02;0.38;0.50;0.63;-0.07;0.17;-0.10;0.09;11.24;-0.45;11.83;-0.14;16.06;5.13;9.19;1.92;-0.18;0.37;1.32;28.62;2.21;40.50;27.59;;;;;;;;;;;;
2172;-0.01;-0.06;0.32;0.65;1.10;0.07;0.22;0.62;;0.63;0.68;-0.07;1.10;0.70;0.89;0.27;0.51;0.60;0.67;0.78;0.19;0.28;-0.19;0.05;9.56;-0.36;10.55;-0.64;19.40;10.62;3.92;4.06;0.81;0.87;1.66;30.62;3.18;42.01;36.85;;;;;;;;;;;;
2252;0.00;0.08;-0.01;3.54;3.48;-0.11;0.34;0.45;;1.12;0.41;0.91;0.68;-0.48;0.57;1.20;0.68;0.68;-0.13;0.56;0.06;0.28;0.13;0.44;10.57;-0.18;9.95;0.79;27.84;6.31;17.69;4.11;-0.27;0.80;3.57;41.97;2.26;58.48;45.95;;;;;;;;;;;;
2399;-0.01;0.08;2.02;-0.29;1.78;0.05;0.47;0.70;;1.35;0.76;0.61;0.17;0.51;0.59;1.59;1.12;0.60;0.46;0.74;-0.30;-0.31;0.03;0.05;8.94;0.82;7.32;0.79;24.62;14.45;2.61;5.74;1.83;1.27;-1.30;32.26;3.62;46.88;42.87;;;;;;;;;;;;
2603;-0.01;0.17;1.12;-0.32;0.98;-0.01;-0.05;0.74;;0.24;0.61;0.48;0.07;0.04;0.73;0.71;0.45;0.45;-0.04;0.66;-0.03;-0.09;-0.02;-0.11;5.64;0.75;3.24;1.64;10.18;9.65;0.63;-0.89;0.78;-0.13;-0.98;14.84;2.25;23.54;13.53;;;;;;;;;;;;
2632;0.00;-0.12;-0.07;0.40;0.27;-0.07;0.13;0.76;;0.31;0.83;0.11;-0.98;0.91;0.48;0.21;0.25;0.50;-0.06;0.38;-0.27;-0.16;-0.08;0.14;3.38;1.04;3.60;-1.27;12.14;7.40;1.85;1.94;0.95;0.45;-0.14;15.39;1.84;20.84;16.05;;;;;;;;;;;;
2641;-0.01;0.04;-0.74;0.39;-0.34;-0.02;0.11;0.74;;0.27;0.21;0.46;-0.41;0.00;0.11;0.92;0.33;0.37;0.11;0.35;-0.01;0.11;0.02;-0.11;3.29;1.33;1.57;0.38;9.91;8.70;0.47;1.20;-0.46;0.21;0.00;13.20;1.90;16.89;15.03;;;;;;;;;;;;
3171;0.11;-0.20;1.98;0.10;2.04;-0.09;0.37;0.61;;0.88;0.97;0.64;0.96;-0.25;0.51;0.84;1.04;0.81;-0.16;0.56;0.29;0.29;-0.04;0.03;7.13;0.73;7.83;-1.43;18.38;10.36;4.46;2.37;1.19;0.55;1.59;27.10;2.86;40.60;32.30;;;;;;;;;;;;
3173;0.00;-0.05;0.88;0.52;1.45;0.00;0.46;0.70;;0.76;1.02;1.00;-0.58;-0.47;0.91;0.85;0.93;0.83;-0.45;0.72;0.18;0.24;-0.09;-0.04;5.91;0.59;5.76;-0.44;20.00;10.72;4.37;4.21;0.69;0.89;0.99;26.89;2.72;38.23;36.12;;;;;;;;;;;;
3314;-0.01;0.45;-0.38;1.79;1.92;0.03;0.26;0.86;;0.58;0.66;0.17;0.50;-0.49;0.82;0.49;0.61;0.39;-0.40;0.70;-0.07;-0.16;-0.07;-0.11;8.15;-0.14;3.77;4.52;19.93;8.92;8.16;4.65;-1.80;0.81;-1.35;26.73;2.16;38.13;32.83;;;;;;;;;;;;
3324;0.00;0.08;3.17;-0.53;2.83;0.25;0.13;0.64;;-0.41;0.97;0.78;0.77;0.43;0.46;-0.32;-0.33;0.71;0.64;0.34;0.62;0.23;-0.10;-0.13;4.93;0.69;3.40;0.84;13.02;8.25;3.69;2.14;-1.06;0.36;0.45;18.41;1.99;32.22;27.21;;;;;;;;;;;;
3356;0.00;-0.07;-0.58;-0.30;-1.08;-0.07;0.19;0.80;;0.59;0.06;0.20;-0.89;0.23;0.55;0.90;0.42;0.34;0.14;0.59;0.34;-0.19;0.14;0.06;4.14;0.41;4.38;-0.66;7.49;9.23;-2.67;0.72;0.21;0.16;-0.60;11.03;2.29;13.36;12.92;;;;;;;;;;;;
3591;0.01;-0.13;0.65;1.07;1.57;-0.17;0.29;0.65;;0.84;0.89;1.05;-0.55;0.36;0.72;0.27;0.77;0.89;0.16;0.67;0.10;0.37;0.04;-0.03;3.23;0.17;4.26;-1.20;22.79;13.58;6.65;4.90;-2.35;0.82;1.70;27.71;3.14;40.48;29.26;;;;;;;;;;;;
4028;0.11;0.37;-0.39;2.78;2.67;0.15;0.42;0.71;;0.36;0.53;1.03;-0.07;0.22;0.97;0.37;0.33;0.75;0.30;0.77;0.25;0.55;0.20;0.07;6.05;-0.32;2.13;4.23;31.99;13.27;13.10;6.69;-1.06;1.27;3.09;41.13;2.87;56.63;53.34;;;;;;;;;;;;
4039;-0.01;0.28;4.41;0.56;5.26;0.08;0.36;0.73;;0.79;0.91;0.93;1.24;0.14;0.82;0.31;0.78;0.69;0.24;0.75;0.02;0.30;-0.02;-0.14;13.96;0.50;10.67;2.79;28.57;10.63;11.62;5.03;1.30;1.09;0.79;43.32;3.19;67.75;52.54;;;;;;;;;;;;
4085;0.01;0.13;-0.58;0.62;0.02;-0.03;0.45;0.76;;0.72;0.69;0.44;-0.88;0.01;0.74;0.50;0.76;0.72;-0.10;0.67;0.33;-0.05;0.16;-0.08;7.20;0.46;5.43;1.31;24.03;11.35;1.96;2.73;7.98;1.08;-0.65;30.58;2.81;37.69;38.93;;;;;;;;;;;;
4119;-0.01;-0.06;0.40;0.08;0.32;-0.06;0.20;0.62;;0.26;0.68;-0.08;0.85;0.85;0.78;0.91;0.32;0.44;0.57;0.67;0.26;0.20;0.10;-0.06;7.92;0.18;8.35;-0.61;16.78;8.94;1.22;2.46;4.15;0.77;0.73;25.43;2.62;32.98;27.90;;;;0;;;0;;;0;;0
4121;-0.01;-0.04;-0.10;-0.17;-0.28;0.00;0.30;0.77;;0.39;1.00;0.55;0.58;-0.14;0.65;0.26;0.63;0.78;0.00;0.76;0.08;-0.15;-0.05;0.00;7.11;0.01;7.61;-0.51;14.02;10.87;-1.05;5.10;-0.89;0.96;-0.74;20.40;2.94;26.87;26.35;;;;0;;;0;;;0;;0
4145;-0.02;0.11;0.26;0.24;0.67;0.10;0.06;0.76;;0.34;0.89;0.47;-0.44;0.51;-0.01;0.16;0.45;0.55;0.36;0.25;-0.04;-0.25;-0.09;0.07;5.15;1.27;2.93;0.96;14.87;10.37;1.70;1.90;0.90;0.44;-0.87;19.15;2.37;27.17;22.94;;;;0;;;0;;;0;;0
4269;-0.01;0.13;1.26;0.25;1.48;-0.02;0.30;0.57;;0.85;0.40;0.71;-0.65;0.32;0.70;0.73;0.32;0.74;0.05;0.63;-0.01;0.14;0.16;0.13;5.25;1.59;2.40;1.27;19.52;10.35;3.79;1.55;3.83;0.57;1.37;26.14;2.31;36.53;31.56;;;;0;;;0;;;0;;0
4284;-0.01;-0.03;1.21;-0.13;1.03;-0.10;0.22;0.49;;0.87;0.73;1.24;-0.99;0.09;0.67;0.52;0.71;0.67;-0.24;0.70;0.13;0.28;0.02;-0.04;1.17;2.18;-0.64;-0.37;15.33;11.96;1.80;1.48;0.09;0.30;1.19;17.69;2.33;26.72;19.57;;;;0;;;0;;;0;;0
4521;0.00;-0.06;1.32;-0.24;0.93;0.04;0.07;0.40;;0.42;0.29;0.50;-0.10;-0.07;0.70;1.05;0.47;0.62;-0.19;0.69;0.14;0.09;0.09;-0.06;5.73;0.09;6.25;-0.61;12.26;6.83;1.45;4.06;-0.08;0.81;0.18;18.17;1.99;26.06;20.47;;;;0;;;0;;;0;;0
4601;0.00;0.20;0.00;0.19;0.47;0.05;-0.01;0.61;;0.21;0.13;1.22;0.42;0.49;0.20;0.89;0.20;0.28;0.47;0.38;0.37;0.59;-0.08;-0.01;9.26;0.38;6.86;2.02;7.77;6.28;0.94;0.50;0.05;0.10;2.90;19.93;1.94;26.24;20.92;;;;0;;;0;;;0;;0
4611;-0.02;0.05;-0.66;0.65;-0.06;-0.04;0.33;0.49;;0.47;0.70;0.51;0.47;-0.26;0.77;1.47;0.64;0.82;0.14;0.78;0.26;0.32;0.07;0.00;10.96;0.23;10.38;0.35;16.13;9.14;1.91;4.20;0.88;0.90;1.60;28.69;2.86;35.65;34.30;;;;0;;;0;;;0;;0
4780;0.01;-0.17;1.41;-0.60;0.73;-0.07;-0.05;0.74;;0.04;0.01;0.65;0.03;-0.60;0.61;0.74;0.04;0.25;-0.15;0.76;0.07;-0.11;-0.08;0.12;4.69;0.15;6.16;-1.62;5.40;5.10;-0.20;1.48;-0.98;0.23;0.04;10.13;1.64;16.49;7.38;;;;0;;;0;;;0;;0
5077;-0.03;0.11;-0.40;-0.23;-0.56;-0.13;-0.29;0.52;;0.43;-0.44;0.67;0.13;-0.28;-0.43;0.66;0.37;0.22;-0.15;0.02;0.49;0.10;0.00;-0.12;0.51;1.40;-1.85;0.96;3.14;5.84;-1.98;1.02;-1.73;0.09;-0.07;3.58;0.98;4.29;-5.40;;;;0;;;0;;;0;;0
5146;-0.02;0.00;1.68;0.44;2.08;0.05;0.52;0.68;;0.64;0.72;1.03;-0.67;0.07;0.89;0.61;0.54;0.73;-0.03;0.80;0.05;0.53;0.03;0.03;8.59;0.86;7.77;-0.04;19.39;9.70;5.57;4.37;-0.25;0.86;2.84;30.82;2.72;44.11;42.62;;;;0;;;0;;;0;;0
5413;-0.01;-0.16;-0.42;2.55;1.94;0.21;0.54;0.47;;1.15;0.70;0.64;1.24;0.17;1.02;0.65;1.12;0.76;0.19;0.94;0.03;-0.23;0.02;0.32;5.97;0.60;7.01;-1.64;39.06;13.92;11.89;2.16;11.09;1.17;0.46;45.49;3.49;60.26;61.62;;;;0;;;0;;;0;;0
5418;-0.02;0.30;0.66;0.43;1.38;0.05;-0.12;0.70;;-0.12;0.27;-0.10;-0.42;0.01;0.81;1.92;-0.36;0.31;-0.14;0.65;-0.42;-0.16;-0.01;-0.07;5.10;-0.35;2.50;2.95;11.64;4.54;3.45;1.91;1.74;0.50;-1.12;15.62;1.16;22.83;14.50;;;;0;;;0;;;0;;0
5667;0.01;-0.06;0.73;0.00;0.61;-0.03;-0.05;0.35;;0.06;1.13;0.92;0.31;0.65;0.47;0.79;0.14;0.71;0.32;0.61;0.29;-0.01;0.08;-0.02;6.30;0.21;6.60;-0.51;8.66;7.29;1.48;3.17;-3.29;0.42;-0.18;14.78;2.12;21.98;13.10;;;;0;;;0;;;0;;0
5740;-0.01;0.10;0.88;-0.16;0.65;0.01;0.40;0.23;;0.48;0.80;1.20;0.19;1.45;0.68;0.88;0.57;0.81;1.07;0.61;-0.01;0.06;0.17;0.21;12.58;0.10;11.55;0.93;16.92;10.71;0.98;1.46;3.77;0.54;1.32;30.82;3.30;41.09;39.18;;;;0;;;0;;;0;;0
5947;0.01;-0.02;3.09;0.11;3.16;0.16;0.11;0.72;;0.03;0.29;1.11;0.80;0.37;-0.23;-0.23;0.35;0.38;0.24;0.15;0.18;0.17;0.04;0.12;6.74;0.73;6.13;-0.12;17.11;6.15;6.75;3.53;0.68;0.75;1.47;25.32;1.84;39.80;31.50;;;;0;;;0;;;0;;0
5973;0.00;-0.01;-0.04;0.62;0.21;-0.02;0.18;0.72;;0.15;0.70;0.52;0.60;-0.37;0.78;-0.08;0.50;0.42;0.07;0.75;0.16;0.08;0.36;-0.02;5.65;0.38;5.39;-0.12;12.75;9.62;3.03;1.98;-1.87;0.27;0.35;18.75;2.46;25.56;21.78;;;;0;;;0;;;0;;0
6027;0.00;-0.03;1.94;0.29;2.21;0.19;0.28;0.64;;-0.16;0.53;0.41;0.80;0.44;1.17;0.65;0.17;0.75;0.11;0.79;-0.28;0.21;-0.01;-0.11;12.15;0.10;12.39;-0.34;17.22;6.12;5.33;5.31;0.45;1.09;0.49;29.87;2.46;42.93;40.23;;;;0;;;0;;;0;;0
6032;-0.01;-0.09;2.44;-0.19;2.02;0.14;0.43;0.70;;0.80;0.82;0.69;-0.97;-0.20;0.55;0.88;0.95;0.70;-0.33;0.68;-0.26;-0.40;0.12;0.14;3.61;0.64;3.90;-0.94;20.29;11.62;3.92;4.13;0.62;0.87;-1.31;22.60;2.71;35.71;34.84;;;;0;;;0;;;0;;0
