SanDiego;CASD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
399;-0.01;0.02;1.75;0.03;1.84;-0.01;0.38;0.43;1.24;0.89;0.07;0.07;;0.31;0.61;0.22;0.83;0.25;0.27;0.32;0.01;0.01;-0.05;-0.09;4.17;1.96;2.06;0.15;14.76;9.47;3.65;2.26;-0.63;0.41;-0.43;18.50;2.10;29.52;46.57
585;-0.02;-0.05;0.26;-0.36;-0.13;0.00;-0.18;0.23;-0.28;0.22;-0.24;0.20;;0.06;-0.02;2.01;-0.12;0.26;0.09;0.29;0.68;0.18;-0.05;-0.07;-2.59;-0.08;-1.89;-0.62;2.20;4.66;-1.28;-1.02;-0.16;-0.21;0.55;0.16;0.74;1.63;18.00
812;0.01;0.01;0.04;1.59;1.67;0.02;0.16;0.62;0.67;0.38;0.71;0.51;;0.43;1.10;1.24;0.43;0.49;0.63;0.95;0.31;0.43;-0.02;-0.04;8.47;-0.32;8.67;0.12;25.28;11.22;8.03;6.35;-0.33;1.25;1.96;35.70;3.11;48.70;11.69
1148;0.01;0.18;0.22;-0.03;0.27;0.00;0.26;0.75;0.60;-0.32;0.83;0.35;;0.91;0.70;-0.15;0.41;0.83;0.58;0.54;0.32;-0.29;0.11;0.21;7.59;-0.28;6.03;1.83;16.78;12.50;0.27;4.07;-0.05;0.81;-0.36;24.00;3.10;32.59;29.17
1159;0.00;-0.01;0.82;-0.28;0.40;0.00;0.23;0.65;0.84;1.23;0.90;-0.17;;0.04;1.19;1.78;0.73;0.57;0.05;0.76;0.35;-0.02;0.14;-0.08;7.55;0.08;7.57;-0.10;18.20;10.04;0.25;6.22;1.69;1.36;-0.50;25.25;2.77;33.40;29.61
1197;0.02;0.00;0.21;0.56;0.80;0.02;0.16;0.14;0.22;0.60;0.50;0.78;;1.27;-0.42;1.53;0.60;0.55;1.03;-0.15;0.36;0.21;-0.02;-0.01;7.31;0.63;6.61;0.07;14.52;7.51;3.20;3.36;0.45;0.70;0.97;22.80;2.16;30.72;31.47
1266;0.01;-0.10;0.74;0.67;1.26;0.11;0.13;0.86;0.77;0.23;0.55;0.90;;-0.04;0.51;0.65;0.49;0.60;-0.09;0.50;0.37;-0.11;0.05;-0.03;10.47;-0.53;11.96;-0.96;14.18;5.82;4.80;4.27;-0.71;0.81;-0.71;23.94;2.36;33.76;29.71
1388;-0.01;-0.07;1.64;0.03;1.65;0.01;0.41;0.93;0.85;1.10;0.88;1.76;;0.02;0.51;1.35;1.07;1.09;-0.03;0.85;0.52;0.17;-0.06;-0.03;3.17;-0.21;4.14;-0.76;22.66;17.46;3.44;2.42;-0.67;0.44;0.72;26.54;3.91;41.47;14.40
1572;0.12;0.43;0.23;1.13;1.77;-0.01;0.02;0.16;0.26;-1.00;1.38;0.58;;0.41;1.15;0.53;0.01;0.70;0.29;1.11;0.15;0.02;0.13;0.12;4.09;-0.05;-0.72;4.86;19.38;11.74;6.10;1.49;0.05;0.30;0.71;24.18;2.28;35.40;55.90
1622;-0.01;0.22;0.23;-0.53;-0.07;0.00;-0.05;0.13;-0.17;0.01;0.19;0.89;;0.99;0.21;-0.18;0.03;0.27;0.97;-0.12;0.23;0.06;-0.02;-0.03;1.60;0.55;-1.06;2.11;5.31;6.95;-2.18;0.12;0.42;0.05;0.12;7.03;1.28;10.03;53.12
1972;0.01;-0.07;1.41;-0.39;0.90;-0.01;0.20;0.82;0.00;1.46;0.44;0.58;;0.54;0.47;0.08;0.39;0.72;0.53;0.75;0.68;-0.42;0.06;-0.02;3.31;0.43;3.59;-0.70;22.29;14.28;0.86;7.90;-0.76;1.53;-2.20;23.41;3.22;34.26;40.10
2102;0.00;0.00;0.09;1.66;1.75;-0.01;0.31;0.74;0.51;0.79;0.69;1.06;;0.48;0.59;1.62;0.56;0.86;0.60;0.52;-0.25;0.08;-0.01;0.05;6.99;0.69;6.34;-0.05;27.51;13.23;8.47;4.27;1.54;0.96;0.69;35.18;3.28;48.86;27.63
2339;0.11;-0.04;0.22;0.17;0.52;0.01;0.19;0.06;0.61;0.18;0.27;0.49;;0.48;0.57;0.51;0.53;0.78;0.55;0.45;0.16;-0.11;-0.05;-0.04;2.91;0.58;2.12;0.21;18.13;10.79;1.29;6.30;-0.25;1.24;-0.73;20.30;2.37;27.85;28.99
2443;-0.01;0.06;0.53;1.75;2.17;-0.01;0.11;0.60;0.68;0.11;-0.14;0.11;;-0.40;0.62;-0.47;0.54;-0.06;-0.05;0.72;-0.38;0.39;0.16;0.15;1.49;0.69;0.24;0.57;19.15;8.60;9.82;1.59;-0.86;0.26;2.68;23.33;1.74;34.48;35.21
2445;-0.01;0.07;0.57;0.39;0.74;-0.02;0.06;0.74;0.73;0.60;0.40;0.17;;-0.38;-0.20;1.23;0.52;0.56;-0.43;-0.05;0.08;-0.23;0.28;-0.03;1.95;1.47;-0.16;0.65;13.11;6.78;3.09;2.12;1.13;0.50;-1.33;13.73;1.34;19.40;32.69
2485;0.00;0.07;0.14;1.20;1.48;0.00;0.31;0.84;1.21;1.12;0.28;0.25;;0.09;0.40;1.17;1.00;0.40;0.03;0.36;0.33;0.58;-0.07;-0.12;8.22;-0.05;7.59;0.68;16.04;9.39;6.28;1.56;-1.19;0.23;2.29;26.55;2.64;37.77;26.40
2486;-0.02;0.08;2.08;0.18;2.29;0.11;0.55;0.78;0.67;0.49;1.10;0.64;;-0.36;1.00;1.17;0.85;1.17;-0.24;0.77;0.29;0.58;0.04;0.03;7.48;0.54;6.19;0.75;24.32;13.52;5.07;4.65;1.07;1.00;3.04;34.83;3.32;50.30;25.95
2496;0.00;-0.09;-0.07;-0.01;-0.08;0.00;0.12;0.79;0.52;-0.34;0.14;0.39;;-0.47;0.04;-0.04;0.30;0.32;-0.39;0.33;-0.22;0.39;-0.09;-0.07;7.80;0.76;7.93;-0.88;6.22;2.76;-0.18;2.99;0.65;0.64;1.62;15.64;1.35;18.75;38.42
2543;-0.01;-0.03;0.63;0.43;1.04;-0.01;0.40;0.94;1.40;0.83;0.84;0.97;;-0.26;0.52;0.57;0.83;0.68;-0.23;0.48;0.20;0.32;-0.02;-0.09;1.90;0.02;2.19;-0.31;18.43;12.36;3.43;3.20;-0.56;0.60;1.15;21.48;2.69;31.47;29.38
2637;0.01;0.04;1.90;-0.35;1.42;-0.01;0.50;0.43;1.09;0.75;0.88;0.77;;1.79;0.60;1.79;0.62;0.91;1.68;0.68;1.01;-0.04;0.18;-0.02;6.38;0.35;5.57;0.47;28.36;18.80;2.03;4.19;3.34;1.06;-0.30;34.44;4.32;49.65;38.70
2658;0.01;-0.04;-0.18;0.22;0.09;-0.02;0.31;0.65;0.72;-0.70;0.65;0.15;;0.12;0.75;-0.13;0.48;0.50;-0.14;0.82;-0.13;-0.04;-0.07;-0.07;0.89;0.35;0.92;-0.38;12.05;11.07;0.76;0.88;-0.66;0.13;-0.55;12.39;2.31;18.42;27.23
2827;0.00;0.10;0.39;-0.18;0.32;-0.01;0.00;0.13;-0.69;0.21;0.12;-0.20;;0.21;0.92;-0.07;-0.25;0.05;0.39;0.79;-0.05;0.09;-0.01;0.04;5.86;-0.53;5.45;0.94;4.11;2.86;-0.12;1.33;0.04;0.27;0.67;10.64;1.12;14.42;19.96
2839;0.00;-0.03;0.50;0.23;0.79;0.01;0.18;0.67;0.33;0.25;0.44;0.60;;-0.18;0.64;1.22;0.39;0.69;-0.05;0.60;-0.22;-0.11;-0.09;-0.09;5.20;0.13;5.34;-0.27;13.25;8.88;2.15;2.19;0.03;0.44;-0.96;17.49;2.31;25.71;48.65
2984;0.01;-0.05;-0.54;0.06;-0.49;-0.02;-0.16;0.71;-0.23;-0.61;0.79;0.84;;-0.21;1.01;0.84;-0.62;0.88;-0.36;0.87;0.49;0.17;-0.03;-0.07;3.36;-0.06;3.90;-0.48;3.47;5.45;-0.76;-1.10;-0.11;-0.23;0.50;7.33;1.48;9.50;31.44
3021;0.01;0.08;0.87;2.11;3.15;0.10;0.43;0.54;0.22;0.68;1.09;0.54;;0.15;0.74;0.84;0.59;0.87;0.33;0.87;0.14;0.64;-0.07;0.06;8.66;0.70;7.06;0.89;29.75;12.44;12.29;5.16;-0.14;1.02;3.50;41.90;3.19;59.72;22.57
3128;0.00;-0.05;2.71;0.54;3.08;-0.01;0.42;0.71;0.63;1.01;0.79;0.37;;0.18;0.83;-0.23;0.90;0.54;0.06;0.91;0.15;0.66;0.11;-0.07;2.79;1.42;1.89;-0.51;26.10;14.69;8.11;4.75;-1.44;0.85;2.99;31.89;3.13;49.34;25.89
3255;0.02;0.01;0.50;2.14;2.66;0.01;0.67;0.80;0.84;0.76;0.55;0.84;;0.09;0.93;0.28;1.27;0.94;-0.22;0.99;0.19;0.27;0.00;0.00;10.73;-0.31;10.91;0.14;30.09;13.48;11.73;3.90;0.98;0.85;1.36;42.19;3.79;59.98;34.95
3328;-0.02;0.04;0.13;-0.04;0.00;0.01;0.34;0.44;0.29;1.15;0.77;0.62;;0.68;0.86;0.07;0.42;0.86;0.47;0.72;0.57;0.94;0.10;0.19;1.54;0.60;0.68;0.26;20.49;14.21;0.07;4.91;1.29;1.07;5.68;27.72;2.91;35.01;21.37
3341;0.01;-0.03;0.30;0.43;0.68;0.00;0.29;0.52;0.63;0.55;0.36;0.55;;0.20;0.97;0.51;0.91;0.44;-0.17;0.95;0.34;0.32;0.03;0.25;4.64;-0.02;4.94;-0.28;16.98;10.76;2.77;3.73;-0.28;0.73;2.86;24.47;2.64;33.19;44.06
3473;-0.02;0.04;0.75;0.29;1.02;-0.01;0.35;0.88;0.51;0.01;-0.12;0.63;;0.35;1.13;0.33;0.56;0.47;0.40;0.93;0.17;0.03;0.04;-0.09;7.34;0.96;6.09;0.29;21.36;13.14;2.93;3.91;1.37;0.87;-0.27;28.43;3.24;39.71;34.72
3486;-0.02;0.05;-0.60;0.10;-0.38;0.00;0.04;0.39;-0.23;0.19;0.68;0.13;;-0.06;-0.08;0.55;-0.15;0.49;0.38;0.13;0.76;-0.04;-0.09;-0.15;1.09;0.40;0.31;0.37;5.66;6.08;-0.69;1.03;-0.76;0.15;-0.94;5.80;1.25;7.73;39.29
3647;-0.02;0.02;0.12;0.30;0.43;0.01;0.23;0.78;-0.13;-0.07;1.05;0.97;;-0.14;1.44;0.27;0.21;0.84;0.01;0.84;0.05;1.16;0.00;0.07;10.78;-0.16;10.84;0.11;15.18;8.02;1.75;4.65;0.77;0.98;6.19;32.16;2.69;40.21;30.17
3704;-0.03;-0.08;0.33;-0.37;-0.04;0.00;-0.14;0.65;-0.41;-0.02;-0.46;0.47;;-0.36;0.48;0.36;-0.06;0.05;-0.47;0.54;-0.25;0.02;-0.10;-0.10;3.52;0.84;3.57;-0.90;-1.00;1.78;-1.18;-0.76;-0.85;-0.21;-0.41;2.10;0.71;3.77;37.03
3749;-0.02;-0.04;-0.37;0.08;-0.30;-0.01;-0.15;0.23;-0.15;-0.30;0.71;-0.40;;-0.06;0.83;1.50;-0.17;0.16;-0.02;0.73;0.35;0.39;-0.06;0.00;1.81;-0.36;2.64;-0.48;0.90;3.34;-0.36;-0.83;-1.25;-0.25;1.96;4.67;0.93;6.07;35.20
3882;0.00;0.41;-0.80;2.93;2.51;-0.01;0.16;0.18;0.41;-0.28;0.31;0.29;;0.10;0.58;1.07;0.15;0.38;0.26;0.59;0.24;-0.24;0.04;0.09;4.75;0.24;0.35;4.15;24.49;7.59;13.08;2.40;1.43;0.57;-0.71;28.53;1.55;40.27;25.31
3965;-0.02;0.01;0.65;0.08;0.73;-0.01;0.04;0.87;1.23;-0.06;0.16;0.44;;0.31;0.42;0.49;0.15;0.44;0.17;0.68;-0.01;0.50;0.00;0.23;7.65;0.70;6.92;0.02;10.76;8.10;1.71;1.15;-0.21;0.22;3.65;22.06;2.31;30.12;41.18
4014;0.00;0.07;-0.32;0.13;-0.08;0.01;0.40;0.78;0.25;0.68;1.19;0.93;;0.78;0.85;0.67;0.55;0.95;0.62;0.67;0.30;0.13;-0.04;0.20;6.89;0.64;5.54;0.71;21.92;15.03;0.01;6.10;0.79;1.27;1.62;30.43;3.56;39.07;34.45
4078;-0.03;0.09;0.14;0.03;0.27;0.00;0.13;0.25;0.69;0.30;0.01;0.03;;0.04;0.76;0.58;0.30;0.15;0.00;0.73;0.44;0.22;-0.04;0.08;4.87;0.93;3.14;0.79;7.39;5.59;0.40;1.15;0.25;0.25;1.51;13.77;1.43;18.20;11.66
4139;0.11;0.02;-0.01;-0.08;-0.03;0.01;-0.30;0.51;-0.07;-0.60;-0.24;0.31;;-0.30;-0.12;1.10;-0.17;0.14;-0.23;0.33;0.63;0.10;0.07;-0.07;2.36;-0.09;1.75;0.70;-0.04;1.99;-0.40;-1.07;-0.55;-0.25;0.17;2.49;0.57;3.82;-0.73
4160;0.01;0.01;-0.01;-0.35;-0.40;0.01;0.07;0.53;-0.22;0.37;1.13;0.56;;0.60;0.10;0.49;0.08;0.87;0.72;0.53;0.05;0.59;0.06;0.32;0.11;1.03;-1.03;0.11;14.02;14.19;-1.77;1.30;0.30;0.28;4.55;18.68;2.74;24.27;0.88
4486;-0.02;-0.08;1.45;0.02;1.33;0.00;0.42;0.93;1.37;1.18;0.71;0.53;;-0.36;0.45;1.78;1.18;0.66;-0.51;0.59;0.11;0.29;0.04;0.05;6.93;0.73;7.14;-0.95;17.48;10.69;3.02;4.83;-1.06;0.90;1.70;26.10;2.85;37.40;3.98
4501;0.01;-0.09;0.23;1.02;1.03;0.00;0.19;0.79;1.06;1.01;0.61;0.29;;-0.01;0.21;0.91;1.13;0.40;-0.03;0.63;0.47;0.14;0.13;0.05;0.91;0.66;1.07;-0.82;24.53;14.12;5.54;3.99;0.89;0.86;1.00;26.44;2.93;37.00;6.05
4578;-0.03;-0.01;0.53;0.63;1.07;-0.01;0.24;0.27;0.64;0.89;0.45;0.84;;-0.34;0.20;-0.44;0.33;0.67;-0.16;0.57;-0.30;-0.01;0.05;-0.06;0.24;0.30;0.17;-0.23;15.49;8.32;4.18;4.48;-1.50;0.80;-0.36;15.37;1.68;22.91;3.54
4583;0.00;0.03;0.35;0.37;0.74;-0.02;-0.06;0.51;0.35;0.18;0.60;0.37;;0.30;0.95;-0.06;-0.05;0.34;0.25;0.39;0.04;0.42;0.00;0.17;4.55;0.46;3.81;0.27;5.75;5.30;2.54;-1.08;-1.01;-0.28;2.95;13.24;1.44;19.17;29.13
4616;-0.01;0.03;-0.67;0.04;-0.59;-0.01;-0.08;0.47;-0.11;0.61;-0.35;0.69;;0.61;0.94;-0.43;0.04;0.31;0.56;0.72;-0.46;0.08;-0.01;-0.02;-2.23;-0.08;-2.45;0.30;11.42;11.70;-1.15;0.44;0.42;0.12;0.30;9.49;2.09;12.87;24.15
4738;-0.01;-0.02;-0.21;-0.14;-0.36;0.00;0.08;0.60;1.01;0.99;0.83;0.58;;-0.42;0.32;1.87;0.69;0.57;-0.30;0.21;0.13;-0.35;-0.01;0.06;0.07;-0.06;0.34;-0.20;8.82;8.71;-1.11;0.47;0.74;0.14;-1.46;7.43;1.78;10.76;30.28
4913;0.01;-0.05;-0.28;0.40;0.07;-0.02;-0.19;0.91;0.39;-0.73;-0.25;-0.26;;0.60;0.15;0.18;-0.01;-0.36;0.60;0.38;0.04;0.70;0.01;0.01;6.36;0.38;6.44;-0.47;6.12;4.40;1.43;1.32;-1.04;0.20;3.55;16.03;1.53;20.05;20.27
4919;0.00;0.01;-0.03;-0.18;-0.30;-0.02;-0.17;0.18;-0.11;0.08;-0.02;0.70;;0.75;0.16;1.53;0.06;-0.02;0.55;0.32;0.27;0.35;0.09;0.06;1.66;1.81;-0.21;0.07;1.08;5.54;-0.97;-3.36;-0.13;-0.68;2.03;4.77;1.09;6.56;24.35
4984;0.00;-0.08;2.08;-0.48;1.63;0.00;0.10;0.93;0.07;-0.05;1.01;0.94;;0.11;0.50;-0.03;0.02;0.83;-0.06;0.49;-0.19;0.51;-0.11;0.18;10.80;-0.61;12.19;-0.78;9.61;4.97;1.75;3.90;-1.01;0.71;3.44;23.84;2.21;34.46;-3.60
5025;0.01;0.09;0.51;-0.39;0.25;-0.02;0.26;0.82;0.90;-0.45;0.29;0.72;;0.71;0.99;0.63;0.39;0.39;0.60;0.63;-0.15;0.58;-0.02;-0.05;8.21;1.14;6.10;0.97;15.74;11.08;-0.91;0.83;4.74;0.48;2.65;26.60;2.83;34.45;9.00
5137;-0.02;-0.09;0.69;-0.09;0.52;0.02;0.47;0.85;1.50;1.07;0.35;1.06;;-0.15;0.24;1.33;1.49;0.64;-0.14;0.55;0.05;-0.12;-0.03;-0.08;5.50;-0.06;6.59;-1.03;20.79;13.67;0.95;6.06;0.11;1.22;-0.99;25.31;3.39;35.43;16.24
5199;0.00;-0.08;1.37;0.10;1.35;0.01;0.42;0.35;0.70;0.48;1.02;1.24;;0.78;0.20;0.36;0.48;0.85;0.77;0.62;0.13;0.30;0.04;0.11;7.42;0.66;7.60;-0.83;20.41;11.51;3.23;3.45;2.21;0.84;2.03;29.86;3.06;41.73;-3.40
5209;0.01;0.01;1.89;0.03;1.90;-0.02;0.31;0.65;0.97;0.48;0.46;1.04;;0.44;0.85;0.68;0.76;0.43;0.24;0.78;-0.46;0.13;0.04;-0.05;4.40;0.17;4.04;0.18;19.18;12.27;3.91;3.29;-0.29;0.64;0.38;23.95;2.86;37.04;7.86
5474;0.00;0.05;-0.32;0.17;-0.43;0.00;0.20;0.57;0.27;1.07;0.71;0.54;;0.37;0.80;-0.96;0.18;0.62;0.58;0.49;0.75;0.31;0.32;0.11;9.01;0.80;7.72;0.49;12.50;8.35;0.21;2.33;1.61;0.57;2.10;23.61;2.44;28.38;6.60
5477;0.02;0.01;-0.41;0.10;-0.39;0.01;-0.10;0.19;0.33;0.39;-0.08;0.59;;0.11;0.74;-0.02;0.36;0.08;0.13;0.41;0.45;0.11;0.11;0.10;0.13;0.15;-0.21;0.19;4.50;5.96;-0.32;-1.41;0.28;-0.26;1.06;5.69;1.17;7.38;13.85
5514;-0.01;-0.08;-0.04;-0.22;-0.39;0.00;0.45;0.88;0.35;0.59;0.63;1.53;;0.50;0.78;1.15;0.52;0.87;0.43;0.83;0.20;-0.24;0.04;-0.01;4.32;0.53;4.62;-0.83;17.39;15.35;-1.18;2.10;1.13;0.49;-1.27;20.43;3.53;28.03;7.52
5627;-0.03;0.04;0.19;-0.68;-0.44;0.01;0.10;0.38;-0.57;0.71;1.01;0.40;;0.18;0.31;0.65;-0.22;0.71;0.35;0.39;0.42;0.24;-0.04;-0.05;3.65;1.17;2.28;0.19;7.19;6.89;-3.01;3.42;-0.10;0.68;0.94;11.78;1.61;14.41;10.47
5805;0.00;0.04;-0.04;0.20;0.13;-0.02;0.62;0.78;0.79;0.67;1.19;1.11;;0.19;0.75;-0.12;0.87;1.04;0.29;0.85;-0.09;0.21;0.08;0.13;8.69;0.75;7.50;0.44;24.16;15.40;0.90;7.56;0.30;1.53;1.72;34.57;3.83;44.55;1.54
5857;0.00;-0.06;-0.15;-0.23;-0.44;0.01;-0.07;0.14;-0.16;0.97;0.84;0.25;;0.39;0.60;1.40;0.41;0.67;0.12;0.51;0.63;0.52;-0.01;0.03;4.79;0.88;4.49;-0.59;8.92;6.99;-1.47;3.09;0.31;0.64;2.74;16.44;1.85;19.70;17.92
5884;0.02;-0.02;-0.70;-0.48;-1.28;-0.01;-0.10;0.82;0.55;0.52;0.43;-0.24;;0.05;0.01;1.00;0.56;-0.12;-0.03;0.68;0.77;0.00;0.10;0.00;4.50;0.03;4.57;-0.11;5.62;7.22;-3.80;2.31;-0.11;0.46;0.00;10.13;1.90;10.89;15.20
