WesternCanada;ABCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
216;0.00;0.11;-0.36;1.54;1.35;-0.02;0.07;0.66;1.87;0.23;0.95;0.43;3.20;0.47;0.59;0.67;0.38;0.66;0.57;0.64;0.22;0.04;-0.07;0.02;7.83;0.78;6.00;1.06;22.90;11.60;6.98;4.32;0.00;0.86;0.31;31.04;2.92;42.58;31.93
244;0.00;-0.01;2.20;-0.40;1.77;0.05;-0.03;0.60;-0.45;0.34;0.00;0.18;1.20;0.04;-0.07;0.67;0.13;0.11;0.31;0.34;-0.10;0.40;0.02;0.26;6.31;0.04;6.35;-0.08;8.19;4.30;2.39;2.06;-0.56;0.38;3.31;17.82;1.50;27.08;18.36
288;0.00;0.04;-0.37;1.33;1.03;-0.09;0.25;0.60;0.33;0.81;0.78;0.87;3.00;0.04;0.78;0.67;0.42;0.84;0.01;0.70;0.06;-0.06;-0.03;-0.11;11.44;-0.03;11.08;0.39;17.91;7.25;5.93;5.02;-0.29;0.98;-0.83;28.52;2.56;38.12;31.33
1482;0.00;-0.07;0.20;0.51;0.63;-0.03;0.16;0.72;3.23;0.09;0.85;0.53;3.00;0.59;0.62;0.67;0.11;0.55;0.52;0.57;-0.25;-0.15;0.01;0.15;4.59;0.54;4.72;-0.66;16.88;10.00;2.95;3.53;0.41;0.73;-0.04;21.42;2.47;29.58;23.91
2013;0.00;0.49;0.75;2.85;4.12;0.50;0.48;0.64;-12.18;1.14;0.06;0.59;2.80;0.02;0.64;0.67;1.08;0.74;-0.03;0.69;0.46;0.58;-0.02;-0.10;14.38;-0.22;9.68;4.92;37.47;10.77;15.76;4.30;6.64;1.30;2.42;54.28;3.12;74.95;76.28
2130;0.00;0.35;-0.57;2.59;2.37;0.03;0.13;0.68;-1.34;0.56;0.19;0.54;-0.20;-0.60;0.13;0.67;0.64;0.39;-0.15;0.40;0.30;0.58;0.00;0.10;2.90;0.06;-0.62;3.46;29.65;10.06;11.80;5.58;2.21;1.26;3.41;35.96;1.95;48.25;39.34
3211;0.00;0.61;-0.09;3.12;3.61;0.08;0.56;0.68;-0.10;0.90;0.93;1.10;-0.60;-0.62;1.02;0.67;1.09;0.86;-0.44;0.82;0.05;0.17;0.03;-0.03;14.71;0.73;7.87;6.10;31.60;11.12;15.40;4.53;0.55;0.94;0.67;46.97;3.01;65.78;60.16
3216;0.00;-0.01;2.53;-0.47;2.12;0.07;0.42;0.71;-4.44;0.32;0.34;0.74;-0.40;0.68;0.90;0.67;0.43;0.64;0.51;0.80;0.65;0.27;-0.07;-0.02;10.88;0.14;10.83;-0.08;17.91;10.03;2.72;5.07;0.08;1.02;1.26;30.06;3.09;44.41;40.25
3354;0.00;0.16;-0.27;1.82;1.28;-0.06;0.05;0.67;5.89;0.09;0.78;0.11;1.00;0.30;0.88;0.67;0.31;0.32;0.21;0.81;-0.29;-0.20;0.43;0.03;6.20;1.93;2.69;1.58;22.39;10.30;8.55;2.49;1.05;0.57;-0.85;27.74;2.33;37.56;27.30
3933;0.00;0.05;0.28;0.56;0.94;0.08;0.22;0.50;1.18;0.80;0.75;0.89;2.80;0.11;0.93;0.67;0.66;0.85;0.12;0.85;0.30;-0.10;-0.05;-0.06;7.38;0.87;6.04;0.47;19.32;11.88;3.36;3.95;0.13;0.80;-0.80;25.90;2.98;36.30;32.14
4010;0.00;-0.14;0.25;0.27;0.18;0.03;0.48;0.70;2.99;1.38;0.05;0.68;1.00;1.11;0.83;0.67;1.14;0.54;0.89;0.71;0.32;-0.11;0.19;-0.04;9.24;-0.35;10.95;-1.37;19.12;14.45;1.83;3.11;-0.27;0.60;-0.75;27.60;3.99;38.15;37.77
4334;0.00;0.67;-0.05;5.18;5.62;0.45;0.67;0.67;1.78;1.17;1.16;0.94;-0.20;0.58;0.79;0.67;1.30;0.93;0.28;0.87;0.24;0.65;0.18;-0.13;12.86;0.65;5.52;6.69;51.50;17.44;25.80;6.10;2.16;1.36;2.56;66.92;4.04;94.58;91.45
4497;0.00;-0.04;0.07;-0.59;-0.51;-0.09;0.29;0.69;-6.44;0.23;0.26;0.80;0.80;0.51;0.79;0.67;0.15;0.54;0.48;0.65;0.50;0.61;-0.04;0.08;1.46;-0.05;1.91;-0.39;9.65;11.62;-2.79;0.33;0.48;0.10;3.46;14.57;2.51;19.25;18.08
4604;0.00;-0.17;-0.17;0.17;-0.27;0.09;0.33;0.67;-0.08;-0.06;1.23;0.80;-2.20;0.99;0.54;0.67;0.09;0.82;0.96;0.64;-0.13;-0.11;0.10;0.09;4.04;0.91;4.88;-1.74;16.27;13.46;0.52;2.85;-0.56;0.53;-0.08;20.23;3.18;27.33;29.28
4613;0.00;0.10;-0.34;1.36;1.18;0.01;0.41;0.58;-1.84;0.72;0.82;0.92;-3.00;0.46;0.78;0.67;0.58;0.65;0.38;0.66;0.52;0.44;-0.06;0.04;7.05;0.01;6.00;1.03;22.21;11.29;6.11;4.27;0.53;0.89;2.37;31.63;2.86;42.47;40.22
4625;0.00;0.10;-0.06;0.27;0.36;0.00;0.10;0.71;3.58;0.44;1.36;0.49;-0.20;-0.12;0.77;0.67;0.57;0.62;-0.13;0.71;-0.21;-0.32;-0.05;0.39;7.61;1.09;5.50;1.02;12.62;9.66;1.23;2.63;-0.89;0.47;0.38;20.61;2.48;27.95;22.78
4627;0.00;0.14;1.05;0.77;1.96;0.02;0.51;0.68;3.09;1.25;1.05;0.75;-4.00;0.49;0.88;0.67;0.86;0.77;0.37;0.78;0.08;0.18;0.00;0.02;5.97;0.19;4.41;1.38;24.57;15.12;5.95;3.85;-0.34;0.75;1.04;31.58;3.46;46.35;42.38
