Oklahoma;OKOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
31;0.00;0.02;-0.33;-0.11;-0.41;-0.04;-0.23;0.78;;-0.48;-0.57;0.61;0.32;-0.47;0.38;0.46;-0.21;0.41;-0.59;0.38;0.17;-0.09;-0.01;0.00;0.99;1.10;-0.28;0.18;0.53;3.97;-1.19;-0.89;-1.37;-0.27;-0.41;1.10;0.77;1.73;-4.50
932;0.00;0.03;3.24;0.00;3.30;0.11;0.17;0.73;;-0.42;0.91;0.79;0.25;0.02;0.94;0.53;0.10;0.69;0.01;0.74;-0.18;0.08;-0.02;-0.01;8.31;0.61;7.36;0.34;19.54;7.66;6.49;4.82;0.56;1.00;0.38;28.23;2.27;44.22;34.42
935;0.00;0.00;-0.23;1.43;1.19;0.11;0.27;0.85;;0.78;1.46;0.52;-1.02;-0.14;0.28;0.17;1.03;0.65;-0.20;0.51;0.23;0.16;0.01;-0.03;8.02;0.26;7.78;-0.02;23.60;10.31;6.71;6.66;-0.07;1.33;0.64;32.27;2.84;43.08;40.53
1209;0.00;-0.10;-0.44;0.48;-0.08;-0.02;0.38;0.75;;0.62;-0.07;0.25;0.13;0.70;0.62;0.02;0.58;0.59;0.75;0.62;0.19;0.08;0.02;0.01;-2.16;0.34;-1.53;-0.97;22.25;17.18;1.52;3.55;0.01;0.71;0.43;20.52;3.28;28.48;27.58
1448;0.00;0.00;-0.46;-0.24;-0.67;-0.13;0.38;0.23;;-0.13;0.90;0.49;1.39;0.94;0.65;0.93;0.18;0.78;1.16;0.66;-0.02;0.73;-0.03;-0.01;8.15;-0.06;8.22;-0.01;10.71;10.90;-2.11;2.76;-0.84;0.50;3.62;22.49;3.00;27.89;26.88
1561;0.00;0.11;1.84;0.00;1.95;-0.04;0.20;0.64;;0.78;0.65;0.41;0.88;-0.75;0.30;0.42;0.88;0.37;-0.56;0.56;0.05;1.10;0.00;0.00;5.39;0.47;3.82;1.10;15.20;7.56;3.69;3.35;0.61;0.71;5.47;26.06;1.89;36.89;29.05
1700;0.00;0.04;0.48;0.00;0.53;0.07;-0.10;0.68;;-0.37;1.26;1.12;0.47;-0.08;0.83;0.30;-0.28;0.88;-0.01;0.71;0.06;0.91;0.00;-0.02;9.43;-0.36;9.35;0.44;9.82;5.25;0.98;0.89;2.70;0.36;4.44;23.69;1.98;30.30;23.25
1742;0.00;-0.03;2.31;-0.25;2.04;0.05;0.23;0.71;;0.61;0.14;1.35;-1.27;-0.22;0.82;0.99;0.66;0.69;-0.07;0.72;0.14;0.43;-0.01;-0.01;6.89;1.88;5.29;-0.28;12.61;10.92;3.37;1.31;-2.98;0.06;2.11;21.62;2.71;34.79;27.33
1750;0.00;0.02;0.07;0.66;0.72;-0.03;0.58;0.89;;0.78;0.80;0.44;-0.43;-0.15;0.75;0.09;0.91;0.60;0.13;0.79;-0.28;-0.16;0.03;0.01;7.49;0.33;6.98;0.17;23.31;13.05;3.44;5.87;0.96;1.24;-0.78;30.03;3.31;40.54;40.98
1806;0.00;0.80;0.96;3.29;5.04;0.21;0.73;0.84;;1.58;1.15;1.38;1.25;0.81;1.03;-0.10;1.05;0.89;0.63;0.71;-0.23;0.37;0.01;0.00;14.14;-0.40;6.57;7.97;41.67;17.36;18.38;7.03;-1.09;1.33;1.87;57.68;4.13;83.75;77.52
2004;0.00;-0.05;-0.22;-0.09;-0.46;-0.06;0.20;0.79;;0.12;0.60;0.11;0.54;0.39;0.50;0.45;0.51;0.42;0.40;0.75;0.10;-0.27;0.11;0.01;10.22;0.26;10.42;-0.47;7.77;9.14;-0.88;1.80;-2.30;0.21;-1.28;16.71;2.87;22.44;19.14
2165;0.00;0.02;1.35;0.57;1.98;0.07;-0.16;-0.13;;-0.26;-0.44;1.10;-0.45;-0.46;0.62;0.88;0.36;0.15;-0.51;0.55;-0.33;0.10;-0.04;0.00;6.19;0.41;5.61;0.17;7.16;-0.71;5.53;1.15;1.19;0.31;0.49;13.85;0.42;21.07;12.44
2333;0.00;-0.02;0.95;0.10;1.03;0.11;0.34;0.82;;0.57;0.87;1.02;-0.41;1.62;0.63;0.54;0.85;0.59;1.03;0.64;-0.48;0.03;-0.01;0.01;5.84;0.42;5.65;-0.23;23.28;16.84;2.41;4.73;-0.71;0.90;0.21;29.33;3.93;42.39;38.83
2341;0.00;0.00;1.67;0.30;1.97;-0.08;0.53;0.84;;1.12;0.97;0.62;0.46;-0.02;-0.08;0.72;1.11;0.74;0.24;0.58;0.56;-0.05;0.00;0.11;5.66;0.24;5.46;-0.03;25.81;14.79;4.84;5.25;0.93;1.11;0.29;31.76;3.50;46.66;40.39
2352;0.00;0.01;-0.06;2.16;2.11;-0.02;0.48;0.58;;0.75;0.14;1.08;-1.16;0.06;0.90;0.32;0.75;0.81;0.03;0.73;0.68;0.65;-0.01;-0.02;7.00;0.42;6.51;0.07;24.73;11.28;10.65;4.59;-1.79;0.80;3.15;34.89;2.91;48.75;43.82
2354;0.00;0.09;0.30;0.54;0.94;-0.06;0.50;0.70;;0.19;0.61;0.12;1.38;0.85;0.54;0.80;0.45;0.48;1.01;0.71;0.81;-0.13;0.00;0.00;10.32;-0.03;9.41;0.93;21.08;12.06;3.31;5.82;-0.12;1.16;-0.69;30.70;3.35;42.03;39.00
2359;0.00;0.02;0.91;-0.41;0.53;-0.08;0.55;0.90;;1.23;0.72;0.50;-0.35;0.28;1.04;1.30;1.15;0.56;0.21;0.87;0.90;0.90;-0.01;-0.01;7.93;0.34;7.35;0.23;20.48;14.75;-0.22;5.73;0.23;1.16;4.43;32.85;3.68;43.72;41.84
2373;0.00;-0.12;2.47;0.07;2.42;-0.01;0.22;0.49;;1.10;0.42;0.96;-0.42;-0.24;0.80;1.07;0.75;0.72;-0.15;0.67;-0.12;0.39;0.00;0.00;3.85;-0.08;5.10;-1.18;19.31;9.86;5.28;2.59;1.58;0.62;1.97;25.12;2.48;38.88;29.42
2382;0.00;0.00;-0.75;-0.22;-0.97;-0.08;0.06;0.36;;0.13;0.89;0.11;1.69;0.26;0.51;1.24;-0.24;0.33;0.57;0.62;0.69;-0.21;-0.01;0.01;-0.71;0.59;-1.25;-0.05;8.79;8.79;-2.60;-0.07;2.67;0.16;-1.00;7.08;1.63;8.13;6.31
2388;0.00;-0.14;0.40;-0.40;-0.11;-0.03;0.20;0.25;;0.44;0.02;1.17;0.43;0.45;0.66;1.30;0.30;0.67;0.39;0.69;-0.36;0.11;-0.02;-0.01;-1.43;0.85;-0.93;-1.35;14.46;12.00;-1.20;3.10;0.56;0.66;0.51;13.54;2.31;18.95;16.77
2395;0.00;0.02;0.61;-0.38;0.26;0.00;0.44;0.65;;0.34;0.88;1.02;1.05;0.72;0.82;0.85;0.44;0.86;0.86;0.84;0.74;-0.08;0.00;0.00;13.03;-0.05;12.84;0.24;17.68;11.83;-0.65;6.79;-0.30;1.34;-0.39;30.31;3.65;40.26;39.21
2398;0.00;0.03;0.33;-0.11;0.25;0.05;0.02;0.31;;-0.04;0.68;1.50;1.24;0.07;0.05;-0.11;0.29;0.75;0.05;0.25;0.35;0.06;0.01;0.00;0.04;0.45;-0.71;0.30;10.21;8.67;0.12;0.14;1.29;0.11;0.27;10.51;1.66;15.43;12.27
2424;0.00;0.03;0.45;-0.17;0.32;0.03;-0.10;0.57;;0.11;0.10;-0.82;0.07;-0.08;0.41;0.04;0.16;0.05;-0.12;0.19;0.46;-0.12;-0.01;-0.02;4.09;0.01;3.81;0.27;1.62;2.32;0.06;-0.96;0.20;-0.18;-0.69;5.01;0.85;8.13;3.70
2461;0.00;0.05;-0.21;-0.17;-0.32;0.05;0.06;0.20;;0.59;0.54;-0.01;0.00;0.97;0.35;0.90;0.50;0.51;0.55;0.61;0.24;-0.15;-0.01;0.00;4.55;0.54;3.51;0.49;13.78;10.05;-1.25;1.68;3.29;0.56;-0.73;17.60;2.36;22.51;20.16
2765;0.00;-0.11;-0.07;0.22;0.03;-0.03;0.22;0.77;;0.22;0.47;0.57;-0.19;-0.13;0.73;0.39;0.70;0.49;0.15;0.68;0.40;0.35;0.00;0.01;5.89;0.00;6.96;-1.07;13.36;10.46;0.94;2.53;-0.57;0.47;1.79;21.04;2.79;28.12;24.66
2773;0.00;0.03;0.65;-0.31;0.36;0.01;0.04;0.17;;0.03;1.53;0.85;0.75;0.31;0.20;1.20;0.29;0.92;0.35;0.33;0.58;0.01;0.01;0.00;5.65;0.63;4.67;0.35;15.18;7.94;-0.28;4.30;3.22;1.07;0.03;20.86;2.05;27.12;21.91
2795;0.00;-0.02;0.56;-0.18;0.36;-0.06;0.32;0.52;;0.48;0.63;0.99;0.03;0.34;0.60;0.96;0.58;0.72;0.11;0.66;0.16;-0.16;-0.01;0.00;6.30;0.38;6.14;-0.22;13.84;9.95;0.21;4.58;-0.90;0.86;-0.79;19.36;2.60;27.00;24.24
2986;0.00;0.05;-0.81;-0.10;-0.85;-0.14;-0.11;0.38;;0.55;-0.28;0.26;-0.26;-0.02;0.39;0.47;0.06;0.39;-0.03;0.41;0.22;0.03;-0.01;0.00;5.44;0.58;4.36;0.50;2.72;3.83;-2.14;1.70;-0.66;0.30;0.13;8.29;1.20;8.63;2.50
3152;0.00;-0.01;0.61;0.31;0.91;0.00;0.34;0.56;;1.18;0.67;1.32;1.40;-0.35;0.37;0.82;0.85;0.61;-0.23;0.56;0.30;0.29;-0.01;0.00;1.91;0.09;1.94;-0.13;17.61;10.78;2.76;3.14;0.94;0.69;1.44;20.95;2.35;29.67;27.78
3160;0.00;-0.01;-0.09;-0.60;-0.67;-0.06;0.03;0.45;;1.27;0.51;0.82;0.45;-0.54;0.44;0.84;0.81;0.43;-0.30;0.50;-0.40;-0.16;-0.02;0.00;0.56;1.03;-0.38;-0.08;14.32;9.67;-3.17;-2.33;10.14;0.21;-0.76;14.12;1.90;16.75;13.08
3163;0.00;0.05;-0.19;-0.10;-0.23;-0.08;0.11;0.22;;0.07;0.55;0.79;-1.29;0.53;0.99;1.13;-0.09;0.76;0.65;0.94;0.79;0.00;0.00;0.01;7.42;0.34;6.59;0.49;13.22;9.04;-0.86;3.82;1.22;0.85;0.03;20.68;2.47;26.11;20.92
3179;0.00;0.00;0.14;0.36;0.49;0.00;0.25;0.45;;0.04;0.69;0.36;-0.56;1.13;0.53;1.20;0.19;0.73;0.76;0.72;-0.13;1.08;0.01;0.00;3.10;0.95;2.10;0.05;19.56;13.21;2.05;4.49;-0.20;0.89;5.38;28.04;2.85;36.70;32.85
3247;0.00;0.00;2.53;0.42;2.83;0.09;0.31;0.96;;1.16;1.30;0.01;-0.65;0.46;0.36;0.42;1.19;0.36;-0.04;0.53;0.17;0.24;0.12;0.01;2.95;0.33;2.60;0.02;31.89;13.68;7.16;3.17;7.88;1.16;1.25;36.09;3.00;52.42;44.66
3457;0.00;-0.05;-0.46;-0.42;-0.92;-0.12;0.03;0.36;;0.28;0.60;0.94;0.49;0.07;0.94;0.97;0.15;0.56;-0.01;0.88;-0.02;-0.05;-0.01;-0.02;4.28;0.61;4.20;-0.53;6.24;7.57;-3.00;1.93;-0.25;0.37;-0.36;10.17;1.93;12.14;7.74
3465;0.00;0.05;0.52;0.20;0.79;0.07;0.23;0.69;;0.27;0.70;0.87;1.33;0.26;0.63;0.97;0.32;0.47;0.10;0.62;0.66;-0.25;-0.03;-0.01;11.49;0.17;10.83;0.49;11.09;5.57;2.02;2.58;0.92;0.58;-1.29;21.28;2.20;29.25;27.50
3498;0.00;-0.11;0.03;-0.34;-0.41;-0.02;0.35;0.77;;0.83;0.60;1.05;0.34;0.62;0.47;1.17;0.63;0.65;0.53;0.61;0.03;0.11;-0.02;-0.01;7.86;0.54;8.45;-1.13;13.81;11.72;-1.65;1.41;2.33;0.44;0.48;22.16;3.19;28.85;28.62
3507;0.00;-0.02;0.24;3.87;4.07;0.31;0.55;0.92;;0.27;-0.34;0.55;-1.72;1.06;0.99;0.63;0.37;0.48;1.14;0.78;-0.11;0.08;0.02;0.00;11.43;-0.34;11.96;-0.20;39.88;12.43;19.83;4.33;3.29;1.09;0.39;51.70;3.68;73.63;70.62
3593;0.00;-0.03;3.50;-0.09;3.39;0.22;0.32;0.73;;0.80;0.94;0.74;-0.51;0.29;0.40;0.37;0.86;0.71;0.30;0.48;-0.58;1.12;0.00;0.01;6.08;0.58;5.85;-0.35;21.22;12.47;6.58;2.07;0.11;0.42;5.64;32.95;3.08;51.22;44.78
3612;0.00;0.12;2.81;-0.09;2.83;0.17;0.11;0.81;;0.61;0.51;0.34;-0.75;0.23;0.56;0.70;0.20;0.63;0.11;0.58;-0.25;-0.01;0.01;0.11;1.91;0.01;0.66;1.24;21.03;11.29;5.15;4.10;0.48;0.85;0.50;23.44;2.32;38.11;29.88
