CHSHamptonRoads;VAPOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
122;0.06;0.00;1.00;1.69;2.69;0.06;0.44;0.53;;1.47;0.36;0.85;;0.49;0.87;0.66;0.91;0.73;0.31;0.87;-0.16;0.30;0.06;-0.01;5.93;0.44;5.21;0.28;29.44;14.18;10.47;5.57;-0.78;1.06;1.43;36.80;3.36;53.59;46.98
449;0.01;0.00;0.99;-0.26;0.68;-0.01;0.44;0.64;;0.60;0.65;0.75;;0.54;0.91;0.51;0.94;0.61;0.42;0.88;-0.16;0.38;0.05;-0.01;9.41;0.28;9.09;0.04;13.65;12.92;0.67;0.42;-0.36;0.06;1.81;24.87;3.49;35.74;33.42
1080;-0.03;0.00;0.43;0.19;0.53;-0.03;-0.06;0.58;;-0.38;0.88;-0.22;;-0.02;0.26;0.40;-0.44;0.35;0.03;0.35;0.55;-0.06;0.06;-0.03;2.34;1.18;1.30;-0.14;10.71;3.69;1.81;2.81;2.41;0.72;-0.45;12.60;0.87;16.44;10.74
1137;-0.03;0.00;1.12;-0.16;0.89;0.13;0.35;0.37;;0.79;0.85;0.95;;0.41;0.43;0.69;0.49;0.83;0.44;0.42;0.53;0.08;0.04;-0.04;7.09;0.67;6.57;-0.15;13.28;9.49;1.46;3.16;-0.83;0.58;0.24;20.61;2.55;29.78;30.88
1262;0.33;0.00;3.37;-0.34;3.38;0.14;0.38;0.70;;1.12;0.50;0.87;;0.05;0.79;1.06;1.28;0.47;-0.06;0.82;-0.07;0.21;-0.02;-0.01;9.75;0.20;7.88;1.67;23.01;12.10;5.05;5.87;-0.01;1.17;0.99;33.75;3.21;52.34;44.69
1413;-0.03;0.00;1.22;0.02;1.24;-0.01;0.07;0.68;;0.42;0.37;0.60;;0.42;0.79;0.56;0.31;0.41;0.53;0.81;-0.06;0.05;-0.03;-0.05;8.50;-0.01;8.66;-0.15;17.00;9.33;2.52;5.14;0.00;1.03;-0.02;25.47;2.73;36.17;26.78
1522;0.06;0.00;-0.07;0.18;0.18;-0.05;-0.08;0.37;;0.05;0.18;-0.06;;0.55;0.29;0.63;0.00;0.36;0.33;0.62;0.64;0.15;-0.02;-0.01;0.89;0.38;0.22;0.28;12.65;8.28;0.74;1.83;1.81;0.49;0.66;14.20;1.68;18.96;11.44
1610;0.06;0.00;3.07;0.16;3.22;0.04;0.56;0.70;;0.87;0.86;0.65;;0.55;0.86;0.50;0.82;0.92;0.33;0.80;-0.19;0.54;0.07;0.06;8.87;0.29;8.27;0.31;26.43;13.73;6.94;5.09;0.66;1.06;3.02;38.32;3.57;57.33;50.65
1793;-0.01;0.00;0.09;0.01;0.12;0.00;0.16;0.74;;-0.25;0.48;1.06;;0.04;0.72;0.96;0.18;0.64;0.22;0.66;-0.22;0.70;-0.04;0.14;10.42;0.21;10.26;-0.05;9.88;7.05;0.22;2.73;-0.12;0.54;4.17;24.48;2.44;30.95;27.65
1829;0.06;0.00;0.95;-0.08;0.96;0.14;0.31;0.74;;0.47;0.75;0.53;;0.39;0.78;0.87;0.24;0.59;0.57;0.71;0.03;0.20;-0.02;0.07;5.46;0.34;4.80;0.31;16.05;11.84;1.52;2.14;0.55;0.46;1.35;22.86;2.85;32.97;32.57
