Ventura;CAVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
4;0.03;0.01;0.73;-0.24;0.57;0.04;0.46;0.61;0.59;1.18;0.49;-0.03;;0.99;0.83;1.11;0.96;0.44;0.91;0.82;0.21;-0.03;-0.03;0.06;9.36;0.52;8.59;0.26;24.19;14.37;0.28;2.20;7.34;0.93;0.11;33.67;3.73;44.78;44.03
207;-0.05;0.10;-0.05;3.67;3.75;0.19;0.44;0.50;0.60;0.80;1.51;1.01;;0.43;0.68;1.43;0.61;0.88;0.66;0.69;0.44;-0.13;-0.08;0.15;7.91;0.67;6.45;0.78;44.70;13.49;18.26;2.21;10.74;1.16;0.10;52.71;3.34;72.79;66.24
330;-0.05;0.71;0.73;5.00;6.46;0.34;0.43;0.68;1.15;1.49;1.34;0.84;;-0.06;0.87;0.16;1.20;0.68;-0.18;0.79;-0.18;0.08;-0.06;-0.02;14.21;0.19;7.17;6.86;45.56;12.25;26.48;5.67;1.16;1.21;0.27;60.04;3.17;88.14;77.27
580;-0.01;0.03;0.11;0.40;0.49;0.01;0.15;0.70;-0.17;0.35;0.84;0.86;;0.52;0.45;-0.68;0.23;0.81;0.26;0.34;0.14;0.19;0.05;0.08;1.30;-0.02;1.07;0.26;14.49;11.18;2.21;2.31;-1.22;0.38;1.32;17.11;2.34;24.49;20.46
599;0.03;0.15;0.43;0.04;0.44;0.02;0.44;0.53;0.89;0.79;0.47;0.77;;0.54;0.72;1.66;0.86;0.67;0.01;0.74;0.25;-0.02;0.22;0.01;5.62;0.76;3.17;1.69;15.38;12.41;1.08;1.84;0.05;0.37;-0.02;20.99;2.80;29.36;30.25
691;0.04;-0.06;0.30;-0.25;0.09;-0.08;0.06;0.71;1.24;0.85;1.17;0.22;;0.27;0.33;1.30;0.78;0.40;0.35;0.29;-0.10;-0.15;-0.06;0.13;7.59;0.72;7.27;-0.40;10.10;8.99;-0.62;0.14;1.59;0.13;-0.12;17.58;2.53;24.18;16.66
696;0.58;-0.10;4.13;-0.27;4.29;0.07;0.43;0.70;0.00;1.27;0.78;0.77;;0.56;0.86;-0.34;0.64;0.73;0.40;0.78;0.24;0.91;0.06;0.00;9.65;0.27;7.46;1.92;26.55;12.54;6.93;2.17;4.92;0.76;4.51;40.72;3.25;62.25;51.21
702;0.02;-0.09;0.07;-0.03;0.00;-0.16;-0.10;0.65;0.19;0.02;-1.45;0.31;;0.05;0.81;0.82;0.23;0.03;0.06;0.73;0.07;0.02;-0.02;0.18;1.13;1.28;0.64;-0.78;10.45;8.15;0.01;1.21;1.07;0.31;0.98;12.56;1.69;16.81;6.61
973;-0.01;0.41;0.75;4.05;5.14;0.38;0.54;0.69;0.57;1.21;0.55;1.07;;-0.03;0.73;0.81;0.99;0.85;0.09;0.66;-0.16;0.18;0.05;0.04;13.17;-0.16;9.33;3.99;36.72;11.75;21.74;6.95;-3.72;1.14;1.10;50.99;3.28;75.26;71.22
980;0.01;0.10;2.47;0.21;2.83;0.08;0.24;0.60;-0.17;0.26;0.86;0.53;;0.11;0.61;-0.25;0.20;0.79;0.17;0.67;-0.46;-0.03;-0.04;0.10;8.35;0.18;7.11;1.06;19.02;8.58;6.00;5.59;-1.15;1.04;0.37;27.73;2.43;42.64;34.73
1160;0.03;0.00;2.39;-0.44;1.96;0.07;0.36;0.68;1.16;0.65;0.32;1.08;;1.06;0.61;0.00;0.89;0.77;0.78;0.63;0.83;-0.12;0.03;0.00;2.30;-0.32;2.46;0.16;23.37;17.54;2.60;2.64;0.60;0.57;-0.58;25.09;3.75;40.59;34.07
1266;0.02;0.02;1.21;0.18;1.46;0.09;0.53;0.67;1.10;0.82;0.69;0.85;;0.56;0.65;1.15;0.96;0.80;0.48;0.75;-0.03;-0.24;-0.04;-0.07;7.72;0.24;7.21;0.26;22.96;14.68;3.32;5.10;-0.14;1.01;-1.55;29.13;3.66;42.85;42.02
