Orlando;FLOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
21;-0.02;-0.04;0.54;0.15;0.74;-0.01;0.29;0.49;;0.57;0.70;0.46;;0.23;0.90;;0.60;0.73;0.31;0.84;0.20;1.04;-0.10;0.23;2.62;1.75;1.35;-0.47;28.54;14.21;1.83;1.61;10.89;1.05;6.39;37.54;2.98;47.29;43.08
79;0.00;0.03;1.92;0.52;2.46;0.10;0.64;0.71;;1.83;0.85;0.76;;0.74;0.71;;1.52;0.72;0.78;0.65;0.62;0.36;0.01;0.02;4.52;1.32;2.87;0.32;34.40;20.48;6.44;6.58;0.91;1.38;1.89;40.81;4.38;59.46;56.10
86;-0.02;-0.04;0.28;1.02;1.34;0.18;0.02;0.31;;0.77;-0.23;0.78;;-0.17;0.65;;0.67;0.55;-0.35;0.70;0.05;0.10;-0.11;-0.04;1.87;0.01;2.39;-0.54;16.36;8.22;5.64;3.67;-1.17;0.66;0.30;18.52;1.88;27.41;23.44
108;-0.02;0.11;-0.34;-0.18;-0.53;-0.01;0.21;0.82;;0.04;0.31;0.79;;0.01;0.65;;0.07;0.42;0.07;0.61;0.08;0.95;0.11;0.02;5.45;0.98;3.41;1.06;8.69;8.22;-1.57;0.67;1.37;0.23;4.88;19.02;1.98;22.32;23.00
180;0.03;0.10;0.63;3.53;4.22;0.02;0.41;0.72;;0.20;0.55;0.75;;-0.03;0.76;;0.47;0.82;0.11;0.81;0.54;1.11;0.07;0.09;9.59;-0.82;9.23;1.18;31.93;10.05;18.92;2.78;0.18;0.57;6.02;47.53;2.93;68.06;56.09
233;0.22;-0.04;6.52;-0.11;6.64;0.23;0.72;0.75;;1.64;0.40;0.89;;-0.92;0.93;;1.32;0.96;-0.40;0.89;0.13;0.52;-0.04;-0.11;8.96;0.64;7.62;0.70;30.52;13.76;12.51;4.63;-0.38;0.90;2.04;41.53;3.51;71.05;61.61
386;0.00;0.11;0.44;1.44;2.02;0.01;0.48;0.72;;0.87;0.54;1.10;;0.61;0.41;;0.85;0.87;0.73;0.41;-0.40;-0.22;-0.02;-0.09;10.88;0.10;9.67;1.11;25.62;13.00;8.10;5.01;-0.49;0.97;-1.55;34.95;3.57;50.17;44.80
744;-0.02;0.38;0.35;0.07;0.52;-0.04;0.46;0.71;;1.33;0.66;0.78;;0.25;0.71;;1.26;0.66;0.09;0.72;-0.13;0.07;0.26;0.17;8.42;0.30;4.46;3.66;20.59;14.97;1.08;4.83;-0.28;0.95;1.21;30.22;3.44;40.45;38.32
801;0.01;0.03;1.57;-0.23;1.55;0.13;0.24;0.74;;1.00;0.97;0.68;;-0.57;0.64;;0.59;0.58;-0.24;0.54;-0.02;0.69;-0.17;0.21;7.34;0.90;6.09;0.35;11.71;8.05;2.02;3.19;-1.55;0.54;4.48;23.53;2.22;33.93;31.78
945;0.00;-0.10;1.40;-0.26;0.77;0.05;-0.07;0.50;;0.15;0.83;0.51;;0.35;0.55;;-0.27;0.52;0.26;0.60;0.56;0.09;0.27;0.26;4.12;1.02;4.09;-0.99;11.06;5.95;1.49;2.18;1.44;0.53;1.74;16.93;1.60;23.32;16.85
1065;-0.04;0.09;2.29;0.37;2.78;-0.03;0.46;0.70;;0.06;1.26;0.75;;0.72;0.70;;0.50;0.78;0.55;0.53;-0.12;0.03;-0.07;0.05;7.12;1.77;4.69;0.66;23.62;12.98;6.45;4.03;0.16;0.82;0.39;31.13;3.07;47.47;39.62
1251;0.00;-0.03;0.20;1.04;1.34;-0.01;0.41;0.57;;1.35;1.26;0.65;;0.43;0.79;;0.76;0.74;0.15;0.77;1.02;-0.01;-0.13;-0.10;6.01;0.25;6.07;-0.30;21.15;11.93;5.62;4.68;-1.08;0.86;-0.55;26.60;2.99;38.28;34.69
1293;0.01;0.18;-0.11;0.24;0.29;-0.03;0.11;0.55;;0.62;1.47;0.54;;-0.08;0.70;;0.63;0.59;-0.31;0.69;0.76;-0.23;0.02;-0.04;7.09;0.33;4.96;1.80;9.92;8.26;0.98;1.60;-0.92;0.26;-1.38;15.63;2.15;21.92;17.08
1369;-0.02;-0.08;1.30;0.21;1.42;-0.07;0.40;0.35;;0.62;0.83;0.66;;0.70;0.85;;0.84;0.63;0.53;0.78;0.14;-0.11;-0.01;-0.07;-0.38;0.31;0.15;-0.85;23.34;15.59;3.62;2.62;1.52;0.62;-0.94;22.02;3.13;34.29;28.21
1523;0.00;0.08;-0.39;1.01;0.75;-0.04;0.08;0.72;;0.68;0.22;0.35;;-0.92;0.79;;0.28;0.54;-0.50;0.79;0.26;0.18;-0.05;-0.04;10.43;-0.03;9.64;0.82;13.54;4.31;4.28;3.16;1.78;0.75;0.70;24.67;1.83;31.57;25.29
1557;0.00;0.07;1.13;0.51;1.77;0.00;0.44;0.73;;0.13;-0.02;0.76;;1.06;0.58;;0.33;0.85;1.07;0.58;0.05;-0.12;-0.06;-0.11;8.83;-0.10;8.25;0.68;23.98;13.61;4.82;3.91;1.64;0.89;-1.16;31.65;3.55;46.04;40.46
1592;-0.04;0.64;0.97;0.27;1.95;-0.07;-0.26;0.69;;-0.61;0.95;0.07;;-0.49;0.22;;-0.15;0.35;-0.23;0.24;0.00;0.65;-0.10;-0.13;6.17;1.01;-1.07;6.23;8.04;5.05;3.30;0.05;-0.36;-0.01;2.60;16.82;0.90;25.17;10.02
1744;0.10;0.01;0.97;-0.14;0.92;-0.04;-0.17;0.59;;0.30;0.22;0.43;;-0.67;-0.07;;0.29;0.56;-0.64;0.10;-0.28;-0.17;0.01;-0.08;7.91;0.50;6.86;0.56;4.23;1.07;1.23;1.75;0.17;0.36;-1.23;10.91;0.90;16.05;6.51
1872;0.10;0.01;0.10;0.07;0.22;0.00;0.15;0.70;;-0.13;0.34;0.43;;0.65;1.02;;-0.11;0.43;0.39;0.98;0.83;0.04;0.06;0.37;-1.61;1.41;-3.66;0.64;20.71;13.82;0.53;6.01;0.35;1.23;2.06;21.16;2.40;27.84;24.26
1876;0.01;0.26;-0.84;2.94;1.86;-0.03;0.36;0.36;;-0.03;0.91;0.68;;0.91;0.72;;-0.08;0.88;0.73;0.79;0.53;0.56;0.51;0.09;9.00;0.58;5.74;2.67;37.15;10.51;13.04;2.67;10.93;1.26;3.26;49.41;2.68;61.93;55.81
1902;-0.03;0.17;-0.57;0.05;-0.42;0.00;0.40;0.67;;0.87;0.81;0.72;;-0.41;0.93;;0.96;0.71;-0.07;0.79;0.25;0.07;0.04;0.03;7.63;0.38;5.76;1.50;13.46;12.47;-0.88;2.17;-0.30;0.41;0.47;21.57;3.07;27.93;29.45
2152;-0.01;0.02;0.03;0.42;0.35;-0.06;0.15;0.57;;-0.06;0.74;0.78;;0.43;0.57;;-0.02;0.74;0.26;0.69;0.89;-0.22;0.10;-0.18;11.43;0.07;11.22;0.14;11.94;5.59;2.14;4.60;-0.39;0.89;-2.00;21.38;2.24;28.08;22.89
2383;0.00;-0.10;0.73;0.44;1.20;-0.01;0.31;0.40;;1.34;0.47;0.67;;-0.27;0.24;;1.23;0.74;-0.34;0.46;0.30;0.64;-0.12;-0.04;2.55;0.42;3.16;-1.03;18.58;10.86;3.69;2.23;1.80;0.57;3.02;24.14;2.49;34.10;29.89
2556;-0.01;0.01;-0.22;-0.20;-0.52;-0.01;-0.04;0.34;;-0.14;0.25;0.88;;0.69;0.31;;0.43;0.83;0.64;0.50;0.18;-0.30;0.11;-0.05;2.68;1.32;1.30;0.06;14.22;13.04;-1.43;3.12;-0.51;0.59;-1.75;15.15;2.74;20.35;14.12
2797;-0.01;0.01;1.14;0.02;0.94;0.03;0.46;0.93;;0.52;1.17;0.20;;0.78;0.71;;0.39;0.49;0.35;0.62;-0.25;-0.24;0.22;0.10;4.24;0.23;3.94;0.08;20.16;11.98;2.36;2.83;2.99;0.77;-0.69;23.72;2.79;33.64;33.74
2916;0.02;-0.06;0.36;-0.35;0.06;-0.03;0.15;0.80;;-0.27;1.15;0.65;;0.52;0.64;;-0.28;0.62;0.44;0.66;0.16;0.13;-0.10;0.11;5.16;0.75;4.92;-0.52;11.83;8.70;-1.05;3.52;0.67;0.75;1.18;18.17;2.23;23.94;20.41
3011;-0.01;-0.03;0.08;0.81;0.73;0.02;-0.06;0.16;;0.64;0.74;0.71;;0.32;0.43;;0.24;0.74;0.21;0.47;-0.12;0.81;0.11;-0.02;8.10;0.87;7.54;-0.31;10.28;5.32;4.18;0.52;0.26;0.12;3.98;22.37;1.82;29.20;21.57
3164;0.01;-0.05;0.32;-0.33;-0.05;-0.01;0.22;0.47;;0.14;0.32;0.85;;-0.49;0.91;;0.34;0.69;-0.09;0.81;-0.02;-0.10;-0.01;0.12;3.50;0.45;3.50;-0.45;10.01;9.39;-1.04;2.91;-1.25;0.50;0.12;13.63;2.23;19.05;17.76
3233;-0.01;0.17;-0.07;-0.01;0.24;0.00;-0.10;0.13;;-0.35;0.34;0.65;;0.20;0.31;;-0.16;0.25;0.13;0.46;-0.22;0.19;-0.15;-0.02;3.64;1.78;0.20;1.67;2.37;3.92;-0.18;-1.41;0.03;-0.28;0.82;6.83;0.80;9.59;4.76
3242;-0.01;0.22;-0.73;-0.15;-0.75;-0.05;0.04;0.43;;0.28;0.24;0.88;;0.58;0.57;;0.18;0.38;0.83;0.69;0.16;0.35;0.08;0.08;6.07;1.27;2.63;2.17;11.91;11.25;-2.22;3.47;-0.59;0.65;2.17;20.15;2.51;24.10;19.78
3502;-0.03;0.00;0.17;0.39;0.33;0.08;0.23;0.53;;0.20;0.39;0.77;;0.74;0.27;;0.18;0.50;0.66;0.35;0.03;0.12;0.20;0.12;5.00;0.90;4.23;-0.14;13.73;9.00;2.29;2.72;-0.29;0.53;1.18;19.91;2.22;26.52;26.42
3556;0.02;-0.09;0.29;1.88;2.03;0.01;0.49;0.50;;1.59;1.06;0.61;;0.27;0.91;;1.65;0.69;0.11;0.80;-0.11;-0.23;0.08;-0.06;2.42;1.19;2.06;-0.82;31.79;17.71;9.99;3.55;0.55;0.75;-1.44;32.78;3.75;48.47;42.80
3627;-0.02;0.04;-0.20;-0.10;-0.72;-0.03;0.11;0.78;;0.17;-0.87;0.38;;-0.72;0.89;;0.45;0.08;-0.42;0.85;0.25;0.08;0.44;0.17;8.77;0.64;7.84;0.29;8.40;4.85;-0.89;1.82;2.63;0.54;1.27;18.45;1.75;20.57;19.90
3653;-0.01;0.04;-0.24;1.00;0.86;0.02;0.40;0.43;;0.24;1.09;0.43;;-0.06;0.56;;0.71;0.52;0.08;0.65;0.18;-0.15;-0.07;0.06;3.14;0.90;1.82;0.41;19.71;11.02;4.50;5.86;-1.66;1.06;-0.44;22.41;2.39;31.07;30.90
3880;0.01;0.00;2.48;0.00;2.57;0.07;0.33;0.80;;0.43;0.51;0.71;;0.64;0.57;;0.44;0.72;0.80;0.58;0.07;0.35;-0.06;0.01;8.62;-0.46;8.98;0.11;20.13;12.15;4.98;2.55;0.46;0.54;1.79;30.55;3.33;46.88;38.94
3932;0.01;0.05;0.82;0.41;1.33;0.11;0.15;0.50;;0.45;0.76;0.33;;0.74;0.70;;0.14;0.46;0.55;0.75;-0.20;-0.03;-0.03;0.21;9.19;-0.60;9.24;0.55;15.04;7.41;3.70;3.50;0.43;0.73;0.89;25.12;2.41;35.29;30.90
4024;-0.03;0.03;-0.25;0.12;-0.09;0.00;0.12;0.71;;0.40;0.82;0.57;;1.05;0.52;;0.35;0.59;0.37;0.47;0.51;0.46;-0.04;0.00;8.58;0.52;7.88;0.18;10.26;8.43;0.10;1.99;-0.26;0.38;2.29;21.13;2.47;27.05;23.51
4064;0.11;-0.02;0.81;-0.26;0.77;0.00;0.08;0.66;;-0.12;1.06;0.36;;0.65;0.79;;-0.25;0.37;0.14;0.83;0.30;-0.13;-0.13;-0.04;-2.64;1.04;-4.06;0.39;15.30;10.77;0.31;3.04;1.19;0.69;-0.88;11.78;1.75;18.56;13.21
4065;0.00;-0.09;0.14;0.22;0.15;0.01;0.05;0.45;;0.78;2.86;0.51;;0.30;0.72;;0.63;0.29;0.20;0.72;1.81;0.66;0.13;-0.03;7.33;0.47;7.70;-0.85;11.98;7.54;1.40;4.15;-1.11;0.76;3.14;22.45;2.28;28.61;23.61
4118;0.00;-0.14;1.67;0.01;1.49;-0.02;0.45;0.82;;0.54;1.01;0.67;;0.11;0.76;;0.49;0.67;0.46;0.82;0.36;0.14;0.03;0.02;10.57;0.06;11.95;-1.44;17.15;10.31;3.36;4.25;-0.77;0.80;0.82;28.54;3.26;41.34;37.01
4352;-0.01;-0.06;1.02;0.22;0.93;-0.01;0.29;0.76;;-0.47;0.97;0.65;;1.51;0.67;;-0.47;0.73;1.33;0.66;0.25;0.84;0.24;0.04;4.44;1.62;3.49;-0.67;20.13;13.36;3.16;5.25;-1.65;0.94;4.39;28.96;3.02;39.43;34.52
4451;0.01;0.77;0.78;1.66;3.17;0.11;0.45;0.86;;0.60;-0.56;0.65;;0.03;0.71;;0.53;0.89;0.00;0.65;-0.45;0.31;0.06;-0.04;16.99;0.19;9.01;7.79;30.26;10.13;9.89;5.17;5.07;1.37;1.36;48.61;2.93;65.84;60.39
4471;0.01;0.05;0.03;0.06;0.11;0.02;0.55;0.85;;0.11;0.55;0.69;;0.31;0.93;;0.36;0.57;0.39;0.83;-0.06;0.59;0.04;0.14;8.29;-0.30;8.02;0.56;16.32;11.00;0.37;4.34;0.62;0.91;3.63;28.25;3.00;36.10;39.69
4562;0.10;-0.04;0.12;0.38;0.64;-0.03;0.35;0.71;;0.99;0.78;0.45;;1.01;0.14;;1.11;0.77;0.59;0.30;-0.07;-0.36;-0.08;0.02;3.49;0.05;3.34;0.10;18.40;15.71;2.15;1.18;-0.65;0.19;-1.72;20.17;3.48;30.85;26.56
4592;0.01;-0.01;-0.03;-0.14;0.01;0.00;0.21;0.73;;0.47;-0.30;0.69;;-0.53;0.77;;0.30;0.60;-0.22;0.75;-0.13;0.21;-0.18;-0.06;2.41;-0.46;2.92;-0.05;9.95;9.37;-0.78;1.36;0.01;0.27;0.76;13.12;2.17;18.56;17.37
4622;-0.01;-0.06;0.48;0.26;0.70;-0.01;0.39;0.54;;0.18;1.56;0.36;;0.81;0.72;;0.18;0.58;0.74;0.62;0.00;0.31;-0.03;0.06;0.95;1.18;0.45;-0.68;18.82;13.07;2.28;3.67;-0.20;0.72;1.88;21.65;2.66;30.48;29.11
