MISouthfield;MISOU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
94;0.00;-0.01;1.15;-0.23;0.76;0.01;0.11;0.73;;0.07;0.38;0.13;2.05;-0.07;0.14;1.31;0.16;0.20;0.03;0.28;-0.01;0.56;0.15;-0.08;1.22;0.62;0.73;-0.13;11.44;7.26;1.16;0.75;2.27;0.30;2.38;15.03;1.53;21.21;17.30
123;0.00;0.00;2.27;-0.05;2.38;0.08;0.22;0.61;;-0.01;0.66;0.46;0.30;0.81;0.97;0.67;0.20;0.63;0.35;0.87;-0.02;0.48;-0.15;-0.04;7.15;0.06;7.06;0.03;18.87;9.56;4.29;5.54;-0.53;1.07;2.20;28.23;2.62;42.20;34.70
247;0.00;0.00;0.37;-0.08;0.30;0.00;-0.04;0.25;;-0.09;0.72;0.44;-0.72;0.64;0.27;0.45;-0.23;0.56;0.67;0.49;0.64;-0.17;-0.02;0.04;0.75;-0.25;1.04;-0.04;8.71;8.12;0.33;1.33;-1.06;0.20;-0.65;8.82;1.73;14.08;8.00
280;0.00;0.01;-0.59;0.58;0.01;0.00;0.18;0.26;;0.48;0.80;0.41;-0.62;0.21;0.16;1.24;0.66;0.57;-0.09;0.42;0.21;0.01;-0.01;0.11;3.42;0.97;2.41;0.05;19.06;8.36;1.72;0.26;8.72;0.63;0.61;23.09;1.91;27.90;26.69
453;0.00;0.00;0.00;0.28;0.23;-0.01;0.19;0.68;;0.92;0.41;0.40;-0.64;-0.63;0.15;0.17;0.85;0.42;-0.27;0.35;-0.06;-0.13;0.05;0.04;3.19;-0.13;3.31;0.01;9.96;8.01;1.39;0.37;0.19;0.09;-0.40;12.75;1.93;18.29;16.48
548;0.00;0.00;0.60;0.50;1.00;0.00;0.43;0.85;;1.05;0.67;0.23;-0.02;1.06;0.76;0.73;1.01;0.57;0.67;0.65;0.30;0.38;0.10;0.25;7.28;0.70;6.62;-0.05;23.71;15.57;3.73;4.31;0.11;0.87;3.20;34.19;3.78;46.76;42.63
573;0.00;0.01;0.57;0.13;0.58;0.00;0.13;0.85;;-0.02;0.34;0.83;1.02;0.36;-0.06;0.13;0.16;0.48;0.28;0.13;0.13;-0.07;0.13;0.10;5.17;0.66;4.41;0.09;10.67;7.24;1.81;1.56;0.06;0.32;0.17;16.00;1.89;22.54;18.54
815;0.00;0.00;-0.06;0.02;-0.24;-0.01;0.40;0.60;;0.34;0.98;0.73;0.67;0.04;0.57;0.85;0.56;0.72;0.18;0.72;0.02;0.10;0.21;0.05;4.23;0.67;3.53;0.03;15.64;11.74;-0.02;4.18;-0.26;0.82;0.74;20.61;2.70;26.61;28.56
835;0.00;-0.01;-0.41;-0.28;-0.64;-0.01;0.26;0.28;;0.39;0.79;0.67;0.32;0.53;0.78;0.71;0.33;0.84;0.37;0.85;0.95;-0.04;-0.07;0.19;6.67;-0.15;6.96;-0.14;11.00;10.21;-2.25;4.07;-1.02;0.75;0.80;18.48;2.74;23.31;23.41
1025;0.00;0.08;0.82;0.83;1.83;0.01;0.21;0.90;;0.74;0.84;0.73;-2.04;0.25;0.48;0.29;0.85;0.64;0.15;0.50;-0.30;0.30;-0.10;0.16;2.47;0.47;1.16;0.84;24.26;14.32;5.76;2.93;1.25;0.67;2.30;29.03;2.98;42.20;33.47
