MILansing;MILAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
68;-0.04;-0.11;0.73;0.79;1.00;-0.07;0.39;0.54;;1.16;1.00;0.88;;-0.13;0.78;;1.02;0.83;0.07;0.73;0.12;-0.05;0.37;-0.06;10.58;-0.67;12.51;-1.26;18.67;9.70;5.42;3.57;-0.02;0.71;-0.51;28.74;3.19;39.86;34.89
1243;0.32;0.03;0.64;0.31;1.05;-0.04;0.05;0.73;;0.31;0.32;0.43;;-0.05;0.70;;0.23;0.44;0.08;0.75;0.21;0.08;0.25;-0.03;8.18;0.81;5.49;1.89;11.11;8.41;2.82;2.50;-2.62;0.33;0.27;19.56;2.23;28.42;19.48
1502;-0.02;-0.01;0.99;0.29;1.29;0.03;0.18;0.74;;0.96;0.02;0.63;;0.81;0.55;;0.84;0.40;0.45;0.59;0.26;0.32;-0.05;-0.20;4.96;1.20;3.98;-0.22;20.48;13.10;3.41;3.46;0.52;0.73;0.61;26.05;3.02;37.63;30.33
1504;-0.03;0.01;0.22;1.02;0.98;0.04;0.15;0.67;;0.07;0.91;0.64;;0.09;0.73;;-0.11;0.71;0.33;0.78;-0.22;-0.12;0.24;0.02;11.06;0.04;11.09;-0.07;17.20;6.34;5.53;4.23;1.11;0.92;-0.49;27.77;2.38;36.77;31.76
1684;-0.04;-0.12;0.04;2.47;2.46;0.22;0.30;0.29;;0.50;0.76;0.71;;0.43;0.32;;0.53;0.78;0.70;0.36;0.14;0.41;-0.11;0.20;4.84;1.02;5.18;-1.37;31.22;10.69;12.42;3.84;4.26;1.05;3.02;39.07;2.66;53.39;50.72
2611;0.06;-0.02;4.02;-0.31;3.88;0.14;0.31;0.76;;0.64;0.29;0.65;;0.49;0.58;;0.63;0.59;0.12;0.59;0.30;0.05;-0.13;0.10;9.99;0.19;9.72;0.08;20.28;8.61;6.51;4.64;0.51;0.96;0.74;31.01;2.69;49.88;40.91
2612;-0.01;0.10;4.48;0.08;4.64;0.30;0.45;0.76;;1.16;0.82;0.84;;0.36;0.95;;1.06;0.77;0.31;0.86;0.04;0.19;0.00;0.15;10.39;-0.23;9.70;0.92;27.45;13.94;9.33;5.96;-1.79;1.07;1.74;39.58;3.76;63.48;56.11
2959;-0.01;-0.03;-0.25;2.33;1.99;0.02;0.20;0.62;;0.73;0.82;0.71;;0.26;0.57;;0.73;0.77;0.51;0.60;0.22;-0.13;0.05;-0.04;6.69;0.40;6.66;-0.38;27.04;12.79;11.13;5.83;-2.72;0.99;-0.86;32.87;3.22;47.14;37.39
3357;0.04;0.03;0.31;2.24;2.78;0.11;0.55;0.75;;1.10;1.00;0.59;;0.29;0.83;;0.94;0.70;0.17;0.80;-0.11;0.44;-0.17;0.21;8.57;0.07;7.96;0.54;29.32;12.83;11.79;4.30;0.41;0.89;3.28;41.17;3.36;58.26;54.90
3655;0.07;0.04;-0.48;2.58;2.10;-0.06;0.26;0.34;;0.38;1.32;0.73;;-0.03;0.81;;0.43;0.80;0.02;0.78;0.01;0.01;0.11;0.25;9.60;0.33;8.55;0.73;21.80;7.55;11.95;2.85;-0.55;0.53;1.31;32.71;2.36;45.18;36.57
4216;0.05;-0.05;2.39;0.35;2.80;0.01;0.42;0.84;;0.99;0.61;0.77;;-0.03;0.64;;1.03;0.71;-0.02;0.72;0.71;0.29;-0.06;-0.14;9.60;0.16;9.67;-0.24;20.18;11.59;6.51;1.81;0.27;0.38;0.77;30.55;3.28;47.51;39.27
4237;0.10;-0.07;1.65;0.45;2.11;0.18;0.28;0.55;;0.27;0.84;0.38;;0.65;0.45;;0.37;0.57;0.60;0.56;0.05;0.48;0.01;0.14;8.97;0.35;8.85;-0.24;22.46;8.88;5.52;1.79;6.27;0.78;3.11;34.53;2.66;47.77;44.53
4381;-0.03;0.13;1.58;0.75;2.47;0.18;0.52;0.78;;0.29;1.05;0.70;;0.38;0.67;;0.22;0.81;0.43;0.70;0.01;0.63;-0.04;0.16;9.59;0.59;7.85;1.15;23.68;10.76;6.91;5.55;0.46;1.14;3.95;37.22;2.94;52.28;51.95
4408;0.04;-0.12;-0.10;0.21;0.05;-0.04;0.08;0.50;;0.30;0.82;0.71;;0.56;0.35;;0.20;0.71;0.28;0.42;0.14;-0.02;-0.02;0.16;0.01;0.95;0.02;-0.97;13.02;10.55;0.84;2.98;-1.35;0.51;0.66;13.69;2.11;19.13;14.26
4568;-0.01;-0.02;-0.02;0.25;0.15;-0.02;0.15;0.49;;-0.25;0.44;0.41;;0.71;0.72;;-0.22;0.63;0.77;0.72;-0.07;0.04;0.04;0.17;3.22;0.58;2.90;-0.26;14.62;10.50;1.21;3.08;-0.17;0.61;1.04;18.88;2.39;25.33;21.42
4776;-0.03;0.01;1.65;-0.50;1.08;-0.06;0.30;0.66;;0.15;0.65;0.71;;0.72;0.72;;0.23;0.66;0.46;0.69;0.06;-0.08;0.04;0.04;6.01;0.53;5.55;-0.07;13.38;10.71;0.79;2.57;-0.69;0.47;-0.17;19.22;2.70;29.35;23.72
5084;-0.01;0.05;2.26;-0.39;1.96;0.12;0.19;0.78;;0.34;0.59;0.64;;0.78;0.62;;0.30;0.62;0.92;0.65;0.37;0.11;-0.05;0.33;11.00;0.41;10.18;0.41;18.37;11.25;2.59;4.08;0.45;0.85;2.20;31.57;3.27;45.87;38.41
5182;-0.05;-0.06;0.82;-0.34;0.38;0.00;0.52;0.74;;1.12;0.87;0.64;;0.30;0.62;;1.00;0.64;0.50;0.59;0.12;0.17;0.00;0.25;9.54;0.23;10.16;-0.85;20.15;12.29;-0.05;4.65;3.25;1.15;2.07;31.75;3.47;41.61;42.34
5205;0.00;0.38;-0.61;0.76;0.47;-0.12;-0.14;0.47;;0.18;0.22;0.69;;0.18;0.13;;-0.03;0.43;0.19;0.33;-0.13;0.09;0.06;-0.11;3.21;-0.27;-0.31;3.79;13.52;7.10;2.57;3.10;0.75;0.67;-0.08;16.65;1.39;21.58;10.86
