PNWDistrictChampionship;PNCMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
360;-0.02;0.06;0.56;4.03;4.47;0.31;0.33;0.69;;0.63;0.67;0.69;;-0.30;0.68;;0.64;0.69;-0.21;0.67;0.23;0.42;0.15;-0.02;11.37;-0.28;11.19;0.46;33.04;6.81;21.25;5.23;-0.24;1.03;2.03;46.45;2.48;66.62;60.72
753;-0.05;-0.16;3.97;-0.17;3.56;0.57;0.25;0.70;;0.50;0.67;0.73;;0.32;0.69;;0.43;0.68;0.39;0.67;0.29;-0.30;0.03;-0.04;7.27;0.13;9.01;-1.88;23.81;9.85;7.10;4.92;1.94;1.11;-1.68;29.40;2.87;47.70;48.61
955;-0.01;0.25;0.11;1.90;2.11;0.30;0.36;0.66;;0.74;0.67;0.75;;0.15;0.67;;0.77;0.69;0.07;0.67;0.11;0.35;0.14;-0.10;8.82;0.77;5.61;2.44;26.63;11.49;9.72;6.74;-1.32;1.26;1.27;36.71;2.86;50.44;51.52
997;-0.05;0.02;1.47;-0.13;1.03;0.00;0.36;0.71;;0.54;0.67;0.72;;1.22;0.65;;0.31;0.68;0.98;0.67;0.19;0.10;0.28;0.01;7.38;0.71;6.76;-0.09;17.56;13.35;2.30;3.18;-1.26;0.55;0.55;25.49;3.34;37.08;32.61
1258;0.04;0.10;4.19;0.29;4.63;0.37;0.36;0.74;;0.76;0.67;0.63;;0.60;0.69;;0.73;0.66;0.55;0.68;0.02;0.07;-0.02;0.03;11.67;-0.22;10.69;1.19;25.59;11.48;9.82;5.09;-0.80;0.96;0.52;37.77;3.37;60.67;54.19
1318;-0.08;0.26;-1.13;3.90;2.97;0.09;0.38;0.71;;0.75;0.67;0.74;;0.19;0.66;;0.72;0.72;0.20;0.66;0.38;0.46;-0.02;-0.14;9.92;0.61;7.12;2.19;32.59;11.51;17.26;3.71;0.12;0.75;1.61;44.12;3.01;60.92;53.97
1425;-0.05;0.00;5.23;-0.16;4.92;0.47;0.36;0.72;;0.65;0.67;0.75;;1.27;0.69;;0.67;0.70;1.08;0.68;0.09;-0.07;0.09;-0.16;5.85;0.65;5.49;-0.29;40.24;16.50;9.63;1.02;13.09;1.08;-1.11;44.99;3.85;69.97;63.87
1510;0.04;-0.10;0.36;1.07;1.22;0.14;0.19;0.71;;0.72;0.67;0.52;;-0.14;0.66;;0.47;0.60;-0.06;0.66;0.16;-0.34;0.16;-0.16;5.94;0.53;6.19;-0.78;16.80;8.82;6.06;1.85;0.06;0.37;-2.52;20.22;2.38;29.97;27.55
1540;0.00;0.00;-0.40;4.76;4.39;0.30;0.39;0.66;;0.70;0.67;0.74;;0.18;0.68;;0.69;0.69;0.01;0.68;-0.03;0.38;-0.03;-0.03;8.14;0.39;7.71;0.04;39.21;9.81;23.01;5.34;1.04;1.14;1.73;49.08;2.73;69.63;64.25
1595;-0.02;0.25;1.57;0.73;2.53;0.24;0.37;0.66;;0.75;0.67;0.59;;0.41;0.69;;0.76;0.66;0.34;0.68;0.01;-0.11;-0.01;-0.14;12.39;-0.14;10.16;2.36;24.68;10.38;6.76;5.14;2.39;1.19;-1.26;35.81;3.09;51.44;49.22
1778;-0.02;0.01;1.07;2.62;3.59;0.12;0.24;0.64;;0.59;0.67;0.63;;0.59;0.70;;0.61;0.66;0.21;0.68;0.48;0.19;0.09;0.31;4.83;0.54;4.28;0.01;32.78;11.92;15.24;3.92;1.70;0.90;2.48;40.09;2.81;58.34;48.06
1983;0.13;0.37;1.14;1.40;2.99;0.27;0.33;0.67;;0.65;0.67;0.66;;-0.10;0.68;;0.66;0.70;-0.12;0.67;0.12;0.26;0.04;0.17;14.34;0.00;10.00;4.35;32.46;7.84;9.29;-0.07;15.40;1.01;2.14;48.95;2.57;64.73;62.26
2046;-0.03;0.44;1.57;1.32;3.23;0.07;0.33;0.71;;0.76;0.67;0.67;;0.42;0.66;;0.72;0.69;0.57;0.66;0.24;-0.21;0.08;0.08;15.12;-0.34;11.19;4.26;26.52;11.17;9.75;3.04;2.56;0.78;-0.67;40.97;3.35;59.43;49.29
2147;-0.03;0.04;3.25;0.07;3.34;0.08;0.34;0.69;;0.75;0.67;0.65;;0.17;0.66;;0.73;0.67;0.17;0.67;0.40;0.69;-0.01;0.04;14.21;-0.75;14.68;0.27;18.99;7.33;6.83;2.35;2.48;0.63;3.64;36.84;2.93;54.62;45.63
2149;0.02;0.24;1.25;-0.28;1.25;-0.23;0.26;0.67;;0.40;0.67;0.57;;0.10;0.69;;0.41;0.62;0.14;0.68;0.78;0.43;-0.02;0.23;11.71;-0.05;9.29;2.47;9.57;7.97;1.10;1.58;-1.08;0.24;3.34;24.62;2.52;34.82;24.14
2374;0.03;0.16;-0.20;3.21;3.15;0.22;0.27;0.68;;0.62;0.67;0.75;;-0.18;0.68;;0.66;0.70;-0.06;0.67;-0.13;0.14;0.04;-0.16;9.13;0.06;7.37;1.70;27.44;9.56;15.64;5.34;-3.09;0.86;-0.09;36.49;2.65;52.94;47.35
