Australia;AUSY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2;;;;;;;;;;;;
1739;0.00;0.01;0.22;-0.06;0.32;0.00;-0.08;0.59;0.14;0.28;-0.58;0.52;0.71;-0.09;0.31;0.39;-0.19;0.50;0.39;0.27;0.08;-0.08;-0.14;0.05;7.22;0.91;6.17;0.13;7.12;4.77;0.14;2.60;-0.40;0.49;-0.14;14.20;1.57;19.11;12.63;;;;;;;;;;;;
3132;0.00;-0.05;1.05;0.09;1.05;0.00;0.76;0.81;1.17;1.77;-2.87;0.80;0.37;0.05;0.85;0.42;1.54;0.77;0.26;0.76;0.04;0.07;0.03;-0.06;6.93;0.88;6.55;-0.50;25.05;17.47;2.52;5.08;-0.02;1.02;0.05;32.04;4.15;45.70;47.25;;;;;;;;;;;;
4253;0.00;0.00;0.06;0.13;0.24;0.00;0.21;0.68;0.44;0.54;0.48;0.80;-0.03;0.08;0.34;1.09;0.75;0.45;0.13;0.49;0.87;-0.05;-0.05;0.15;3.44;0.14;3.24;0.05;14.86;10.92;0.75;3.62;-0.42;0.70;0.52;18.82;2.51;25.83;23.10;;;;;;;;;;;;
4529;0.00;-0.04;0.04;0.04;0.06;0.00;-0.03;0.35;1.23;0.15;3.26;0.14;-0.36;0.97;0.47;0.64;-0.01;0.07;0.18;0.29;0.26;-0.32;-0.03;-0.11;-2.49;0.45;-2.49;-0.44;6.63;5.66;0.25;0.70;0.02;0.14;-2.14;2.00;0.88;4.39;1.32;;;;;;;;;;;;
4537;0.00;0.06;-0.19;-0.19;-0.26;0.00;0.08;0.72;3.50;0.25;-1.87;0.43;-0.05;0.42;0.92;1.03;0.38;0.10;0.56;0.83;0.36;0.23;-0.06;-0.16;9.81;0.01;9.19;0.61;8.45;8.36;-1.33;1.95;-0.53;0.35;0.35;18.61;2.59;24.27;20.15;;;;;;;;;;;;
4613;0.00;0.34;0.02;0.51;0.72;0.00;0.38;0.69;1.60;1.41;-0.39;-0.06;0.52;-0.19;0.86;0.33;1.09;0.36;0.36;0.77;0.32;0.09;0.15;0.02;10.76;-0.15;7.51;3.40;19.60;12.60;2.58;4.54;-0.11;0.90;0.56;30.92;3.27;41.34;38.62;;;;;;;;;;;;
4729;0.00;-0.01;0.13;0.00;-0.18;0.00;0.36;0.75;0.24;0.43;2.74;1.15;0.16;-0.13;0.67;0.31;0.82;0.86;0.11;0.76;0.71;0.68;0.31;0.07;0.35;0.62;-0.16;-0.11;18.97;16.56;0.28;2.30;-0.16;0.45;3.76;23.09;3.30;30.76;30.37;;;;;;;;;;;;
4739;0.00;-0.04;0.15;-0.33;-0.21;0.00;0.31;0.69;2.49;0.43;1.87;-0.18;0.85;-0.02;0.16;0.55;0.41;-0.07;0.86;0.54;-0.22;0.71;0.00;-0.12;0.15;-0.25;0.81;-0.41;14.29;11.73;-1.32;3.81;0.07;0.77;2.96;17.41;2.43;22.81;23.54;;;;;;;;;;;;
4774;0.00;-0.03;-0.10;1.09;1.01;0.00;-0.07;0.70;0.52;-0.02;2.23;0.27;0.24;-0.68;-0.14;1.12;0.58;0.11;-0.27;0.02;-0.01;1.53;-0.05;-0.02;3.25;1.16;2.36;-0.26;9.60;4.57;5.26;-0.16;-0.07;-0.04;7.55;20.40;1.15;26.44;19.04;;;;;;;;;;;;
4788;0.00;-0.08;0.35;0.25;0.48;0.00;0.01;0.39;-0.36;0.10;0.06;0.15;-0.02;-0.26;0.53;0.67;-0.13;-0.03;0.14;0.59;0.08;-0.62;0.04;0.12;0.07;1.82;-0.94;-0.81;9.75;5.29;1.96;2.84;-0.35;0.54;-2.51;7.31;0.96;11.22;7.44;;;;;;;;;;;;
4801;0.00;0.04;0.23;-0.09;0.22;0.00;0.11;0.65;0.63;0.37;0.90;-0.55;0.67;0.46;0.57;0.24;0.33;0.04;0.62;0.65;-0.03;-0.10;-0.04;0.03;3.78;1.24;2.14;0.41;12.52;10.42;0.00;2.14;-0.04;0.43;-0.33;15.97;2.30;22.40;18.22;;;;;;;;;;;;
4802;0.00;0.18;-0.14;-0.05;-0.02;0.00;-0.10;0.25;1.33;0.20;6.77;0.29;-0.31;0.66;0.61;0.86;0.27;0.30;-0.16;0.75;0.22;0.85;0.01;0.47;8.21;0.38;6.00;1.83;5.92;4.08;-0.53;2.00;0.36;0.42;6.61;20.75;1.42;24.23;18.69;;;;;;;;;;;;
4817;0.00;-0.03;0.03;-0.14;-0.10;0.00;0.08;0.66;-3.32;0.54;1.42;0.27;0.35;0.13;0.54;0.45;0.00;0.38;0.30;0.60;0.02;-0.08;-0.04;-0.07;3.36;0.85;2.83;-0.32;12.94;8.35;-0.63;5.51;-0.29;1.08;-0.75;15.55;1.95;20.13;17.10;;;;;;;;;;;;
5087;0.00;0.07;0.13;0.80;0.88;0.00;-0.07;0.70;-1.52;-0.43;1.48;-0.07;0.47;0.21;0.22;0.34;-0.17;0.42;-0.04;0.35;-0.49;0.85;0.11;0.04;5.17;0.35;4.14;0.67;11.64;4.24;4.25;3.26;-0.10;0.65;4.43;21.24;1.26;27.15;19.76;;;;;;;;;;;;
5331;0.00;0.01;0.01;0.11;0.18;0.00;0.17;0.58;2.14;-0.10;2.45;0.67;0.23;0.52;0.82;1.11;0.67;0.60;0.22;0.79;0.18;0.29;-0.06;0.23;4.03;1.58;2.36;0.09;18.18;13.16;0.55;5.25;-0.78;1.00;2.60;24.81;2.87;32.54;28.18;;;;;;;;;;;;
5333;0.00;-0.03;0.16;0.04;-0.11;0.00;0.18;0.69;3.09;-0.40;-8.35;0.65;0.27;-0.11;0.62;1.22;-0.06;0.72;0.43;0.61;-0.28;-0.08;0.28;0.10;3.78;0.98;3.06;-0.27;14.74;10.43;0.52;4.18;-0.40;0.81;0.10;18.61;2.39;24.25;22.17;;;;;;;;;;;;
5564;0.00;0.00;0.26;0.00;0.28;0.00;0.32;0.76;2.32;0.85;-0.32;0.33;0.04;0.50;0.24;0.86;0.39;0.19;0.35;0.59;1.18;0.08;-0.03;-0.04;2.11;0.44;1.69;-0.02;15.69;10.56;0.50;4.61;0.02;0.92;0.19;17.99;2.28;24.58;24.39;;;;;;;;;;;;
5573;0.00;-0.03;0.18;-0.10;0.27;0.00;0.12;0.56;-1.94;0.12;0.03;0.26;0.01;0.73;0.89;1.12;0.06;0.58;0.44;0.74;0.11;-0.55;-0.21;0.00;3.86;1.03;3.10;-0.27;14.92;10.33;-0.13;4.99;-0.27;0.98;-2.79;15.99;2.38;22.76;18.46;;;;;;;;;;;;
5584;0.00;-0.03;-0.05;-0.03;-0.01;0.00;0.08;0.64;1.14;0.06;-2.74;0.24;0.60;1.67;0.54;1.42;0.60;0.43;0.20;0.58;-0.01;0.03;-0.09;0.01;3.00;1.61;1.65;-0.25;12.64;11.47;-0.24;1.83;-0.42;0.34;0.15;15.79;2.46;21.90;17.46;;;;;;;;;;;;
5592;0.00;-0.01;0.11;-0.07;-0.38;0.00;0.26;0.58;2.27;-0.35;-3.10;0.37;-0.04;-0.04;0.52;0.40;-0.04;0.37;0.09;0.60;0.44;0.11;0.41;0.15;1.08;-0.42;1.58;-0.09;6.30;7.20;-0.12;-0.03;-0.75;-0.06;1.33;8.71;1.60;11.52;13.82;;;;;;;;;;;;
5593;0.00;0.06;0.46;0.18;0.64;0.00;0.48;0.80;0.67;-0.33;3.68;0.64;0.85;0.46;0.90;0.38;0.24;0.48;0.81;0.91;-0.31;0.52;0.06;-0.12;9.41;0.27;8.56;0.58;22.01;11.91;1.83;7.97;0.30;1.61;1.97;33.39;3.24;43.49;42.97;;;;;;;;;;;;
5606;0.00;-0.03;-0.25;0.66;0.34;0.00;0.08;0.50;-0.05;-0.24;0.10;0.61;-0.48;1.55;0.61;0.55;-0.48;0.74;0.11;0.49;0.12;0.19;0.04;-0.10;5.74;0.73;5.33;-0.32;7.22;4.14;2.79;0.29;-0.01;0.06;0.49;13.44;1.36;17.90;15.08;;;;;;;;;;;;
5648;0.00;0.00;-0.17;0.12;0.03;0.00;-0.22;0.74;-0.46;-0.53;-3.74;1.10;-0.11;-0.56;0.64;0.56;-0.29;0.58;-0.35;0.72;0.72;0.25;-0.07;-0.01;2.02;-0.46;2.47;0.01;7.81;5.84;0.27;1.36;0.35;0.29;1.21;11.05;1.41;14.67;6.67;;;;;;;;;;;;
5663;0.00;0.03;-0.31;0.07;-0.06;0.00;0.21;0.60;0.98;-0.02;2.42;0.88;1.33;1.15;0.74;0.93;-0.08;1.00;1.20;0.75;-0.04;-0.03;-0.15;0.02;9.18;0.02;8.88;0.27;15.46;12.96;-0.26;2.65;0.10;0.54;-0.04;24.59;3.48;33.11;28.74;;;;;;;;;;;;
5876;0.00;-0.03;1.19;0.09;1.21;0.00;0.00;0.72;0.93;0.51;1.29;0.27;0.54;0.03;0.99;0.65;0.41;0.20;0.39;0.81;0.30;0.27;0.04;0.16;8.31;1.07;7.52;-0.27;17.88;8.85;2.82;3.24;2.98;0.85;2.12;28.31;2.52;38.40;28.37;;;;;;;;;;;;
5893;0.00;-0.01;-0.07;-0.03;-0.34;0.00;0.12;0.75;0.14;0.83;-0.77;1.00;-0.08;0.48;0.29;0.53;0.49;0.96;-0.10;0.57;0.40;-0.06;0.23;-0.12;5.93;0.24;5.81;-0.12;12.22;10.39;-0.30;2.45;-0.32;0.47;-0.92;17.23;2.66;22.80;19.73;;;;;;;;;;;;
5983;0.00;0.06;-0.06;0.24;0.34;0.00;0.01;0.57;0.67;0.10;2.13;0.42;-0.04;0.67;1.00;1.20;-0.17;0.47;0.37;0.85;0.46;0.15;-0.11;-0.10;7.05;0.72;5.75;0.58;9.78;7.60;1.06;1.09;0.03;0.22;0.27;17.10;2.10;23.41;17.23;;;;;;;;;;;;
5985;0.00;-0.01;0.39;0.33;0.51;0.00;0.50;0.83;0.92;0.57;2.32;0.97;-0.28;0.44;0.77;1.03;1.11;0.88;0.05;0.88;0.43;1.00;0.20;0.08;8.42;-0.20;8.72;-0.09;19.50;14.33;2.42;3.08;-0.34;0.59;5.37;33.29;3.74;44.24;43.24;;;;;;;;;;;;
5988;0.00;-0.01;0.16;-0.12;-0.14;0.00;0.08;0.75;2.71;-0.15;0.65;0.60;0.92;0.21;0.06;0.36;0.07;0.45;0.41;0.58;0.60;0.93;0.17;0.05;5.36;0.26;5.22;-0.12;12.42;8.72;-0.28;3.92;0.07;0.79;4.91;22.70;2.27;27.92;24.30;;;;;;;;;;;;
6007;0.00;-0.03;-0.03;0.08;-0.13;0.00;0.09;0.81;-0.92;0.13;-5.29;-0.21;-0.10;0.30;0.56;0.95;-0.06;0.15;0.38;0.55;0.27;-0.12;0.15;-0.04;7.94;-0.18;8.39;-0.27;6.86;4.94;0.32;1.99;-0.39;0.37;-0.79;14.01;1.83;18.15;15.87;;;;;;;;;;;;
6018;0.00;0.00;-0.08;-0.17;-0.21;0.00;0.14;0.72;-1.27;-0.12;9.45;0.72;0.30;1.27;0.22;0.55;0.11;1.00;0.59;0.48;0.07;-0.12;-0.04;0.08;4.35;0.48;3.87;0.00;15.76;12.51;-1.02;4.14;0.13;0.84;-0.23;19.88;2.89;26.44;22.62;;;;;;;;;;;;
6024;0.00;0.08;0.14;0.09;0.16;0.00;0.34;0.67;-0.34;0.63;0.26;1.14;-0.27;1.46;0.45;0.56;0.73;0.59;0.68;0.48;-0.31;0.71;0.15;-0.10;6.86;0.49;5.57;0.80;19.94;12.98;0.74;3.26;2.96;0.85;3.01;29.81;3.15;38.20;36.68;;;;;;;;;;;;
6035;0.00;0.01;0.30;0.13;0.45;0.00;0.17;0.67;0.25;0.34;0.52;0.64;0.38;1.38;1.29;0.16;0.20;1.04;0.45;0.67;0.59;0.12;-0.01;-0.07;7.63;-0.21;7.76;0.08;16.53;11.24;1.23;4.73;-0.66;0.90;0.23;24.40;3.02;33.36;27.73;;;;;;;;;;;;
6050;0.00;-0.02;0.33;0.05;0.13;0.00;0.16;0.59;0.94;1.49;-2.16;0.00;-0.29;0.27;0.62;0.59;1.07;0.24;0.13;0.55;-0.27;0.50;0.23;-0.10;8.28;0.53;7.96;-0.20;11.76;8.89;0.91;1.98;-0.01;0.39;2.04;22.08;2.57;28.91;25.19;;;;;;;;;;;;
6061;0.00;-0.07;-0.14;0.23;-0.16;0.00;-0.03;0.54;-0.77;0.33;-1.90;0.27;0.20;1.08;0.32;0.70;0.09;0.32;0.41;0.55;-0.05;0.07;0.18;-0.15;0.64;0.28;1.02;-0.65;10.86;8.99;0.88;1.13;-0.14;0.22;-0.44;11.06;1.90;15.32;10.39;;;;;;;;;;;;
6062;0.00;-0.07;0.04;-0.03;0.07;0.00;0.41;0.66;0.74;0.94;0.42;1.37;-0.07;1.46;1.03;1.35;0.55;1.06;0.50;0.99;0.37;-0.25;-0.14;-0.13;4.88;0.27;5.32;-0.71;21.59;16.13;-0.08;4.97;0.57;1.03;-1.88;24.59;3.76;34.22;32.80;;;;;;;;;;;;
6063;0.00;0.02;0.19;-0.05;0.31;0.00;-0.04;0.79;-1.25;-0.22;3.65;0.16;0.34;-0.15;0.77;1.24;-0.17;0.03;0.29;0.67;0.47;-0.05;-0.15;0.36;4.99;0.83;3.91;0.24;6.64;6.10;0.13;0.37;0.04;0.08;1.55;13.19;1.61;18.19;12.48;;;;;;;;;;;;
6083;0.00;-0.03;0.12;0.09;0.11;0.00;0.14;0.55;-0.23;0.44;3.32;0.59;-0.19;-0.29;0.94;0.31;0.14;0.75;0.05;0.66;-0.10;0.38;0.07;0.19;3.02;0.31;3.00;-0.29;13.56;9.23;0.69;3.69;-0.06;0.73;2.83;19.41;2.15;25.11;22.29;;;;;;;;;;;;
6118;0.00;-0.03;0.45;0.24;0.71;0.00;0.21;0.42;-1.41;0.14;7.61;0.30;0.63;0.75;0.51;0.47;0.20;0.50;0.18;0.38;0.49;0.02;-0.05;0.15;7.50;0.98;6.87;-0.35;9.30;5.00;2.13;1.87;0.29;0.39;0.82;17.62;1.69;24.07;21.72;;;;;;;;;;;;
6187;0.00;0.17;-0.02;0.11;0.21;0.00;0.14;0.56;-0.16;-0.48;3.45;1.04;-0.21;0.57;-0.14;1.18;-0.03;0.93;0.43;0.09;0.20;0.33;0.05;0.39;5.78;0.66;3.44;1.67;9.07;8.22;0.52;0.95;-0.61;0.15;3.58;18.44;1.99;24.05;21.29;;;;0;;;0;;;0;;0
6191;0.00;0.02;-0.21;0.12;-0.10;0.00;-0.22;0.29;-1.03;0.00;-4.58;0.27;-0.15;-0.50;0.07;-0.95;-0.17;0.34;-0.23;-0.17;0.37;0.00;0.03;-0.06;1.16;-0.12;1.11;0.18;0.92;-0.24;0.19;1.11;-0.14;0.21;-0.29;1.79;0.06;1.64;-2.57;;;;0;;;0;;;0;;0
6204;0.00;0.00;0.01;0.07;0.06;0.00;0.04;0.42;0.99;-0.50;-0.55;-0.14;0.77;0.83;0.42;0.18;0.14;-0.05;0.71;0.69;0.50;0.28;0.02;-0.01;4.75;0.19;4.51;0.05;11.84;7.33;0.35;1.15;3.02;0.43;1.31;17.90;1.92;22.86;18.68;;;;0;;;0;;;0;;0
6212;0.00;0.02;0.02;-0.24;-0.20;0.00;-0.03;0.55;0.09;0.50;-0.74;1.09;0.05;-0.64;0.31;-0.43;0.45;0.43;-0.09;0.14;0.00;0.49;0.00;0.29;3.84;0.76;2.91;0.17;6.76;5.96;-1.16;2.41;-0.45;0.45;3.90;14.49;1.48;17.57;13.80;;;;0;;;0;;;0;;0
