CHSDC;MDBET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
449;0.05;0.00;0.91;0.01;1.09;0.00;0.14;0.70;-0.63;0.69;0.13;1.02;-1.20;0.37;0.76;;0.72;0.45;0.12;0.70;0.69;0.28;-0.13;-0.07;6.93;0.02;6.67;0.24;12.31;10.11;1.85;0.35;0.00;0.07;1.04;20.28;2.69;30.39;23.01
686;0.01;0.00;1.81;0.35;2.25;-0.01;0.34;0.74;0.61;-0.41;0.98;0.76;-0.98;1.10;0.52;;0.34;0.71;0.25;0.58;0.24;0.19;-0.08;-0.04;7.41;0.60;6.75;0.06;18.81;9.75;5.38;3.68;0.00;0.74;0.72;26.95;2.63;40.54;33.71
836;0.58;0.00;2.48;0.00;2.79;0.10;0.36;0.75;0.79;1.40;0.22;0.40;1.07;-0.10;0.68;;0.93;0.54;0.15;0.65;0.19;0.36;0.28;-0.03;11.54;0.38;8.26;2.90;22.76;10.96;4.98;6.82;0.00;1.36;1.65;35.94;3.02;52.21;45.60
1389;0.04;0.00;0.95;-0.12;0.97;-0.01;0.39;0.60;0.53;0.50;0.99;0.63;0.00;0.36;1.03;;0.92;0.66;0.04;0.86;-0.05;0.02;-0.10;0.05;5.91;-0.19;5.93;0.18;13.05;12.39;1.33;-0.66;0.00;-0.13;0.39;19.35;3.07;30.05;26.81
1418;0.04;0.00;2.22;-0.08;2.26;0.10;0.75;0.74;0.17;1.17;0.35;1.17;-0.90;1.60;1.27;;1.34;0.80;1.32;0.99;-0.21;0.98;-0.07;0.05;5.26;0.75;4.30;0.21;42.74;23.85;4.06;-0.17;15.00;0.97;5.16;53.17;5.20;73.22;70.58
1446;0.10;0.00;-0.17;0.12;0.10;0.00;-0.23;0.55;1.82;-0.04;0.34;-0.40;0.77;-0.37;0.08;;-0.07;0.20;-0.37;0.13;0.42;0.14;-0.05;-0.04;1.73;-0.21;1.45;0.49;0.44;1.47;0.27;-1.30;0.00;-0.26;0.46;2.64;0.44;4.05;-1.96
1885;-0.02;0.00;0.78;0.29;1.03;0.01;0.37;0.44;-1.02;0.42;1.00;0.70;0.24;0.61;1.07;;0.12;0.99;0.74;0.92;0.07;0.03;0.03;0.09;-0.48;0.19;-0.58;-0.09;22.73;16.37;3.03;3.32;0.00;0.66;0.63;22.88;3.22;34.13;30.47
1915;-0.08;0.00;0.02;0.19;0.08;-0.01;0.02;0.66;0.98;-0.16;-0.21;0.86;-0.48;0.11;0.29;;-0.04;0.16;-0.08;0.47;-0.08;-0.19;0.04;-0.01;1.92;1.24;1.08;-0.39;7.32;5.33;0.96;1.03;0.00;0.21;-0.97;8.28;1.17;11.47;8.41
2186;-0.01;0.00;0.26;-0.08;0.23;-0.01;0.08;0.65;-1.31;0.68;0.48;0.03;0.20;-0.16;0.25;;0.87;0.30;0.04;0.32;0.29;0.02;-0.06;-0.03;-0.32;1.76;-2.02;-0.06;14.39;11.83;0.13;2.43;0.00;0.49;-0.06;14.00;2.16;20.13;15.35
2199;-0.07;0.00;0.01;0.07;0.08;-0.01;0.07;0.43;0.71;0.24;0.61;0.70;-0.88;-0.04;0.69;;0.53;0.63;0.08;0.78;-0.12;0.13;-0.08;0.04;-0.11;0.95;-0.69;-0.37;16.38;12.59;0.35;3.44;0.00;0.69;0.83;17.11;2.45;23.49;18.20
2537;0.07;0.00;0.62;0.00;0.65;0.10;0.57;0.82;1.89;0.68;0.95;0.75;1.08;0.13;0.98;;0.79;1.02;0.28;0.86;-0.03;0.64;0.04;-0.03;13.85;-0.43;13.94;0.33;17.69;11.83;1.22;4.64;0.00;0.93;3.03;34.57;3.76;46.00;48.49
2819;-0.01;0.00;-0.21;0.01;-0.20;-0.01;-0.04;0.37;0.74;0.12;0.16;0.61;0.55;-0.41;0.26;;0.12;0.30;-0.06;0.45;-0.03;0.02;-0.01;0.06;-1.02;0.12;-1.11;-0.03;8.56;6.49;-0.39;2.45;0.00;0.49;0.40;7.94;1.19;10.29;7.05
