Alamo;TXSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
148;0.00;0.31;0.63;5.41;6.15;0.41;0.43;0.41;4.19;0.91;0.61;1.54;0.17;0.37;1.03;-3.19;1.12;0.96;-0.09;0.90;0.04;1.02;0.21;0.46;9.95;-0.45;7.29;3.12;52.97;12.85;28.34;3.13;8.65;1.20;7.38;70.21;3.30;97.67;88.99
231;0.00;0.06;4.07;-0.10;3.77;0.14;0.42;0.67;14.65;1.13;1.81;0.64;-0.33;-0.05;1.11;3.07;1.28;0.41;0.10;0.93;0.38;1.11;0.25;-0.15;6.32;-0.34;6.03;0.63;24.93;13.95;7.62;3.82;-0.46;0.73;4.83;36.08;3.39;56.35;47.95
418;0.00;-0.08;1.52;-0.38;1.12;0.04;-0.04;0.34;-31.22;1.15;1.35;-0.20;-0.88;-0.31;0.99;-17.38;0.84;0.47;-0.04;0.84;-0.20;0.61;-0.05;-0.04;2.03;0.10;2.69;-0.76;13.73;10.94;1.14;1.85;-0.20;0.36;2.87;18.76;2.46;28.40;18.98
457;0.00;0.50;-0.26;0.04;-0.01;0.00;-0.14;0.29;12.81;0.11;-0.14;0.20;-3.00;-0.41;0.53;-34.63;-0.13;0.72;-0.16;0.58;0.06;-0.68;0.29;0.10;3.02;0.17;-2.17;5.01;12.75;7.66;-0.32;5.38;0.03;1.08;-2.90;12.73;1.32;15.98;9.97
624;0.00;0.31;1.57;0.67;2.58;0.27;0.25;0.86;1.60;0.96;0.10;0.19;1.62;-0.10;0.63;-12.03;0.99;0.39;-0.09;0.65;-0.03;0.03;-0.04;-0.22;9.78;-0.87;7.59;3.06;20.28;10.18;6.49;3.10;0.51;0.65;-0.96;29.07;2.80;44.13;40.73
647;0.00;-0.14;0.35;0.10;0.24;0.03;0.07;1.09;0.63;0.90;0.55;0.45;-0.62;-0.78;-0.13;7.78;0.38;0.31;-0.16;0.41;0.95;0.67;0.07;0.10;1.34;1.64;1.08;-1.37;11.05;9.64;1.21;-0.20;0.40;-0.01;3.87;16.42;2.03;22.27;18.51
653;0.00;-0.01;-0.24;0.34;-0.07;-0.07;0.12;0.54;-15.22;-0.07;0.50;0.38;1.23;-0.55;0.83;5.06;-0.03;0.24;-0.40;0.89;0.20;0.65;0.16;-0.02;-1.47;0.05;-1.46;-0.06;13.73;6.92;1.19;1.74;3.88;0.61;3.14;15.35;1.24;18.23;15.87
1255;0.00;-0.13;0.19;0.71;0.84;0.06;0.46;0.82;-27.63;0.52;0.87;0.78;2.35;0.48;0.29;27.23;0.60;0.74;0.38;0.18;0.87;-0.07;-0.07;0.11;4.38;0.20;5.46;-1.28;20.00;10.89;3.92;5.13;0.06;1.03;0.23;24.67;2.72;34.09;35.21
1477;0.00;0.06;1.45;-0.14;1.27;0.09;0.38;0.75;12.91;-0.10;1.05;1.40;2.46;0.92;0.66;17.66;-0.05;0.85;1.00;0.73;0.20;1.19;0.10;-0.05;7.40;-0.40;7.21;0.58;21.03;12.78;2.20;2.69;3.35;0.76;5.70;34.10;3.28;46.25;43.91
1642;0.00;0.08;0.05;-0.27;-0.02;-0.03;0.24;0.53;21.01;-0.14;2.08;0.63;2.96;-0.03;0.39;-18.91;0.29;0.86;0.14;0.57;1.51;-0.07;-0.11;-0.22;6.64;0.97;4.86;0.80;10.73;9.51;-1.23;2.64;-0.19;0.52;-1.44;16.01;2.39;21.91;20.23
