MITraverseCity;MITVC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
74;0.00;0.05;3.70;0.27;4.06;0.14;0.53;0.67;1.05;0.08;0.90;0.52;0.24;0.06;0.88;;0.76;0.81;-0.27;0.85;0.37;0.14;-0.04;0.23;11.62;-0.40;11.49;0.54;31.47;8.44;8.76;0.24;14.03;0.98;1.84;44.94;2.84;64.73;59.00
94;0.00;0.08;2.76;-0.08;2.81;-0.01;0.23;0.67;0.10;-0.35;0.48;0.59;1.09;0.70;0.45;;0.01;0.53;0.75;0.48;-0.03;0.08;-0.05;0.05;5.03;1.21;2.97;0.85;18.36;10.75;5.10;1.16;1.35;0.32;0.61;24.01;2.45;38.91;28.38
1711;0.00;0.01;0.79;0.02;0.83;-0.04;0.10;0.70;0.21;0.60;0.71;0.12;-0.21;0.26;0.68;;0.43;0.38;0.32;0.67;-0.01;-0.02;-0.01;0.06;8.75;0.39;8.24;0.13;11.69;8.42;1.67;1.11;0.49;0.26;0.21;20.67;2.51;29.52;21.49
1896;0.00;0.02;1.01;-0.09;0.82;-0.05;0.43;0.68;0.63;1.32;0.46;0.72;0.47;-0.74;0.73;;0.89;0.55;-0.08;0.68;0.35;0.00;0.12;-0.07;5.53;1.35;3.95;0.24;18.69;11.64;1.56;4.07;1.41;0.91;-0.37;23.84;2.72;33.21;31.19
2246;0.00;0.01;0.35;0.44;0.76;0.04;0.31;0.70;0.42;0.81;0.70;0.64;0.01;0.55;0.56;;0.38;0.70;0.38;0.61;0.53;0.09;0.04;0.02;9.41;0.14;9.15;0.12;16.56;9.28;2.88;2.90;1.49;0.68;0.53;26.50;2.77;35.81;33.81
3414;0.00;0.49;0.72;0.34;1.47;-0.02;0.27;0.60;0.47;0.52;0.54;0.78;0.87;-0.25;0.58;;0.65;0.63;-0.01;0.60;-0.10;-0.02;0.08;-0.07;12.56;0.12;7.52;4.92;14.61;8.56;3.14;4.16;-1.24;0.75;-0.43;26.72;2.46;37.49;31.76
3688;0.00;-0.07;-0.01;3.91;3.88;0.13;0.30;0.68;1.00;0.86;0.74;0.75;-0.37;-0.15;0.66;;0.99;0.73;-0.22;0.70;-0.11;0.33;-0.05;0.04;11.15;-0.17;12.04;-0.72;31.94;8.37;19.54;5.89;-1.86;1.05;1.83;44.89;2.88;64.22;54.14
3767;0.00;0.00;0.13;1.82;1.99;0.00;0.44;0.68;0.38;0.85;0.80;0.69;-0.46;0.36;0.78;;0.52;0.78;0.58;0.75;0.41;0.00;-0.04;0.10;2.41;1.26;1.16;-0.02;28.44;15.96;9.37;3.16;-0.05;0.63;0.48;31.32;3.31;45.81;40.02
3886;0.00;-0.03;-0.36;0.36;-0.06;-0.03;0.35;0.69;1.00;0.75;0.38;0.39;0.26;0.53;0.50;;0.83;0.42;0.64;0.48;0.19;0.00;0.03;-0.06;6.60;0.77;6.15;-0.32;17.41;12.21;1.09;4.58;-0.47;0.89;-0.28;23.71;3.06;31.16;30.04
4391;0.00;0.41;0.75;0.58;1.52;-0.04;0.30;0.67;0.11;0.11;0.84;0.97;0.35;-0.19;0.80;;0.48;0.83;0.00;0.79;0.14;0.03;0.22;0.00;10.87;0.92;5.82;4.13;21.71;10.91;4.40;4.93;1.47;1.08;0.16;32.71;2.76;44.38;37.73
