Utah;UTWV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
115;-0.02;0.00;0.85;0.20;0.90;-0.03;0.09;0.57;;0.15;0.04;0.63;;0.36;0.67;;0.06;0.29;0.29;0.64;0.68;0.00;0.13;-0.07;1.41;0.35;1.15;-0.09;13.84;8.71;2.68;2.62;-0.17;0.51;-0.32;14.93;1.86;22.40;16.15
287;-0.03;0.00;1.18;2.02;3.13;0.18;0.32;0.68;;0.18;0.64;0.42;;0.66;0.80;;0.36;0.53;0.53;0.81;0.15;0.04;0.05;0.05;12.41;-0.22;12.77;-0.14;27.20;8.13;12.46;6.27;0.35;1.28;0.49;40.10;2.90;57.13;51.19
329;0.06;0.00;0.04;3.45;3.38;0.35;0.31;0.68;;0.84;1.26;0.70;;-0.11;0.74;;0.61;0.86;-0.15;0.72;0.10;0.04;0.16;-0.13;10.23;0.30;9.64;0.29;32.22;8.75;17.32;5.89;0.27;1.20;-0.46;41.99;2.71;59.35;56.93
1477;0.00;0.00;2.57;0.16;2.81;0.05;0.48;0.62;;1.09;0.71;0.59;;0.29;0.84;;1.07;0.62;0.13;0.78;-0.21;-0.03;-0.08;0.00;13.47;-0.33;13.82;-0.02;20.89;9.18;5.96;4.13;1.62;0.94;-0.17;34.20;3.22;51.02;45.08
1622;-0.04;0.00;-0.37;0.04;-0.41;-0.02;0.02;0.21;;0.40;0.81;0.37;;0.13;0.43;;0.32;0.43;-0.03;0.43;-0.22;-0.04;0.03;-0.06;-0.26;0.17;-0.22;-0.21;9.55;6.90;-0.57;2.33;0.89;0.53;-0.49;8.80;1.36;10.92;8.77
1891;-0.04;0.00;2.02;-0.01;1.71;-0.06;0.10;0.76;;-0.01;0.19;0.71;;0.19;0.42;;-0.01;0.59;0.28;0.43;0.40;0.33;0.26;-0.04;3.20;0.93;2.44;-0.18;15.85;9.03;3.98;2.48;0.36;0.52;1.48;20.53;2.05;31.00;21.05
2465;0.07;0.00;0.05;0.27;0.43;-0.06;0.07;0.73;;0.20;0.37;0.23;;0.43;0.28;;0.24;0.17;0.39;0.29;0.13;-0.22;-0.04;0.19;0.19;-0.18;0.03;0.34;9.89;9.11;1.46;0.40;-1.08;0.01;-0.12;9.95;1.82;15.86;9.81
2468;-0.03;0.00;-0.13;3.94;3.72;0.20;0.53;0.77;;1.36;0.91;0.35;;0.20;0.89;;1.28;0.81;0.17;0.86;0.02;0.55;0.06;-0.10;10.64;-0.35;11.16;-0.17;37.02;13.87;19.44;4.57;-0.85;0.86;2.26;49.93;3.89;71.27;65.73
2478;-0.04;0.00;-0.32;-0.05;-0.45;-0.04;-0.23;0.49;;-0.20;0.66;0.28;;0.33;0.24;;-0.21;0.50;0.33;0.22;0.95;0.19;0.04;-0.01;5.19;0.50;4.89;-0.20;4.27;4.19;-0.89;2.19;-1.22;0.36;0.90;10.36;1.33;12.27;4.92
2484;-0.04;0.00;0.10;-0.17;-0.42;-0.05;0.08;0.73;;0.33;0.66;-0.12;;0.11;0.44;;0.37;0.34;0.17;0.43;-0.01;0.28;0.31;-0.12;2.13;2.63;-0.32;-0.18;13.26;10.32;-0.66;0.60;3.00;0.32;0.81;16.21;2.03;19.97;16.60
