NewYorkTechValley;NYTR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
20;0.00;0.12;2.12;-0.05;2.14;-0.02;0.44;0.57;;0.70;0.87;1.04;-0.08;0.33;0.95;0.74;0.83;0.78;0.15;0.81;-0.10;0.17;0.06;0.05;8.68;0.46;6.99;1.23;18.66;12.22;4.02;4.09;-1.67;0.71;1.12;28.46;3.14;43.01;36.77
48;0.00;0.14;0.24;2.44;2.94;-0.02;0.53;0.71;;0.22;0.86;0.82;0.38;0.76;0.49;0.65;0.07;0.78;0.79;0.61;-0.05;0.14;-0.12;-0.01;9.53;-0.03;8.12;1.44;27.51;10.71;12.67;5.20;-1.07;0.97;0.66;37.69;2.95;54.26;47.78
145;0.00;0.50;0.96;0.92;2.20;0.00;0.11;0.73;;0.01;0.06;0.42;-0.96;0.34;0.88;0.84;0.13;0.52;0.23;0.82;0.31;0.16;0.18;-0.09;6.05;0.52;0.57;4.97;22.77;11.88;6.53;2.26;2.09;0.59;0.32;29.14;2.43;42.09;31.42
229;0.00;-0.07;0.45;0.18;0.22;0.02;0.22;0.52;;0.72;0.86;0.63;-0.19;0.67;0.60;0.68;0.69;0.72;0.44;0.68;0.26;0.25;0.35;0.22;1.06;1.20;0.51;-0.66;21.18;14.97;1.81;4.46;-0.06;0.89;2.32;24.55;3.05;32.85;29.61
250;0.00;-0.01;0.60;0.36;0.98;0.10;0.21;0.73;;0.47;0.08;0.35;0.06;1.00;0.08;0.71;0.46;0.08;0.61;0.50;-0.10;0.11;-0.03;0.14;8.69;0.04;8.74;-0.09;15.43;7.50;3.00;4.78;0.15;0.97;1.26;25.38;2.38;34.38;32.16
333;0.00;0.75;-0.59;1.77;1.90;0.05;0.25;0.80;;0.42;0.24;0.48;0.32;0.53;1.08;0.68;0.49;0.36;0.33;0.84;0.09;0.34;0.03;0.14;12.53;0.14;4.84;7.54;21.92;11.69;7.65;3.70;-1.12;0.67;2.38;36.83;2.82;49.83;43.04
358;0.00;-0.02;0.90;-0.73;0.24;-0.01;0.26;0.43;;0.29;1.34;0.35;0.67;0.67;0.42;0.59;0.13;0.49;0.69;0.44;-0.06;0.09;-0.09;-0.04;1.93;0.50;1.63;-0.21;13.66;10.08;-1.83;2.81;2.60;0.74;0.24;15.83;2.18;22.03;20.97
359;0.00;0.53;0.03;4.71;5.40;0.48;0.46;0.77;;0.96;0.16;0.87;0.73;-0.38;0.89;0.72;1.03;0.74;-0.23;0.86;-0.18;0.11;-0.13;0.06;15.67;-0.08;10.46;5.29;40.61;10.58;23.60;6.50;-0.07;1.30;0.86;57.13;3.16;81.90;78.24
371;0.00;0.16;-0.16;-0.86;-0.88;-0.05;-0.03;0.46;;-0.20;0.34;-0.08;0.62;0.46;0.00;0.62;0.08;0.02;0.34;0.26;0.37;0.01;0.01;0.06;1.35;-0.43;0.18;1.60;3.87;5.76;-4.64;1.95;0.81;0.44;0.35;5.58;1.17;5.76;3.71
527;0.00;0.07;-0.03;0.91;0.89;0.01;0.23;0.60;;1.03;0.84;0.33;-0.56;-0.34;0.37;0.61;1.03;0.60;-0.43;0.53;0.10;0.15;0.06;0.30;9.77;0.21;8.89;0.67;15.31;7.19;4.48;3.25;0.39;0.68;2.25;27.33;2.33;35.92;32.19
663;0.00;0.07;0.37;0.20;0.75;-0.02;0.41;0.51;;0.90;1.52;0.74;-0.37;-0.10;0.60;0.68;0.94;0.72;0.02;0.72;0.15;-0.02;-0.11;0.24;-0.27;-0.36;-0.61;0.70;19.09;14.85;1.76;1.23;1.27;0.33;1.08;19.91;2.91;29.54;27.47
1450;0.00;0.02;0.67;-0.16;0.51;-0.04;0.03;0.32;;-0.18;-0.17;0.78;0.23;0.11;0.83;0.65;-0.03;0.63;0.23;0.78;0.12;0.33;0.03;0.11;7.37;0.54;6.60;0.23;9.03;6.35;0.53;1.72;0.42;0.37;2.20;18.60;1.93;25.01;18.22
1493;0.00;-0.14;2.08;-0.30;1.63;-0.02;0.23;0.72;;0.77;-0.29;0.63;-0.37;0.63;0.35;0.71;0.22;0.70;0.50;0.53;0.27;0.01;0.02;-0.04;6.26;0.48;7.15;-1.36;18.76;9.75;2.67;5.33;1.00;1.13;-0.15;24.87;2.67;36.62;28.95
