NEWaterbury;CTWAT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
155;0.00;0.01;-0.47;0.70;0.35;-0.03;0.07;0.63;0.74;-0.43;0.64;0.52;0.34;-0.30;0.67;0.99;-0.01;0.66;0.16;0.69;0.13;0.17;-0.11;0.14;6.03;0.64;5.28;0.11;12.38;8.02;2.55;2.54;-0.73;0.46;1.56;19.96;2.13;26.37;49.88
176;0.00;0.00;4.42;-0.23;4.19;0.08;0.30;0.38;-0.10;0.86;1.09;0.84;0.24;0.32;0.90;0.80;0.53;0.94;0.45;0.76;0.06;0.22;0.01;-0.11;7.65;0.37;7.26;0.02;23.06;11.69;7.67;4.10;-0.40;0.79;0.54;31.25;3.06;51.99;47.22
177;0.00;0.01;-0.38;1.47;0.97;-0.01;0.45;0.62;1.30;1.22;0.78;0.49;-0.14;0.05;0.75;0.61;1.17;0.55;-0.03;0.72;0.07;0.41;0.13;0.02;7.27;0.35;6.79;0.13;22.07;11.79;6.58;4.02;-0.32;0.78;2.17;31.52;3.04;42.15;40.30
178;0.00;0.01;0.34;-0.34;0.03;-0.02;-0.15;0.56;1.03;-0.32;0.28;0.40;-0.65;-0.10;0.55;0.92;0.02;0.26;-0.39;0.61;0.15;0.45;-0.01;-0.11;3.88;-0.90;4.64;0.15;4.48;2.98;-0.99;1.42;1.06;0.36;1.69;10.05;1.06;12.79;41.12
228;0.00;0.02;0.39;0.01;0.34;0.00;0.14;0.76;0.89;0.69;0.48;0.24;0.38;0.64;0.55;0.63;0.90;0.35;0.18;0.54;0.00;0.05;0.08;-0.14;0.77;0.12;0.44;0.21;16.62;13.37;0.85;3.07;-0.66;0.57;-0.42;16.97;2.72;24.82;40.59
230;0.00;-0.07;-0.01;1.55;1.56;0.00;0.42;0.71;0.93;1.07;1.12;0.92;-0.43;0.08;0.64;0.58;0.86;0.85;0.15;0.74;-0.06;0.28;-0.10;-0.06;5.53;0.31;5.93;-0.71;26.15;13.62;7.70;4.92;-0.09;0.98;1.07;32.75;3.32;45.91;34.72
236;0.00;0.00;0.97;0.11;1.20;-0.01;0.25;0.53;-0.49;0.83;0.83;0.47;0.32;0.37;0.53;0.60;0.42;0.55;0.41;0.66;0.82;0.15;-0.12;-0.04;6.03;0.61;5.42;0.01;15.79;10.09;2.50;2.91;0.29;0.60;0.54;22.36;2.56;32.51;20.51
348;0.00;-0.09;0.61;0.35;0.96;-0.01;0.34;0.68;-0.59;0.49;0.91;0.72;0.45;1.04;0.80;0.62;-0.09;0.75;0.59;0.78;0.25;0.42;-0.08;0.46;8.47;0.83;8.49;-0.86;15.50;9.27;2.99;3.82;-0.58;0.73;4.40;28.37;2.70;38.14;39.16
558;0.00;0.00;3.85;0.13;3.87;-0.01;0.64;0.70;0.42;0.96;0.84;0.69;0.61;1.05;0.92;0.82;0.51;0.80;0.93;0.81;0.15;0.28;0.12;0.01;6.93;0.59;6.31;0.03;28.87;15.60;8.36;4.26;0.65;0.89;1.45;37.25;3.75;58.71;33.30
571;0.00;0.02;0.19;0.13;0.28;0.01;0.07;0.67;0.88;0.32;0.40;0.97;-0.12;0.40;0.55;0.50;0.32;0.67;0.33;0.61;0.34;0.28;0.06;-0.03;10.33;0.18;10.00;0.15;11.22;8.00;1.03;1.15;1.04;0.30;1.22;22.77;2.60;30.14;33.43
999;0.00;0.00;2.66;0.07;2.81;0.09;0.19;0.83;0.02;-0.29;0.85;0.68;0.51;-0.18;0.61;0.48;-0.02;0.80;0.21;0.72;-0.25;0.42;-0.08;0.09;5.47;0.87;4.58;0.02;19.34;10.41;5.65;3.93;-0.66;0.74;2.54;27.35;2.54;42.47;27.22
1027;0.00;-0.01;-0.68;0.17;-0.77;-0.03;-0.02;0.17;0.17;0.04;0.36;-0.10;-0.21;0.44;-0.25;0.96;0.21;-0.05;0.36;0.13;0.58;0.06;0.25;0.07;0.79;-0.59;1.53;-0.15;0.59;3.32;-0.48;-1.02;-1.23;-0.29;0.66;2.04;0.82;1.68;18.72
1071;0.00;0.01;0.49;0.34;0.64;0.07;-0.09;0.23;0.75;0.08;0.75;0.61;-0.54;0.61;0.37;0.59;0.34;0.73;-0.09;0.56;-0.07;0.48;0.21;-0.12;8.84;0.54;8.22;0.08;9.48;4.77;2.71;0.35;1.65;0.18;1.83;20.15;1.78;26.59;32.52
1099;0.00;-0.01;3.44;-0.03;3.44;0.09;0.51;0.72;0.11;0.14;1.04;1.00;0.57;0.17;0.83;0.70;0.41;0.91;0.53;0.78;-0.03;0.47;-0.04;0.02;8.10;0.44;7.78;-0.11;24.31;12.83;6.73;4.37;0.38;0.90;2.42;34.83;3.34;53.93;35.91
1124;0.00;0.83;-0.13;1.13;1.73;0.01;-0.14;0.53;0.05;0.07;0.46;0.85;1.21;0.16;0.70;0.67;-0.25;0.65;0.54;0.72;-0.11;0.09;0.10;0.26;7.89;-0.11;-0.31;8.32;18.73;11.08;5.38;2.90;-0.63;0.54;1.74;28.37;2.18;39.23;20.30
1991;0.00;0.02;0.53;0.21;0.62;-0.01;0.38;0.78;0.38;0.16;0.64;0.89;1.63;0.70;0.82;0.32;0.18;0.82;0.89;0.58;0.13;0.41;0.14;-0.03;9.84;-0.06;9.66;0.24;16.78;11.42;2.09;3.41;-0.14;0.67;1.90;28.52;3.25;38.58;26.75
2064;0.00;0.01;1.17;-0.12;0.86;0.00;0.11;0.79;1.12;0.59;1.03;0.60;-0.54;0.22;0.18;0.80;0.76;0.64;-0.11;0.31;0.04;-0.04;0.20;-0.08;7.88;0.75;7.06;0.07;20.76;8.44;1.74;4.29;6.28;1.28;-0.61;28.03;2.40;36.70;14.15
2170;0.00;-0.08;0.89;-0.10;0.71;-0.01;0.22;0.61;-0.37;0.53;0.58;0.66;-0.20;-0.48;0.75;0.58;0.40;0.72;-0.07;0.74;0.19;0.50;0.00;0.04;1.22;0.86;1.18;-0.82;15.10;11.39;1.29;2.39;0.03;0.48;2.72;19.03;2.40;27.24;22.08
2785;0.00;0.03;-0.49;0.18;-0.45;-0.01;0.13;0.69;0.65;0.00;0.38;0.78;0.46;0.62;0.84;0.59;0.12;0.55;0.30;0.72;0.55;-0.07;0.17;0.07;9.12;-0.26;9.08;0.30;10.75;7.37;-0.08;2.41;1.05;0.55;0.00;19.87;2.38;24.40;24.47
2836;0.00;0.01;0.10;0.07;0.07;0.01;0.18;0.22;0.66;-0.53;1.00;0.38;0.89;0.54;0.63;0.64;0.08;0.51;0.77;0.61;-0.22;-0.19;0.11;-0.11;-3.74;0.29;-4.17;0.14;20.03;12.97;0.53;3.93;2.61;0.96;-1.49;14.80;2.18;20.46;19.87
3104;0.00;0.02;-0.34;0.05;-0.21;-0.01;-0.23;0.63;0.38;-0.02;-0.03;0.27;-0.99;-0.59;0.34;-0.10;0.08;0.23;-0.49;0.13;0.44;0.26;-0.06;0.08;1.72;0.95;0.55;0.22;3.99;2.65;-0.41;0.91;0.83;0.24;1.73;7.44;0.58;8.26;25.68
3314;0.00;0.02;1.12;1.01;2.16;0.00;0.38;0.83;0.35;0.33;0.98;0.88;-0.41;0.81;0.79;0.90;0.40;0.81;0.50;0.73;0.20;-0.11;-0.02;-0.08;11.18;-0.12;11.14;0.15;22.80;10.75;7.28;4.27;0.50;0.89;-0.95;33.03;3.27;47.94;12.38
3464;0.00;0.01;1.28;0.12;1.47;0.09;0.25;0.72;-0.30;0.73;0.75;1.05;0.03;0.35;0.32;0.34;0.19;0.84;0.22;0.45;-0.01;0.14;-0.06;0.14;8.46;0.06;8.27;0.13;16.28;7.95;3.16;5.54;-0.37;1.08;1.40;26.14;2.42;36.79;22.20
3525;0.00;-0.02;-0.14;-0.18;-0.37;-0.03;0.16;0.52;0.43;0.27;0.36;0.93;1.13;0.17;0.76;0.85;-0.02;0.69;0.39;0.78;0.15;0.03;0.03;0.04;9.02;0.36;8.85;-0.19;5.45;7.35;-1.18;0.24;-0.96;-0.02;0.34;14.80;2.36;19.55;17.38
3634;0.00;0.03;0.61;0.04;0.61;-0.02;0.16;0.77;0.27;-0.24;0.20;0.41;0.94;0.50;0.48;0.69;-0.02;0.32;0.57;0.66;0.55;-0.16;0.07;-0.07;2.89;-0.09;2.73;0.25;13.00;10.14;1.44;2.05;-0.63;0.37;-1.16;14.73;2.30;22.37;23.95
3654;0.00;0.02;0.49;0.01;0.43;-0.02;0.20;0.43;-0.34;0.18;0.61;0.45;0.49;0.00;0.68;0.47;0.03;0.53;0.02;0.57;-0.09;-0.31;0.08;0.13;0.57;0.94;-0.54;0.17;10.91;8.16;1.01;2.57;-0.83;0.46;-0.89;10.59;1.58;15.86;30.15
3718;0.00;0.01;1.15;-0.04;1.00;-0.01;0.09;0.33;0.94;-0.03;0.46;0.52;0.50;0.21;0.56;0.46;0.18;0.52;0.04;0.55;0.10;0.14;0.12;0.14;2.00;1.85;0.03;0.11;12.97;8.02;2.11;2.34;0.51;0.50;1.42;16.39;1.61;23.54;23.30
3719;0.00;-0.01;0.10;0.17;0.31;-0.02;-0.04;0.05;-0.59;0.42;0.07;0.89;0.83;0.19;0.78;1.13;0.00;0.50;0.47;0.74;0.01;-0.05;-0.04;0.23;5.55;0.39;5.25;-0.09;9.27;6.22;1.05;2.50;-0.50;0.47;0.86;15.69;1.77;21.06;18.18
3780;0.00;-0.01;-0.23;0.18;-0.12;-0.01;0.09;0.32;0.29;0.04;0.05;0.36;-0.13;0.65;0.91;0.56;0.07;0.37;0.38;0.77;0.29;-0.14;0.07;-0.04;3.68;0.95;2.80;-0.07;8.05;8.13;0.45;0.19;-0.73;-0.01;-0.90;10.82;1.91;15.21;17.26
4055;0.00;0.02;0.61;0.39;0.89;0.02;0.38;0.80;1.02;0.61;0.18;0.94;-0.73;0.04;0.67;0.35;0.81;0.87;-0.16;0.60;0.16;0.02;0.13;-0.04;5.39;1.14;4.06;0.19;19.24;12.53;3.17;3.35;0.18;0.68;-0.13;24.49;2.91;34.56;20.20
4557;0.00;0.02;-0.10;-0.13;-0.36;-0.01;0.12;0.74;1.41;0.37;0.25;-0.03;0.11;0.50;0.57;0.68;0.93;0.05;0.26;0.62;0.30;0.11;0.15;0.12;7.59;0.56;6.86;0.18;9.01;9.62;-0.83;1.01;-0.80;0.15;1.18;17.78;2.61;23.19;17.87
4572;0.00;0.02;-0.26;0.04;-0.18;0.08;0.18;0.86;-0.01;0.34;-0.39;0.72;0.32;0.20;0.72;0.59;-0.03;0.56;0.33;0.75;-0.10;-0.27;-0.02;-0.12;6.47;0.16;6.08;0.23;10.24;9.24;-0.34;1.38;-0.03;0.27;-1.93;14.78;2.46;20.35;14.55
