Dallas;TXDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
148;0.00;0.60;0.59;4.87;5.75;0.26;0.50;0.75;;1.09;0.77;0.04;;-0.20;0.88;0.74;1.18;0.71;-0.29;0.86;-0.05;1.75;0.31;0.04;17.34;-0.32;11.66;6.00;44.72;10.24;25.51;4.74;4.24;1.23;8.94;71.01;3.21;97.00;87.66
383;0.00;-0.01;0.19;1.13;1.38;-0.06;0.17;0.75;;0.42;0.78;2.03;;-0.13;0.51;-0.94;0.29;0.99;-0.10;0.59;0.07;-0.17;-0.07;-0.10;4.89;1.08;3.90;-0.09;17.29;10.68;6.02;1.78;-1.20;0.28;-1.31;20.86;2.53;31.48;22.73
647;-0.02;-0.02;-0.06;0.31;0.39;0.07;-0.03;0.61;;-0.06;0.45;0.93;;-0.21;0.34;0.39;0.01;0.68;-0.03;0.30;0.01;0.83;-0.17;-0.06;1.82;1.77;0.35;-0.30;10.36;7.65;1.44;2.75;-1.49;0.45;3.85;16.03;1.57;21.15;17.24
704;0.00;0.11;-0.25;1.96;1.64;0.08;-0.27;0.26;;0.00;0.43;0.11;;-0.10;0.41;0.40;-0.08;0.35;-0.05;0.46;-0.06;0.03;0.18;-0.04;-0.94;0.67;-2.69;1.07;21.13;6.01;9.32;1.71;4.09;0.61;-0.04;20.15;0.93;27.60;16.84
1296;0.01;0.13;0.80;3.22;4.18;0.18;0.54;0.81;;1.33;1.03;0.90;;-0.06;1.08;-0.41;1.37;0.78;-0.19;0.94;0.25;1.12;-0.03;0.04;11.94;0.37;10.25;1.32;39.08;13.35;17.69;5.12;2.92;1.22;5.84;56.86;3.70;79.16;72.21
1745;-0.01;0.05;0.40;0.83;1.17;-0.06;0.21;0.69;;0.97;0.74;1.48;;-0.69;0.63;1.33;0.96;0.89;-0.30;0.64;-0.08;0.13;0.10;-0.07;4.83;-0.28;4.69;0.42;23.29;12.04;4.93;2.36;3.95;0.74;0.30;28.42;2.88;39.26;31.13
1860;0.00;0.02;1.14;1.28;2.46;0.04;0.36;0.80;;0.41;0.61;0.51;;0.63;0.86;1.12;0.37;0.84;0.27;0.72;-0.01;0.25;-0.03;0.15;11.44;0.48;10.82;0.14;19.72;9.62;8.67;2.80;-1.38;0.47;1.99;33.15;3.01;48.35;41.30
2613;0.09;0.04;-0.18;0.57;0.49;0.00;0.02;0.55;;0.26;-0.13;0.38;;-0.38;0.50;0.15;0.27;0.26;-0.34;0.45;0.12;0.24;0.05;0.04;2.03;0.45;0.70;0.88;9.72;5.61;2.51;1.40;0.21;0.29;1.37;13.12;1.19;17.61;13.56
2848;-0.02;0.05;1.04;1.50;2.34;0.15;0.75;0.81;;1.32;0.75;0.00;;0.40;0.78;0.48;1.44;0.54;0.43;0.84;-0.06;0.05;0.24;0.12;9.23;0.06;8.74;0.43;33.65;15.93;9.59;5.26;2.88;1.24;0.86;43.74;4.06;61.19;62.51
3005;0.00;-0.05;5.51;-0.30;5.15;0.15;0.67;0.69;;1.14;0.69;1.14;;0.22;0.80;0.93;1.12;0.90;0.25;0.92;-0.15;0.25;0.01;0.25;11.40;-0.38;12.23;-0.46;27.85;13.29;9.51;2.93;2.13;0.73;2.51;41.75;3.88;67.54;58.91
