LasVegas;NVLV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
60;-0.04;-0.01;-0.11;0.71;0.62;-0.10;0.44;0.73;;0.69;0.85;0.57;;0.84;0.65;0.67;0.42;0.69;1.04;0.65;-0.10;0.24;-0.07;-0.05;6.41;0.45;6.26;-0.29;23.40;14.51;3.31;2.98;2.60;0.77;0.97;30.82;3.53;41.57;37.10
295;-0.01;0.05;0.61;0.80;1.34;0.20;0.07;0.46;;1.04;0.61;0.41;;0.21;0.47;0.67;1.04;0.45;0.02;0.65;0.29;0.37;0.11;-0.03;10.20;0.14;9.63;0.43;16.65;8.35;5.23;3.86;-0.78;0.72;1.72;28.59;2.63;39.36;34.85
585;-0.01;0.09;0.67;-0.62;0.22;-0.04;0.02;0.43;;0.16;-0.70;0.80;;0.20;0.29;0.67;0.20;0.78;0.27;0.40;-0.21;-0.04;-0.10;-0.09;0.51;-0.14;-0.16;0.81;11.85;10.45;-1.78;3.65;-0.46;0.70;-0.65;11.72;2.07;17.60;11.18
597;-0.02;-0.05;-0.51;0.23;-0.37;-0.09;0.02;0.67;;0.31;0.90;0.73;;-0.74;0.65;0.67;0.48;0.70;-0.30;0.69;0.54;0.69;0.02;0.16;7.00;0.40;7.22;-0.62;12.92;7.58;0.16;4.11;1.06;0.89;4.28;24.16;2.24;28.61;22.40
687;-0.01;-0.01;4.12;-0.39;3.80;0.16;0.26;0.69;;1.10;0.49;0.60;;-0.49;0.82;0.67;0.95;0.68;-0.36;0.78;0.17;0.51;-0.09;0.07;6.62;0.18;6.57;-0.13;22.15;10.42;6.27;5.95;-0.49;1.16;2.93;31.74;2.74;50.45;41.03
842;0.00;0.14;-0.31;3.66;3.45;0.20;0.35;0.59;;0.77;0.57;0.54;;-0.12;0.56;0.67;0.79;0.65;0.16;0.71;0.41;-0.16;0.05;0.09;9.46;0.12;7.92;1.42;35.03;10.51;17.70;2.57;4.25;0.80;-0.36;44.08;2.89;62.09;56.01
987;0.01;0.33;0.11;4.86;5.41;0.43;0.43;0.68;;1.08;0.83;0.78;;-0.12;0.87;0.67;1.06;0.73;-0.11;0.71;-0.33;0.50;-0.11;0.04;12.94;0.02;9.59;3.33;44.38;10.56;24.52;4.36;4.93;1.20;2.66;60.44;3.07;85.04;79.79
988;0.09;0.09;0.39;-0.16;0.35;-0.13;0.28;0.55;;0.61;0.97;0.32;;0.57;0.85;0.67;0.27;0.56;0.42;0.75;-0.16;-0.09;0.06;0.10;6.19;0.33;4.51;1.35;9.24;10.48;-0.02;-0.20;-1.02;-0.11;0.05;15.51;2.55;22.96;17.86
1515;-0.02;-0.01;-0.06;0.20;-0.09;-0.01;0.32;0.60;;0.83;1.49;0.76;;-0.14;0.75;0.67;0.98;0.75;-0.18;0.77;0.18;0.03;0.21;-0.04;6.86;0.17;6.88;-0.19;16.55;11.18;0.90;2.68;1.79;0.66;-0.03;23.26;2.92;30.29;29.42
1661;0.00;0.02;-0.56;0.00;-0.50;0.04;0.24;0.65;;0.40;0.67;0.63;;0.06;0.53;0.67;0.48;0.49;-0.01;0.63;0.71;-0.13;-0.05;0.19;7.02;0.59;6.28;0.15;9.15;8.05;-1.14;2.64;-0.40;0.50;0.32;16.54;2.24;20.58;22.34
